Time,Lat,Lon,Acc,Light,Temp,Sound,Ext
June 23 2009 11:50:4,42.654873,-71.32722,0.82,51.00,10.25,0,6210.3959008
June 23 2009 11:50:5,42.654873,-71.32722,0.78,52.00,10.25,0,6210.3959008
June 23 2009 11:50:6,42.654873,-71.32722,0.82,39.00,10.25,22,6210.3959008
June 23 2009 11:50:8,42.655037,-71.32742,0.82,49.00,11.55,0,6210.3959008
June 23 2009 11:50:9,42.655087,-71.32747,0.82,54.00,10.25,0,6210.3959008
June 23 2009 11:50:10,42.654663,-71.32764,0.82,53.00,10.25,0,6210.3959008
June 23 2009 11:50:11,42.6546,-71.3275,0.90,50.00,10.25,0,6210.3959008
June 23 2009 11:50:12,42.654663,-71.3275,0.86,48.00,11.55,0,6210.3959008
June 23 2009 11:50:13,42.654705,-71.32753,0.82,49.00,10.25,45,6210.3959008
June 23 2009 11:50:14,42.654762,-71.32756,0.90,47.00,10.25,0,6210.3959008
June 23 2009 11:50:15,42.65472,-71.327484,0.90,44.00,10.25,0,6210.3959008
June 23 2009 11:50:16,42.654762,-71.327515,0.86,44.00,11.55,0,6210.3959008
June 23 2009 11:50:17,42.654835,-71.32762,0.86,46.00,11.55,20,5754.2481648
June 23 2009 11:50:18,42.654907,-71.32768,0.86,49.00,11.55,0,4517.981919360001
June 23 2009 11:50:19,42.654217,-71.32836,0.82,49.00,11.55,0,4238.6802336
June 23 2009 11:50:20,42.65428,-71.32848,0.86,46.00,11.55,0,4058.85212656
June 23 2009 11:50:22,42.6538,-71.32856,0.86,45.00,11.55,0,4058.85212656
June 23 2009 11:50:23,42.653965,-71.328125,0.86,42.00,11.55,0,3970.8244180800007
June 23 2009 11:50:24,42.653206,-71.32882,0.82,43.00,11.55,0,3970.8244180800007
June 23 2009 11:50:25,42.653286,-71.32894,0.82,43.00,11.55,0,3884.0429129600006
June 23 2009 11:50:26,42.65342,-71.32879,0.86,42.00,11.55,0,3884.0429129600006
June 23 2009 11:50:27,42.653915,-71.32841,0.86,42.00,11.55,0,3884.0429129600006
June 23 2009 11:50:28,42.65294,-71.32914,0.82,45.00,11.55,106,3884.0429129600006
June 23 2009 11:50:29,42.652912,-71.32931,0.82,48.00,11.55,0,3798.4990912000003
June 23 2009 11:50:30,42.652035,-71.330124,0.86,46.00,11.55,0,3798.4990912000003
June 23 2009 11:50:31,42.651962,-71.33017,0.86,48.00,11.55,0,3798.4990912000003
June 23 2009 11:50:32,42.654182,-71.32812,0.78,51.00,11.55,0,3798.4990912000003
June 23 2009 11:50:33,42.65472,-71.32755,0.82,55.00,11.55,0,3798.4990912000003
June 23 2009 11:50:35,42.65472,-71.32755,0.86,54.00,11.55,0,3798.4990912000003
June 23 2009 11:50:36,42.65472,-71.32755,0.82,51.00,11.55,0,3798.4990912000003
June 23 2009 11:50:37,42.65472,-71.32755,0.86,47.00,11.55,0,3714.1844327999997
June 23 2009 11:50:38,42.65472,-71.32755,0.86,48.00,11.55,0,3714.1844327999997
June 23 2009 11:50:39,42.65472,-71.32755,0.86,50.00,11.55,0,3714.1844327999997
June 23 2009 11:50:40,42.65472,-71.32755,0.90,49.00,11.55,0,3714.1844327999997
June 23 2009 11:50:41,42.65472,-71.32755,0.86,44.00,11.55,0,3714.1844327999997
June 23 2009 11:50:42,42.65472,-71.32755,0.86,49.00,11.55,0,4148.1345584
