time,light,sound
"03/30/2128 20:00:00",179.68,0
"00/16/2010 12:55:56",185.49,22
"00/16/2010 12:58:17",183.56,0
"00/16/2010 13:00:39",183.56,2
"00/16/2010 13:03:01",187.42,5
"00/16/2010 13:05:23",181.62,12
"00/16/2010 13:07:45",187.42,2
"00/16/2010 13:10:07",187.42,6
"00/16/2010 13:13:40",185.49,1
"00/16/2010 13:14:51",187.42,0
"00/16/2010 13:16:02",187.42,2
"00/16/2010 13:18:24",185.49,5
"00/16/2010 13:20:46",187.42,1
"00/16/2010 13:23:08",187.42,2
"00/16/2010 13:26:40",189.35,0
"00/16/2010 13:29:02",187.42,0
"00/16/2010 13:31:24",185.49,5
"00/17/2010 18:26:58",162.16,7
"00/17/2010 18:26:59",118.71,6
"00/17/2010 18:27:01",294.60,8
"00/17/2010 18:27:02",292.77,4
"00/17/2010 18:27:03",187.42,6
"00/17/2010 18:27:04",305.54,13
"00/17/2010 18:27:05",345.11,6
"00/17/2010 18:27:06",289.10,8
"00/17/2010 18:27:07",318.22,3
"00/17/2010 18:27:08",359.28,4
"00/17/2010 18:27:09",357.51,6
"00/17/2010 18:27:10",257.66,3
"00/17/2010 18:27:11",216.19,7
"00/17/2010 18:27:12",350.43,5
"00/17/2010 18:27:13",290.94,5
"00/17/2010 18:27:15",223.80,7
"00/17/2010 18:27:16",307.36,4
"00/17/2010 18:27:17",294.60,6
"00/17/2010 18:27:18",334.40,6
"00/17/2010 18:27:19",287.27,8
"00/17/2010 18:27:20",240.80,8
"00/17/2010 18:27:21",272.52,6
"00/17/2010 18:27:22",250.19,10
"00/17/2010 18:27:23",276.22,8
"00/17/2010 18:27:24",357.51,11
"00/17/2010 18:27:25",321.83,7
"00/17/2010 18:27:26",339.76,4
"00/17/2010 18:27:27",268.82,7
"00/17/2010 18:27:28",248.31,8
"00/17/2010 18:27:30",283.59,3
"00/17/2010 18:27:31",227.59,6
"00/17/2010 18:27:32",231.37,7
"00/17/2010 18:27:33",318.22,8
"00/17/2010 18:27:34",246.44,7
"00/17/2010 18:27:35",274.37,6
"00/17/2010 18:27:36",348.66,10
"00/17/2010 18:27:37",244.56,8
"00/17/2010 18:27:38",329.03,6
"00/17/2010 18:27:39",292.77,4
"00/17/2010 18:27:40",301.90,4
"00/17/2010 18:27:41",320.03,2
"00/17/2010 18:27:42",257.66,0
"00/17/2010 18:27:44",257.66,0
"00/17/2010 18:27:45",361.04,0
"00/17/2010 18:27:46",270.67,0
"00/17/2010 18:27:47",290.94,0
"00/17/2010 18:27:48",257.66,0
"00/17/2010 18:27:49",268.82,0
"00/17/2010 18:27:50",294.60,0
"00/17/2010 18:27:51",298.25,0
"00/17/2010 18:27:52",320.03,0
"00/17/2010 18:27:53",359.28,0
"00/17/2010 18:27:54",255.79,0
"00/17/2010 18:27:55",263.25,0
"00/17/2010 18:27:56",343.33,0
"00/17/2010 18:27:58",281.75,0
"00/17/2010 18:27:59",343.33,0
"00/17/2010 18:28:00",318.22,0
"00/17/2010 18:28:01",278.07,0
"00/17/2010 18:28:02",276.22,2
"00/17/2010 18:28:03",341.55,0
"00/17/2010 18:28:04",343.33,0
"00/17/2010 18:28:05",290.94,0
"00/17/2010 18:28:06",272.52,0
"00/17/2010 18:28:07",231.37,17
"00/17/2010 18:28:08",298.25,0
"00/17/2010 18:28:09",323.63,0
"00/17/2010 18:28:10",266.96,0
"00/17/2010 18:28:11",292.77,0
"00/17/2010 18:28:13",266.96,0
"00/17/2010 18:28:14",330.82,0
"00/17/2010 18:28:15",330.82,0
"00/17/2010 18:28:16",309.17,0
"00/17/2010 18:28:17",339.76,0
"00/17/2010 18:28:18",289.10,0
"00/17/2010 18:28:19",270.67,0
"00/17/2010 18:28:20",259.52,0
"00/17/2010 18:28:21",292.77,0
"00/17/2010 18:28:22",290.94,0
"00/17/2010 18:28:23",352.21,0
"00/17/2010 18:28:24",359.28,0
"00/17/2010 18:28:25",266.96,0
"00/17/2010 18:28:27",312.80,0
"00/17/2010 18:28:28",281.75,0
"00/17/2010 18:28:29",276.22,0
"00/17/2010 18:28:30",281.75,0
"00/17/2010 18:28:31",361.04,0
"00/17/2010 18:28:32",303.72,0
"00/17/2010 18:28:33",278.07,0
"00/17/2010 18:28:34",336.19,0
"00/17/2010 18:28:35",310.99,0
"00/17/2010 18:28:36",323.63,0
"00/17/2010 18:28:37",359.28,0
"00/17/2010 18:28:38",257.66,0
"00/17/2010 18:28:39",301.90,0
"00/17/2010 18:28:41",281.75,0
"00/17/2010 18:28:42",246.44,0
"00/17/2010 18:28:43",289.10,0
"00/17/2010 18:28:44",316.42,0
"00/17/2010 18:28:45",323.63,0
"00/17/2010 18:28:46",238.92,1
"00/17/2010 18:28:47",359.28,0
"00/17/2010 18:28:48",352.21,0
"00/17/2010 18:28:49",281.75,0
"00/17/2010 18:28:50",278.07,0
"00/17/2010 18:28:51",348.66,0
"00/17/2010 18:28:52",303.72,0
"00/17/2010 18:28:53",283.59,0
"00/17/2010 18:28:55",330.82,0
"00/17/2010 18:28:56",334.40,0
"00/17/2010 18:28:57",353.98,0
"00/17/2010 18:28:58",292.77,0
"00/17/2010 18:28:59",253.93,0
"00/17/2010 18:29:00",220.00,0
"00/17/2010 18:29:01",250.19,0
"00/17/2010 18:29:02",266.96,0
"00/17/2010 18:29:03",353.98,0
"00/17/2010 18:29:04",259.52,0
"00/17/2010 18:29:05",341.55,0
"00/17/2010 18:29:06",316.42,0
"00/17/2010 18:29:07",289.10,0
"00/17/2010 18:29:09",250.19,0
"00/17/2010 18:29:10",352.21,0
"00/17/2010 18:29:11",279.91,0
"00/17/2010 18:29:12",218.10,0
"00/17/2010 18:29:13",246.44,0
"00/17/2010 18:29:14",300.08,1
"00/17/2010 18:29:15",339.76,0
"00/17/2010 18:29:16",278.07,0
"00/17/2010 18:29:17",263.25,0
"00/17/2010 18:29:18",320.03,0
"00/17/2010 18:29:19",283.59,0
"00/17/2010 18:29:20",242.68,0
"00/17/2010 18:29:21",307.36,0
