time,acceleration
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",1.37
"3/30/2128 20:00:00",0.70
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.98
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.94
"3/30/2128 20:00:00",1.13
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",0.98
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",1.13
"3/30/2128 20:00:00",1.45
"3/30/2128 20:00:00",0.98
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",1.05
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",1.09
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",0.70
"3/30/2128 20:00:00",1.52
"3/30/2128 20:00:00",0.94
"3/30/2128 20:00:00",1.02
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",1.21
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",1.02
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",0.70
"3/30/2128 20:00:00",1.48
"3/30/2128 20:00:00",0.70
"3/30/2128 20:00:00",0.74
"3/30/2128 20:00:00",0.94
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",0.86
"3/30/2128 20:00:00",0.82
"3/30/2128 20:00:00",0.98
"3/30/2128 20:00:00",0.98
"3/30/2128 20:00:00",0.90
"3/30/2128 20:00:00",1.02
"3/30/2128 20:00:00",0.70
"3/30/2128 20:00:00",0.78
"3/30/2128 20:00:00",0.74
