oxygen gas,time
21.02,1265006940
20.98,1265006941
20.97,1265006942
20.95,1265006943
20.88,1265006944
20.56,1265006945
20.02,1265006946
19.39,1265006947
18.73,1265006948
18.12,1265006949
17.54,1265006950
17.04,1265006951
16.58,1265006952
16.11,1265006953
15.61,1265006954
15.33,1265006955
15.37,1265006956
15.78,1265006957
16.41,1265006958
17.04,1265006959
17.64,1265006960
18.13,1265006961
18.55,1265006962
18.89,1265006963
19.17,1265006964
19.39,1265006965
19.57,1265006966
19.72,1265006967
19.83,1265006968
19.94,1265006969
20.01,1265006970
20.08,1265006971
20.13,1265006972
20.17,1265006973
20.21,1265006974
20.24,1265006975
20.27,1265006976
20.29,1265006977
20.30,1265006978
20.32,1265006979
20.33,1265006980
20.34,1265006981
20.35,1265006982
20.36,1265006983
20.38,1265006984
20.38,1265006985
20.38,1265006986
20.38,1265006987
20.39,1265006988
20.39,1265006989
20.40,1265006990
20.40,1265006991
20.41,1265006992
20.41,1265006993
20.41,1265006994
20.41,1265006995
20.42,1265006996
20.42,1265006997
20.42,1265006998
20.42,1265006999
20.42,1265007000
20.42,1265007001
20.42,1265007002
20.42,1265007003
20.42,1265007004
20.42,1265007005
20.42,1265007006
20.42,1265007007
20.42,1265007008
20.43,1265007009
20.42,1265007010
20.42,1265007011
20.43,1265007012
20.43,1265007013
20.43,1265007014
20.43,1265007015
20.43,1265007016
20.42,1265007017
20.43,1265007018
20.43,1265007019
20.42,1265007020
20.42,1265007021
20.43,1265007022
20.43,1265007023
20.43,1265007024
20.42,1265007025
20.42,1265007026
20.42,1265007027
20.42,1265007028
20.43,1265007029
20.43,1265007030
20.42,1265007031
20.42,1265007032
20.42,1265007033
20.42,1265007034
20.43,1265007035
20.42,1265007036
20.42,1265007037
20.42,1265007038
20.42,1265007039
20.42,1265007040
20.42,1265007041
20.42,1265007042
20.42,1265007043
20.42,1265007044
20.42,1265007045
20.42,1265007046
20.42,1265007047
20.42,1265007048
20.42,1265007049
20.41,1265007050
20.42,1265007051
20.42,1265007052
20.41,1265007053
20.42,1265007054
20.42,1265007055
20.41,1265007056
20.41,1265007057
20.41,1265007058
20.41,1265007059
20.41,1265007060
20.41,1265007061
20.41,1265007062
20.40,1265007063
20.40,1265007064
20.40,1265007065
20.40,1265007066
20.40,1265007067
20.40,1265007068
20.40,1265007069
20.40,1265007070
20.40,1265007071
20.40,1265007072
20.40,1265007073
20.40,1265007074
20.39,1265007075
20.39,1265007076
20.39,1265007077
20.39,1265007078
20.39,1265007079
20.38,1265007080
20.39,1265007081
20.38,1265007082
20.39,1265007083
20.38,1265007084
20.38,1265007085
20.38,1265007086
20.38,1265007087
20.38,1265007088
20.38,1265007089
20.38,1265007090
20.38,1265007091
20.38,1265007092
20.38,1265007093
20.38,1265007094
20.38,1265007095
20.38,1265007096
20.38,1265007097
20.38,1265007098
20.38,1265007099
20.38,1265007100
20.38,1265007101
20.38,1265007102
20.38,1265007103
20.38,1265007104
20.38,1265007105
20.38,1265007106
20.39,1265007107
20.39,1265007108
20.39,1265007109
20.40,1265007110
20.40,1265007111
20.40,1265007112
20.40,1265007113
20.41,1265007114
20.41,1265007115
20.41,1265007116
20.41,1265007117
20.41,1265007118
20.42,1265007119
20.42,1265007120
20.42,1265007121
20.42,1265007122
20.42,1265007123
20.42,1265007124
20.42,1265007125
20.43,1265007126
20.42,1265007127
20.42,1265007128
20.43,1265007129
20.43,1265007130
20.43,1265007131
20.43,1265007132
20.43,1265007133
20.43,1265007134
20.44,1265007135
20.44,1265007136
20.43,1265007137
20.44,1265007138
20.44,1265007139
20.44,1265007140
20.44,1265007141
20.44,1265007142
20.44,1265007143
20.44,1265007144
20.44,1265007145
20.45,1265007146
20.44,1265007147
20.45,1265007148
