time,latitude,longitude,acceleration,light,temperature,sound,altitude,pedometer
03/17/2010 14:51:27,42.365414,-71.10388,0.86,1062.71,24.76,4,54,0
03/17/2010 14:51:28,42.3655,-71.104004,0.86,1070.24,24.76,6,45,0
03/17/2010 14:51:29,42.3655,-71.104034,0.82,1080.47,25.08,5,35,0
03/17/2010 14:51:31,42.3655,-71.104004,0.51,1065.74,25.08,8,40,2
03/17/2010 14:51:32,42.365486,-71.103966,0.66,1065.74,25.08,4,42,1
03/17/2010 14:51:33,42.36547,-71.10395,0.70,1050.30,25.08,4,43,2
03/17/2010 14:51:34,42.36547,-71.10391,0.94,1047.12,25.08,7,41,3
03/17/2010 14:51:35,42.365444,-71.10393,1.21,1053.44,25.08,7,43,2
03/17/2010 14:51:36,42.365444,-71.10388,1.37,1055.01,24.76,6,41,2
03/17/2010 14:51:37,42.365444,-71.10381,0.94,1056.56,24.76,4,39,0
03/17/2010 14:51:38,42.36547,-71.10377,1.21,1055.79,25.08,4,36,2
03/17/2010 14:51:39,42.36547,-71.10371,1.29,1056.56,24.76,4,32,2
03/17/2010 14:51:40,42.365444,-71.10367,1.29,1055.79,24.76,6,32,2
03/17/2010 14:51:41,42.365444,-71.10365,0.90,1061.19,24.76,7,30,2
03/17/2010 14:51:43,42.365444,-71.10363,1.05,1064.99,24.76,7,29,2
03/17/2010 14:51:44,42.36543,-71.1036,1.05,1063.47,25.08,8,28,2
03/17/2010 14:51:45,42.36543,-71.103584,0.94,1064.23,25.08,4,26,2
03/17/2010 14:51:46,42.365414,-71.103615,0.90,1058.88,25.08,10,32,2
03/17/2010 14:51:47,42.3654,-71.1036,0.55,1053.44,24.76,4,32,2
03/17/2010 14:51:48,42.3654,-71.103584,0.43,1054.23,24.76,4,31,2
03/17/2010 14:51:49,42.3654,-71.10356,0.51,1064.99,25.08,8,30,2
03/17/2010 14:51:50,42.36538,-71.103546,0.47,1064.99,25.08,6,29,2
03/17/2010 14:51:51,42.365364,-71.1035,0.70,1063.47,25.08,6,28,2
03/17/2010 14:51:52,42.365364,-71.103485,0.78,1063.47,25.08,8,27,2
03/17/2010 14:51:53,42.36535,-71.10347,0.82,1062.71,25.08,6,26,3
03/17/2010 14:51:55,42.36535,-71.10345,0.98,1054.23,25.08,6,26,1
03/17/2010 14:51:56,42.36535,-71.10343,1.13,1046.32,24.76,10,26,2
03/17/2010 14:51:57,42.365334,-71.10342,1.37,1052.66,24.76,7,25,2
03/17/2010 14:51:58,42.365334,-71.10342,1.29,1059.65,24.76,9,25,2
03/17/2010 14:51:59,42.36535,-71.1034,1.17,1061.95,24.76,8,24,2
03/17/2010 14:52:00,42.365334,-71.103386,1.13,1062.71,24.76,4,23,2
03/17/2010 14:52:01,42.365334,-71.103355,0.70,1061.19,24.76,8,24,2
03/17/2010 14:52:02,42.365314,-71.103355,0.59,1056.56,24.76,6,24,2
03/17/2010 14:52:03,42.3653,-71.10334,0.51,1061.19,24.76,7,25,2
03/17/2010 14:52:04,42.36527,-71.1033,0.70,1072.46,24.76,8,29,2
03/17/2010 14:52:05,42.36525,-71.10328,0.70,1080.47,24.76,10,31,1
03/17/2010 14:52:06,42.365234,-71.10325,0.66,1076.13,24.76,13,33,2
03/17/2010 14:52:08,42.36522,-71.10325,0.66,1069.49,24.76,13,33,2
03/17/2010 14:52:09,42.36522,-71.10323,0.70,1059.65,24.76,23,32,2
03/17/2010 14:52:10,42.36522,-71.10323,0.74,1059.65,24.76,17,34,2
03/17/2010 14:52:11,42.365234,-71.10322,0.74,1059.65,24.76,16,32,2
03/17/2010 14:52:12,42.36522,-71.103195,0.78,1064.99,24.76,19,31,2
03/17/2010 14:52:13,42.36522,-71.10318,0.70,1061.19,24.76,35,32,2
03/17/2010 14:52:14,42.3652,-71.103165,0.86,1064.23,24.76,20,32,2
03/17/2010 14:52:15,42.3652,-71.10315,0.70,1058.88,24.43,16,30,1
03/17/2010 14:52:16,42.3652,-71.10312,0.51,1067.25,24.43,11,26,2
03/17/2010 14:52:17,42.3652,-71.1031,0.66,1081.19,24.43,15,24,2
03/17/2010 14:52:18,42.365185,-71.1031,0.59,1071.72,24.43,7,23,2
03/17/2010 14:52:20,42.365185,-71.10308,0.66,1058.88,24.43,4,24,2
03/17/2010 14:52:21,42.365185,-71.10308,0.62,1057.34,24.43,5,25,2
03/17/2010 14:52:22,42.365185,-71.103065,0.74,1055.01,24.43,15,25,2
03/17/2010 14:52:23,42.36517,-71.103065,0.94,1055.01,24.43,9,25,3
03/17/2010 14:52:24,42.36517,-71.10305,1.17,1056.56,24.43,6,24,2
03/17/2010 14:52:25,42.365154,-71.103035,1.25,1055.01,24.43,4,24,2
03/17/2010 14:52:26,42.365154,-71.103035,1.05,1058.11,24.43,6,24,2
03/17/2010 14:52:27,42.365154,-71.10302,1.05,1072.46,24.43,20,24,2
03/17/2010 14:52:28,42.365154,-71.10299,1.13,1073.93,24.43,10,20,2
03/17/2010 14:52:29,42.36517,-71.102974,1.09,1077.58,24.43,6,17,2
03/17/2010 14:52:30,42.36517,-71.10293,1.29,1081.91,24.43,5,15,2
03/17/2010 14:52:32,42.36517,-71.1029,1.29,1080.47,24.11,4,14,2
03/17/2010 14:52:33,42.365154,-71.10288,1.17,1081.19,24.11,10,11,2
03/17/2010 14:52:34,42.36512,-71.10285,1.17,1077.58,24.11,11,10,2
03/17/2010 14:52:35,42.36512,-71.10285,1.29,1066.50,24.43,9,9,2
03/17/2010 14:52:36,42.365097,-71.10285,1.13,1078.31,24.43,8,7,2
03/17/2010 14:52:37,42.365097,-71.10285,1.13,1066.50,24.43,7,8,2
03/17/2010 14:52:38,42.365078,-71.10283,1.05,1081.19,24.43,7,9,2
03/17/2010 14:52:39,42.365063,-71.10283,0.94,1081.91,24.43,8,9,2
03/17/2010 14:52:40,42.365047,-71.10283,0.86,1081.19,24.43,10,9,2
03/17/2010 14:52:41,42.365032,-71.10281,0.78,1075.40,24.43,10,8,2
03/17/2010 14:52:42,42.365032,-71.10281,0.82,1075.40,24.43,8,8,2
03/17/2010 14:52:44,42.365032,-71.10281,0.70,1081.91,24.43,11,8,2
03/17/2010 14:52:45,42.365032,-71.10281,0.59,1061.19,24.43,7,10,2
03/17/2010 14:52:46,42.365013,-71.1028,0.74,1076.86,24.43,7,9,2
03/17/2010 14:52:47,42.365013,-71.1028,0.74,1078.31,24.43,8,9,2
03/17/2010 14:52:48,42.364998,-71.1028,0.62,1058.11,24.43,14,8,2
03/17/2010 14:52:49,42.364983,-71.1028,0.70,1060.42,24.43,10,6,2
03/17/2010 14:52:50,42.364967,-71.10278,0.66,1061.95,24.43,13,6,2
03/17/2010 14:52:51,42.36495,-71.10277,0.66,1064.23,24.43,21,6,2
03/17/2010 14:52:52,42.364933,-71.10275,0.59,1063.47,24.43,15,6,2
03/17/2010 14:52:53,42.364933,-71.10275,0.82,1064.99,24.43,15,7,2
03/17/2010 14:52:54,42.364918,-71.10274,0.94,1081.91,24.43,10,7,1
03/17/2010 14:52:55,42.364918,-71.10274,1.33,1065.74,24.43,8,7,1
03/17/2010 14:52:57,42.364918,-71.102715,1.13,1058.11,24.43,6,8,2
03/17/2010 14:52:58,42.364918,-71.102715,0.86,1079.75,24.43,4,6,2
03/17/2010 14:52:59,42.364918,-71.1027,1.17,1080.47,24.43,8,5,2
03/17/2010 14:53:00,42.364902,-71.102715,0.78,1062.71,24.43,9,5,2
03/17/2010 14:53:01,42.36487,-71.102684,0.78,1076.13,24.43,8,4,0
03/17/2010 14:53:02,42.364834,-71.10265,1.37,1064.99,24.43,10,5,2
03/17/2010 14:53:03,42.36482,-71.10264,0.74,1064.99,24.76,10,5,1
03/17/2010 14:53:04,42.36482,-71.10265,0.66,1064.99,24.43,13,5,2
03/17/2010 14:53:05,42.364803,-71.10265,0.66,1055.79,24.43,5,5,2
03/17/2010 14:53:06,,,0.74,1051.09,24.43,8, ,2
03/17/2010 14:53:07,42.364803,-71.10265,0.62,1053.44,24.43,6,5,2
03/17/2010 14:53:09,42.364788,-71.10267,0.59,1055.01,24.43,5,3,2
03/17/2010 14:53:10,42.36473,-71.102684,0.78,1054.23,24.43,4,2,2
03/17/2010 14:53:11,42.36473,-71.1027,0.94,1053.44,24.43,4,0,3
03/17/2010 14:53:12,42.36471,-71.1027,1.25,1051.09,24.43,8,65534,2
03/17/2010 14:53:13,42.36471,-71.102715,1.05,985.03,24.43,8,0,2
03/17/2010 14:53:14,42.36471,-71.10274,1.17,1044.72,24.43,10,0,2
03/17/2010 14:53:15,42.364697,-71.10275,1.25,1041.49,24.43,5,6,2
03/17/2010 14:53:16,42.364697,-71.10274,1.05,1016.38,24.11,13,8,2
03/17/2010 14:53:17,42.364647,-71.10274,0.94,979.43,24.43,4,5,1
03/17/2010 14:53:18,42.36463,-71.10275,0.94,1034.13,24.11,5,8,2
03/17/2010 14:53:19,42.364616,-71.10278,0.98,866.50,24.11,4,8,2
03/17/2010 14:53:21,42.3646,-71.1028,0.78,1033.30,24.11,4,10,2
03/17/2010 14:53:22,42.364567,-71.10278,0.62,796.45,24.11,8,11,2
03/17/2010 14:53:23,42.36455,-71.1028,0.55,1000.53,24.11,3,13,1
03/17/2010 14:53:24,42.364536,-71.10278,0.51,1053.44,24.11,1,13,2
03/17/2010 14:53:25,42.364517,-71.10278,0.70,1061.95,24.11,3,14,2
03/17/2010 14:53:26,42.364502,-71.10278,0.78,1061.95,24.11,6,14,3
03/17/2010 14:53:27,42.364502,-71.10278,1.05,1060.42,24.11,3,13,2
03/17/2010 14:53:28,42.364487,-71.10278,1.21,1061.95,24.11,2,17,2
03/17/2010 14:53:29,42.364452,-71.1028,1.17,1061.95,24.11,4,15,2
03/17/2010 14:53:30,,,1.21,1062.71,23.79,2, ,2
03/17/2010 14:53:31,42.364536,-71.102974,0.90,1063.47,24.11,4,19,2
03/17/2010 14:53:32,42.3646,-71.10305,1.17,1062.71,23.79,4,21,1
03/17/2010 14:53:34,42.36463,-71.103134,1.21,1063.47,23.79,2,25,2
03/17/2010 14:53:35,42.364666,-71.10315,0.66,1063.47,23.79,5,29,2
03/17/2010 14:53:36,42.364647,-71.103134,0.86,1062.71,23.79,1,31,2
03/17/2010 14:53:37,42.36463,-71.1031,0.55,1065.74,23.79,5,30,2
03/17/2010 14:53:38,42.3646,-71.1031,0.43,1069.49,23.47,9,30,2
03/17/2010 14:53:39,42.364582,-71.1031,0.51,1064.99,23.47,2,30,2
03/17/2010 14:53:40,42.364567,-71.1031,0.78,1064.99,23.47,4,29,2
03/17/2010 14:53:41,42.364567,-71.1031,0.66,1065.74,23.47,2,32,2
03/17/2010 14:53:42,42.364536,-71.1031,1.13,1064.23,23.47,5,32,3
03/17/2010 14:53:43,42.364517,-71.1031,1.33,1063.47,23.47,5,33,2
03/17/2010 14:53:44,42.364487,-71.10308,1.13,1062.71,23.47,13,30,1
03/17/2010 14:53:46,42.364452,-71.103065,1.17,1062.71,23.47,4,26,2
03/17/2010 14:53:47,42.36442,-71.10305,0.98,1063.47,23.47,10,25,2
03/17/2010 14:53:48,42.364395,-71.10305,0.66,1063.47,23.47,2,24,2
03/17/2010 14:53:49,42.36438,-71.10305,0.74,1063.47,23.14,5,23,2
03/17/2010 14:53:50,42.364365,-71.103065,0.62,1063.47,23.14,4,23,2
03/17/2010 14:53:51,42.364346,-71.103065,0.59,1064.99,23.14,3,23,2
03/17/2010 14:53:52,42.364346,-71.10308,0.59,1067.25,23.14,1,23,2
03/17/2010 14:53:53,42.36433,-71.10308,0.70,1063.47,23.14,3,22,2
03/17/2010 14:53:54,42.364315,-71.1031,0.82,1063.47,23.14,3,22,2
03/17/2010 14:53:55,42.364315,-71.10312,0.74,1064.23,23.14,4,19,2
03/17/2010 14:53:56,42.3643,-71.10312,0.82,1064.23,23.14,2,18,2
03/17/2010 14:53:58,42.3643,-71.103134,0.82,1063.47,23.14,7,18,2
03/17/2010 14:53:59,42.36428,-71.103134,0.94,1063.47,23.14,1,18,2
03/17/2010 14:54:00,42.364265,-71.10315,0.98,1064.99,22.82,1,18,1
03/17/2010 14:54:01,42.364265,-71.10315,0.82,1067.25,22.82,3,18,0
03/17/2010 14:54:02,42.36425,-71.103165,0.78,1068.00,22.82,0,19,2
03/17/2010 14:54:03,42.36425,-71.10318,0.82,1068.75,22.82,2,18,0
03/17/2010 14:54:04,42.364265,-71.103195,0.78,1068.75,22.82,1,17,0
03/17/2010 14:54:05,42.364265,-71.10322,0.74,1068.75,22.50,5,17,2
03/17/2010 14:54:06,42.36428,-71.10325,0.74,1068.75,22.50,3,16,2
03/17/2010 14:54:07,42.36428,-71.10325,0.74,1068.00,22.50,1,15,2
03/17/2010 14:54:08,42.3643,-71.103264,0.74,1067.25,22.18,6,15,2
03/17/2010 14:54:10,42.3643,-71.10328,0.74,1066.50,21.86,4,14,1
03/17/2010 14:54:11,42.3643,-71.10328,0.78,1065.74,21.86,9,14,1
03/17/2010 14:54:12,42.364315,-71.1033,0.78,1068.75,21.86,10,13,1
03/17/2010 14:54:13,42.364315,-71.10332,0.70,1068.75,21.53,7,13,2
03/17/2010 14:54:14,42.36433,-71.10332,0.82,1068.75,21.53,16,13,2
03/17/2010 14:54:15,42.36433,-71.10334,0.78,1067.25,21.53,3,13,0
03/17/2010 14:54:16,42.364346,-71.103355,0.74,1065.74,21.53,3,13,1
03/17/2010 14:54:17,42.364346,-71.103355,0.70,1066.50,21.53,4,12,1
03/17/2010 14:54:18,42.364365,-71.103386,0.74,1066.50,21.53,5,12,2
03/17/2010 14:54:19,42.364365,-71.103386,0.78,1067.25,21.21,4,11,1
03/17/2010 14:54:20,42.364365,-71.1034,0.59,1072.46,21.21,5,11,0
03/17/2010 14:54:22,42.36438,-71.1034,0.78,1073.93,21.21,5,11,1
03/17/2010 14:54:23,42.36438,-71.10342,0.98,1073.20,21.21,4,11,1
03/17/2010 14:54:24,42.364395,-71.10342,1.13,1073.20,21.21,3,11,1
03/17/2010 14:54:25,42.364395,-71.10343,1.13,1073.20,21.21,5,11,2
03/17/2010 14:54:26,42.36442,-71.10345,1.02,1073.20,21.21,6,10,1
03/17/2010 14:54:27,42.36442,-71.10345,1.25,1073.20,20.89,3,10,1
03/17/2010 14:54:28,42.36442,-71.10347,1.02,1073.20,20.89,2,9,2
03/17/2010 14:54:29,42.364437,-71.103485,1.09,1074.67,20.89,6,9,1
03/17/2010 14:54:30,42.364452,-71.1035,1.05,1073.20,20.89,4,9,1
03/17/2010 14:54:31,42.364452,-71.103516,0.98,1073.93,20.89,10,9,1
03/17/2010 14:54:32,42.364452,-71.10353,0.94,1073.93,20.89,9,9,2
03/17/2010 14:54:34,42.364468,-71.10353,0.86,1073.20,20.57,2,10,2
03/17/2010 14:54:35,42.364468,-71.103546,0.86,1073.20,20.57,6,10,0
03/17/2010 14:54:36,42.364468,-71.103546,0.59,1072.46,20.57,3,9,2
03/17/2010 14:54:37,42.364487,-71.10356,0.59,1072.46,20.57,20,9,2
03/17/2010 14:54:38,42.364487,-71.103584,0.66,1069.49,20.24,4,9,2
03/17/2010 14:54:39,42.364502,-71.103584,0.82,1069.49,20.24,16,9,2
03/17/2010 14:54:40,42.364502,-71.103615,0.86,1071.72,20.24,5,12,1
03/17/2010 14:54:41,42.364502,-71.103615,1.09,1071.72,20.24,3,12,2
03/17/2010 14:54:42,42.364517,-71.10365,0.86,1072.46,20.24,14,12,1
03/17/2010 14:54:43,42.364517,-71.10365,1.05,1073.93,19.92,7,12,1
03/17/2010 14:54:44,42.364536,-71.10367,1.25,1071.72,19.92,19,11,1
03/17/2010 14:54:46,42.364536,-71.10368,1.09,1073.93,19.92,13,11,2
03/17/2010 14:54:47,42.364536,-71.10368,1.13,1070.98,19.92,12,11,1
03/17/2010 14:54:48,42.36455,-71.10371,1.09,1071.72,19.92,8,11,2
03/17/2010 14:54:49,42.36455,-71.10371,1.02,1072.46,19.92,7,11,1
03/17/2010 14:54:50,42.36455,-71.10372,0.90,1072.46,19.92,15,11,1
03/17/2010 14:54:51,42.364567,-71.10374,0.70,1071.72,19.92,19,11,2
03/17/2010 14:54:52,42.364567,-71.10375,0.74,1066.50,19.92,8,11,2
03/17/2010 14:54:53,42.364582,-71.10377,0.74,1052.66,19.60,7,11,2
03/17/2010 14:54:54,42.364582,-71.1038,0.86,1048.71,19.60,4,11,0
03/17/2010 14:54:55,42.3646,-71.1038,0.74,1048.71,19.28,3,11,0
03/17/2010 14:54:56,42.3646,-71.10381,0.74,1048.71,19.28,1,12,1
03/17/2010 14:54:58,42.3646,-71.103836,0.55,1047.92,19.28,4,12,0
03/17/2010 14:54:59,42.364616,-71.10385,0.70,1047.12,19.28,4,12,1
03/17/2010 14:55:00,42.364616,-71.10385,0.98,1046.32,19.28,3,12,1
03/17/2010 14:55:01,42.36463,-71.10387,1.05,1048.71,19.28,11,12,0
03/17/2010 14:55:02,42.36463,-71.10388,0.90,1048.71,19.28,13,13,2
03/17/2010 14:55:03,42.36463,-71.10388,1.05,1050.30,19.28,8,14,2
03/17/2010 14:55:04,42.364647,-71.10388,1.17,1055.79,19.28,9,14,1
03/17/2010 14:55:05,42.364647,-71.1039,1.02,1058.88,19.28,14,15,2
03/17/2010 14:55:06,42.36468,-71.10391,0.98,1063.47,19.28,6,15,1
