, Accelerometer, Orientation, Time
, 103.66255, 218.0, 5/22/2010 23:36:11
, 95.85817, 218.0, 5/22/2010 23:36:12
, 95.398834, 218.0, 5/22/2010 23:36:13
, 94.35699, 218.0, 5/22/2010 23:36:14
, 96.8503, 218.0, 5/22/2010 23:36:15
, 96.66126, 218.0, 5/22/2010 23:36:16
, 95.86633, 218.0, 5/22/2010 23:36:17
, 94.81205, 218.0, 5/22/2010 23:36:18
, 96.64178, 218.0, 5/22/2010 23:36:19
, 96.241066, 218.0, 5/22/2010 23:36:20
, 97.42465, 217.0, 5/22/2010 23:36:21
, 95.89082, 216.0, 5/22/2010 23:36:22
, 110.52063, 206.0, 5/22/2010 23:36:23
, 88.759476, 211.0, 5/22/2010 23:36:24
, 96.577225, 216.0, 5/22/2010 23:36:25
, 96.66404, 219.0, 5/22/2010 23:36:26
, 102.12131, 220.0, 5/22/2010 23:36:27
