time,lat,long,accel,light,temp,sound
"Jul 22 2009 10:44:35",42.76963,-71.10215,6.18,75.00,24.44,0.00
"Jul 22 2009 10:44:36",42.76961,-71.102165,6.10,75.00,24.44,0.00
"Jul 22 2009 10:44:37",42.76962,-71.10219,5.83,75.00,24.44,0.00
"Jul 22 2009 10:44:38",42.76963,-71.10216,5.87,75.00,24.44,0.00
"Jul 22 2009 10:44:39",42.769646,-71.10217,6.18,75.00,24.44,0.00
"Jul 22 2009 10:44:40",42.769646,-71.10218,6.22,75.00,24.44,0.00
"Jul 22 2009 10:44:41",42.769646,-71.10218,5.91,75.00,24.44,0.00
"Jul 22 2009 10:44:42",42.769653,-71.10218,6.06,75.00,24.44,56.00
"Jul 22 2009 10:44:43",42.76966,-71.10217,6.10,75.00,24.44,0.00
"Jul 22 2009 10:44:44",42.76966,-71.10217,5.98,75.00,24.44,0.00
"Jul 22 2009 10:44:45",42.76966,-71.10217,6.14,75.00,24.44,0.00
"Jul 22 2009 10:44:46",42.769646,-71.10218,6.22,75.00,24.44,0.00
"Jul 22 2009 10:44:47",42.769646,-71.102196,5.91,75.00,24.44,0.00
"Jul 22 2009 10:44:48",42.769646,-71.1022,5.75,75.00,24.44,0.00
"Jul 22 2009 10:44:49",42.769653,-71.10221,5.79,75.00,24.44,37.00
"Jul 22 2009 10:44:51",42.769646,-71.10223,5.79,75.00,24.44,0.00
"Jul 22 2009 10:44:52",42.769646,-71.10224,5.91,75.00,24.44,0.00
"Jul 22 2009 10:44:53",42.769638,-71.10226,6.18,74.00,24.44,0.00
"Jul 22 2009 10:44:54",42.76963,-71.102264,5.79,74.00,24.44,24.00
"Jul 22 2009 10:44:55",42.76963,-71.102264,6.14,75.00,24.44,0.00
"Jul 22 2009 10:44:56",42.76963,-71.10227,5.98,74.00,24.44,0.00
"Jul 22 2009 10:44:57",42.76963,-71.10227,6.14,74.00,24.44,0.00
"Jul 22 2009 10:44:58",42.76963,-71.10228,6.10,74.00,24.44,0.00
"Jul 22 2009 10:44:59",42.769638,-71.10228,6.14,75.00,24.44,0.00
"Jul 22 2009 10:45:00",42.769638,-71.10229,5.83,75.00,24.44,7.00
"Jul 22 2009 10:45:01",42.76963,-71.102295,6.22,75.00,24.44,0.00
"Jul 22 2009 10:45:02",42.76963,-71.1023,5.95,75.00,24.44,0.00
"Jul 22 2009 10:45:03",42.76963,-71.10232,6.02,75.00,24.44,0.00
"Jul 22 2009 10:45:04",42.76962,-71.10233,6.38,75.00,24.44,0.00
"Jul 22 2009 10:45:05",42.76961,-71.10234,6.02,75.00,24.44,0.00
"Jul 22 2009 10:45:06",42.769604,-71.10236,5.83,75.00,24.44,0.00
"Jul 22 2009 10:45:07",42.769604,-71.10237,6.34,75.00,24.44,0.00
"Jul 22 2009 10:45:08",42.769596,-71.10238,6.14,75.00,24.44,0.00
"Jul 22 2009 10:45:09",42.769596,-71.102394,5.87,75.00,24.44,0.00
"Jul 22 2009 10:45:10",42.76959,-71.1024,5.71,75.00,24.44,0.00
"Jul 22 2009 10:45:11",42.76958,-71.10241,5.91,75.00,24.44,0.00
