time,latitude,longitude,accel,light,sound,external
"Dec 26 2009 20:24:37",35.186024,-111.63846,1.09,451.92,0,28.10725
"Dec 26 2009 20:24:39",35.186024,-111.63846,1.13,376.83,0,28.10725
"Dec 26 2009 20:24:40",35.186024,-111.63846,1.09,375.08,0,28.10725
"Dec 26 2009 20:24:42",35.186024,-111.63846,1.09,150.40,0,28.10725
"Dec 26 2009 20:24:43",35.186024,-111.63846,1.09,88.59,0,27.9948
"Dec 26 2009 20:24:45",35.186024,-111.63846,1.21,353.98,0,27.9948
"Dec 26 2009 20:24:46",35.186024,-111.63846,1.21,468.50,0,27.9948
"Dec 26 2009 20:24:48",35.186024,-111.63846,1.13,414.81,0,27.9948
"Dec 26 2009 20:24:49",35.186024,-111.63846,1.09,330.82,0,27.9948
"Dec 26 2009 20:24:50",35.186024,-111.63846,1.13,440.21,0,27.88235
"Dec 26 2009 20:24:51",35.186024,-111.63846,1.05,456.91,0,27.88235
"Dec 26 2009 20:24:53",35.186024,-111.63846,1.09,423.32,0,27.88235
"Dec 26 2009 20:24:54",35.186024,-111.63846,1.09,455.25,0,27.88235
"Dec 26 2009 20:24:56",35.186024,-111.63846,1.21,425.02,0,27.7699
"Dec 26 2009 20:24:57",35.186024,-111.63846,1.09,397.65,0,27.7699
"Dec 26 2009 20:24:59",35.186024,-111.63846,0.98,421.62,0,27.7699
"Dec 26 2009 20:28:00",35.186024,-111.63846,1.05,484.90,0,27.65745
"Dec 26 2009 20:28:02",35.186024,-111.63846,1.13,401.10,0,27.65745
"Dec 26 2009 20:28:03",35.186024,-111.63846,1.13,362.80,0,27.65745
"Dec 26 2009 20:28:05",35.186024,-111.63846,1.09,446.91,0,27.65745
"Dec 26 2009 20:28:06",35.186024,-111.63846,1.09,414.81,0,27.5450
"Dec 26 2009 20:28:08",35.186024,-111.63846,1.09,337.98,0,27.5450
"Dec 26 2009 20:28:09",35.186024,-111.63846,1.02,548.70,0,27.43255
"Dec 26 2009 20:28:11",35.186024,-111.63846,1.13,435.16,0,27.43255
"Dec 26 2009 20:28:12",35.186024,-111.63846,1.13,332.61,0,27.43255
"Dec 26 2009 20:28:13",35.186024,-111.63846,1.02,237.04,0,27.43255
"Dec 26 2009 20:28:15",35.186024,-111.63846,1.13,362.80,0,27.43255
"Dec 26 2009 20:28:16",35.186024,-111.63846,1.09,259.52,0,27.43255
"Dec 26 2009 20:28:17",35.186024,-111.63846,1.09,325.43,0,27.43255
"Dec 26 2009 20:28:19",35.186024,-111.63846,1.09,263.25,0,27.43255
"Dec 26 2009 20:28:20",35.186024,-111.63846,1.17,463.54,0,27.43255
"Dec 26 2009 20:28:22",35.186024,-111.63846,1.13,531.44,0,27.3201
"Dec 26 2009 20:28:23",35.186024,-111.63846,1.13,385.54,0,27.3201
"Dec 26 2009 20:28:25",35.186024,-111.63846,1.05,501.12,0,27.3201
"Dec 26 2009 20:28:26",35.186024,-111.63846,1.09,383.80,0,27.3201
"Dec 26 2009 20:28:28",35.186024,-111.63846,1.09,450.25,0,27.3201
"Dec 26 2009 20:28:29",35.186024,-111.63846,1.13,453.59,0,27.3201
"Dec 26 2009 20:28:31",35.186024,-111.63846,1.05,371.58,0,27.3201
"Dec 26 2009 20:28:32",35.186024,-111.63846,1.09,380.32,0,27.20765
"Dec 26 2009 20:28:34",35.186024,-111.63846,1.13,483.27,0,27.20765
"Dec 26 2009 20:28:35",35.186024,-111.63846,1.13,421.62,0,27.20765
"Dec 26 2009 20:28:36",35.186024,-111.63846,1.13,305.54,0,27.0952
"Dec 26 2009 20:28:38",35.186024,-111.63846,1.02,330.82,0,26.98275
"Dec 26 2009 20:28:39",35.186024,-111.63846,0.94,336.19,0,26.98275
"Dec 26 2009 20:28:40",35.186024,-111.63846,1.21,359.28,0,26.8703
"Dec 26 2009 20:28:42",35.186024,-111.63846,1.09,404.54,0,26.75785
"Dec 26 2009 20:28:43",35.186024,-111.63846,1.13,296.43,0,26.6454
"Dec 26 2009 20:28:45",35.186024,-111.63846,1.13,162.16,0,26.53295
"Dec 26 2009 20:28:46",35.186024,-111.63846,1.09,318.22,0,26.53295
"Dec 26 2009 20:28:48",35.186024,-111.63846,1.05,355.75,0,26.4205
"Dec 26 2009 20:28:49",35.186024,-111.63846,1.02,60.11,1,26.53295
"Dec 26 2009 20:28:51",35.186024,-111.63846,1.02,248.31,0,26.6454
"Dec 26 2009 20:28:52",35.186024,-111.63846,1.05,301.90,0,26.6454
"Dec 26 2009 20:28:54",35.186024,-111.63846,1.09,343.33,0,26.75785
"Dec 26 2009 20:28:55",35.186024,-111.63846,1.09,404.54,0,26.75785
"Dec 26 2009 20:28:57",35.186024,-111.63846,1.13,223.80,0,26.8703
"Dec 26 2009 20:28:58",35.186024,-111.63846,1.13,168.02,0,26.8703
"Dec 26 2009 20:28:00",35.186024,-111.63846,1.09,223.80,0,26.8703
"Dec 26 2009 20:28:01",35.186024,-111.63846,1.17,164.11,0,26.8703
"Dec 26 2009 20:28:02",35.186024,-111.63846,1.09,76.43,0,26.8703
"Dec 26 2009 20:28:03",35.186024,-111.63846,1.25,53.97,0,26.8703
"Dec 26 2009 20:28:05",35.186024,-111.63846,1.05,51.91,1,26.8703
"Dec 26 2009 20:28:06",35.186024,-111.63846,1.13,51.91,0,26.8703
"Dec 26 2009 20:28:08",35.186024,-111.63846,1.02,58.07,0,26.8703
"Dec 26 2009 20:28:09",35.186024,-111.63846,1.13,86.57,1,26.8703
"Dec 26 2009 20:28:11",35.186024,-111.63846,1.13,80.49,0,26.8703
"Dec 26 2009 20:28:12",35.186024,-111.63846,1.17,70.33,0,26.8703
"Dec 26 2009 20:28:14",35.186024,-111.63846,1.17,51.91,0,26.8703
"Dec 26 2009 20:28:15",35.186024,-111.63846,1.21,102.70,0,26.8703
"Dec 26 2009 20:28:17",35.203625,-111.6353,1.25,120.71,0,26.8703
"Dec 26 2009 20:28:18",35.203625,-111.6353,1.29,110.72,0,26.98275
"Dec 26 2009 20:28:20",35.203625,-111.6353,1.17,90.61,1,26.98275
"Dec 26 2009 20:28:21",35.203625,-111.6353,1.13,102.70,2,26.98275
"Dec 26 2009 20:28:23",35.203625,-111.6353,1.09,116.72,0,26.98275
"Dec 26 2009 20:28:24",35.205334,-111.649124,1.09,104.71,0,27.0952
"Dec 26 2009 20:28:26",35.205334,-111.649124,1.21,104.71,0,27.0952
"Dec 26 2009 20:28:27",35.205334,-111.649124,1.17,162.16,0,27.0952
"Dec 26 2009 20:28:28",35.205334,-111.649124,0.98,244.56,0,27.43255
"Dec 26 2009 20:28:30",35.205334,-111.649124,1.13,440.21,0,28.2197
"Dec 26 2009 20:28:31",35.205334,-111.649124,1.13,316.42,0,28.33215
"Dec 26 2009 20:28:32",35.20576,-111.641014,1.17,325.43,0,28.55705
"Dec 26 2009 20:28:34",35.205677,-111.6442,1.21,136.59,0,28.2197
"Dec 26 2009 20:28:35",35.205677,-111.6442,1.17,122.70,0,27.9948
"Dec 26 2009 20:28:37",35.205677,-111.6442,1.17,12.56,0,28.10725
"Dec 26 2009 20:28:38",35.205677,-111.6442,1.13,25.06,0,28.10725
"Dec 26 2009 20:28:40",35.205677,-111.6442,1.09,31.28,0,28.10725
"Dec 26 2009 20:28:41",35.205677,-111.6442,1.17,25.06,0,28.10725
"Dec 26 2009 20:28:43",35.205677,-111.6442,1.09,33.35,0,28.2197
"Dec 26 2009 20:28:44",35.205677,-111.6442,1.09,18.82,0,28.2197
"Dec 26 2009 20:28:46",35.205677,-111.6442,1.09,16.73,0,28.2197
"Dec 26 2009 20:28:47",35.205677,-111.6442,1.17,16.73,0,28.2197
"Dec 26 2009 20:28:49",35.205677,-111.6442,1.13,12.56,1,28.2197
"Dec 26 2009 20:28:50",35.205677,-111.6442,1.17,27.13,1,28.2197
"Dec 26 2009 20:28:52",35.205677,-111.6442,1.13,22.98,0,28.2197
"Dec 26 2009 20:28:53",35.205677,-111.6442,1.21,22.98,0,28.2197
"Dec 26 2009 20:28:55",35.205677,-111.6442,1.17,22.98,1,28.2197
"Dec 26 2009 20:28:56",35.205677,-111.6442,1.17,22.98,1,28.33215
"Dec 26 2009 20:28:57",35.205677,-111.6442,1.17,22.98,0,28.33215
"Dec 26 2009 20:28:59",35.205677,-111.6442,1.17,25.06,1,28.33215
"Dec 26 2009 20:28:00",35.205677,-111.6442,1.17,25.06,0,28.33215
"Dec 26 2009 20:28:01",35.205677,-111.6442,1.21,25.06,0,28.33215
"Dec 26 2009 20:28:03",35.205677,-111.6442,1.13,25.06,0,28.33215
"Dec 26 2009 20:28:04",35.205677,-111.6442,1.25,27.13,0,28.33215
"Dec 26 2009 20:28:06",35.205677,-111.6442,1.17,22.98,0,28.33215
"Dec 26 2009 20:28:07",35.205677,-111.6442,1.09,25.06,0,28.33215
"Dec 26 2009 20:28:09",35.205677,-111.6442,1.21,22.98,1,28.33215
"Dec 26 2009 20:28:10",35.205677,-111.6442,1.13,18.82,2,28.4446
