time,latitude,longitude,accel,light,temp,sound
"Dec 26 2009 24:24:10",35.18568,-111.65981,1.05,112.72,-7.15,1
"Dec 26 2009 24:24:11",35.185722,-111.65981,0.98,43.68,-6.50,0
"Dec 26 2009 24:24:13",35.18568,-111.65939,1.09,31.28,-7.15,0
"Dec 26 2009 24:24:14",35.18568,-111.658966,0.94,12.56,-6.83,0
"Dec 26 2009 24:24:16",35.18568,-111.65855,1.25,0.00,-6.83,0
"Dec 26 2009 24:24:17",35.18577,-111.658966,0.86,0.00,-6.83,0
"Dec 26 2009 24:24:19",35.185936,-111.658966,1.17,0.00,-7.15,0
"Dec 26 2009 24:24:20",35.18606,-111.658966,0.82,0.00,-6.83,0
"Dec 26 2009 24:24:21",35.18615,-111.658966,1.56,0.00,-7.47,0
"Dec 26 2009 24:24:22",35.186195,-111.65855,0.94,0.00,-7.15,0
"Dec 26 2009 24:24:24",35.18615,-111.65855,1.29,0.00,-7.47,0
"Dec 26 2009 24:24:25",35.186195,-111.657684,0.98,0.00,-7.47,0
"Dec 26 2009 24:24:27",35.186195,-111.65726,1.02,0.00,-7.47,0
"Dec 26 2009 24:24:28",35.186195,-111.65726,1.25,0.00,-7.79,0
"Dec 26 2009 24:24:30",35.186108,-111.655975,1.09,0.00,-7.47,0
"Dec 26 2009 24:24:31",35.186024,-111.65555,1.09,0.00,-7.15,0
"Dec 26 2009 24:24:33",35.186024,-111.65513,0.90,0.00,-7.47,0
"Dec 26 2009 24:24:34",35.185978,-111.65513,1.21,0.00,-7.47,0
"Dec 26 2009 24:24:36",35.185936,-111.65513,0.86,0.00,-7.79,0
"Dec 26 2009 24:24:37",35.185894,-111.6547,1.17,0.00,-7.79,0
"Dec 26 2009 24:24:38",35.185852,-111.65427,0.90,0.00,-8.12,0
"Dec 26 2009 24:24:40",35.185806,-111.65427,1.33,0.00,-8.12,0
"Dec 26 2009 24:24:41",35.185806,-111.65427,0.86,0.00,-7.79,0
"Dec 26 2009 24:24:42",35.185806,-111.65427,1.37,0.00,-7.79,0
"Dec 26 2009 24:24:44",35.185806,-111.65427,1.09,0.00,-8.12,0
"Dec 26 2009 24:24:45",35.185806,-111.65427,0.82,0.00,-7.79,0
"Dec 26 2009 24:24:47",35.185806,-111.6547,1.56,0.00,-7.79,0
"Dec 26 2009 24:24:48",35.18577,-111.65513,1.05,0.00,-8.12,0
"Dec 26 2009 24:24:50",35.185722,-111.655975,1.09,0.00,-8.44,0
"Dec 26 2009 24:24:51",35.185722,-111.65641,1.33,0.00,-8.12,0
"Dec 26 2009 24:24:53",35.18568,-111.65684,0.86,0.00,-8.12,0
"Dec 26 2009 24:24:54",35.185635,-111.65726,1.13,0.00,-8.44,0
"Dec 26 2009 24:24:56",35.185635,-111.65726,0.86,0.00,-8.44,0
"Dec 26 2009 24:24:57",35.185596,-111.657684,1.21,4.19,-8.12,0
"Dec 26 2009 24:24:58",35.185596,-111.657684,0.94,10.47,-8.12,0
"Dec 26 2009 24:24:59",35.185596,-111.658104,1.05,6.29,-8.12,0
"Dec 26 2009 24:28:01",35.185596,-111.657684,1.09,0.00,-8.44,0
"Dec 26 2009 24:28:02",35.185635,-111.657684,1.13,4.19,-8.44,0
"Dec 26 2009 24:28:04",35.18568,-111.658104,1.02,0.00,-8.12,0
