time,latitude,longitude,accel,light,external,sound
"Jul 27 2009 18:00:04",,,0.98,548.70,30.0189,0
"Jul 27 2009 18:00:05",,,0.98,593.15,30.0189,0
"Jul 27 2009 18:00:06",,,1.09,725.50,30.0189,0
"Jul 27 2009 18:00:08",,,0.98,698.35,30.0189,0
"Jul 27 2009 18:00:09",,,0.98,430.10,30.13135,0
"Jul 27 2009 18:00:11",,,0.94,587.11,30.13135,0
"Jul 27 2009 18:00:12",,,1.02,520.35,30.13135,0
"Jul 27 2009 18:00:14",,,0.86,617.03,30.13135,0
"Jul 27 2009 18:00:15",,,1.09,504.34,30.13135,0
"Jul 27 2009 18:00:17",,,0.86,395.93,30.13135,0
"Jul 27 2009 18:00:17",,,1.05,709.30,30.13135,0
"Jul 27 2009 18:00:20",,,0.78,771.28,30.2438,0
"Jul 27 2009 18:00:20",,,1.21,802.63,30.2438,0
"Jul 27 2009 18:00:22",,,0.74,805.09,30.35625,0
"Jul 27 2009 18:00:23",,,1.72,805.09,30.35625,0
"Jul 27 2009 18:00:25",,,0.59,807.54,30.4687,0
"Jul 27 2009 18:00:26",,,1.09,677.52,30.80605,0
"Jul 27 2009 18:00:28",,,1.02,671.90,31.1434,0
"Jul 27 2009 18:00:29",,,0.90,832.85,31.1434,0
"Jul 27 2009 18:00:31",,,1.09,677.52,31.25585,0
"Jul 27 2009 18:00:32",,,0.82,825.70,31.48075,0
"Jul 27 2009 18:00:34",,,1.60,677.52,31.70565,0
"Jul 27 2009 18:00:35",,,0.78,820.89,31.70565,0
"Jul 27 2009 18:00:37",,,1.21,829.28,31.8181,0
"Jul 27 2009 18:00:37",,,0.82,820.89,32.15545,0
"Jul 27 2009 18:00:39",,,1.05,820.89,32.2679,0
"Jul 27 2009 18:00:40",,,1.02,822.10,32.38035,0
"Jul 27 2009 18:00:42",,,1.02,825.70,32.2679,0
"Jul 27 2009 18:00:43",,,1.17,820.89,32.4928,0
"Jul 27 2009 18:00:45",,,1.02,819.69,32.60525,0
"Jul 27 2009 18:00:46",,,0.78,836.40,32.83015,0
"Jul 27 2009 18:00:48",,,1.21,676.12,32.9426,0
"Jul 27 2009 18:00:49",,,1.09,663.41,33.05505,0
"Jul 27 2009 18:00:51",,,1.13,808.76,32.9426,0
"Jul 27 2009 18:00:52",,,1.02,803.86,34.9667,0
"Jul 27 2009 18:00:54",,,1.33,813.64,36.3161,0
"Jul 27 2009 18:00:54",,,1.05,676.12,35.30405,0
"Jul 27 2009 18:00:57",,,1.13,822.10,34.7418,0
"Jul 27 2009 18:00:57",,,0.90,823.30,34.2920,0
"Jul 27 2009 18:00:59",,,1.02,820.89,33.95465,0
"Jul 27 2009 18:00:00",,,0.98,836.40,33.72975,0
"Jul 27 2009 18:00:02",,,0.78,673.31,33.72975,0
"Jul 27 2009 18:00:03",,,1.13,676.12,33.72975,0
"Jul 27 2009 18:00:05",,,0.94,676.12,33.72975,0
"Jul 27 2009 18:00:06",,,0.78,674.71,33.6173,0
"Jul 27 2009 18:00:08",,,0.82,829.28,33.6173,0
"Jul 27 2009 18:00:09",,,1.09,825.70,33.6173,0
"Jul 27 2009 18:00:11",,,0.82,823.30,33.6173,0
"Jul 27 2009 18:00:11",,,0.74,661.99,33.6173,4
"Jul 27 2009 18:00:14",,,1.41,829.28,33.72975,0
"Jul 27 2009 18:00:14",,,1.13,673.31,33.72975,0
"Jul 27 2009 18:00:16",,,0.66,837.58,33.72975,0
"Jul 27 2009 18:00:17",,,1.37,819.69,33.72975,0
"Jul 27 2009 18:00:19",,,1.17,670.49,33.72975,0
"Jul 27 2009 18:00:20",,,1.05,828.09,33.72975,0
"Jul 27 2009 18:00:22",,,1.05,835.22,33.8422,0
"Jul 27 2009 18:00:23",,,0.86,831.66,33.72975,0
"Jul 27 2009 18:00:25",,,1.21,829.28,33.8422,0
"Jul 27 2009 18:00:26",,,0.70,834.03,33.72975,0
"Jul 27 2009 18:00:28",,,1.09,830.47,33.72975,1
"Jul 27 2009 18:00:28",,,0.82,823.30,33.72975,0
"Jul 27 2009 18:00:31",,,1.02,831.66,33.8422,0
"Jul 27 2009 18:00:31",,,1.13,678.92,33.8422,0
"Jul 27 2009 18:00:33",,,0.74,678.92,33.8422,0
"Jul 27 2009 18:00:34",,,1.29,677.52,33.8422,1
"Jul 27 2009 18:00:36",,,0.94,678.92,33.8422,1
"Jul 27 2009 18:00:37",,,1.17,677.52,33.95465,0
"Jul 27 2009 18:00:39",,,0.82,678.92,34.0671,0
"Jul 27 2009 18:00:40",,,1.33,678.92,34.0671,0
"Jul 27 2009 18:00:42",,,0.94,817.27,33.72975,0
"Jul 27 2009 18:00:43",,,1.13,829.28,33.3924,0
"Jul 27 2009 18:00:45",,,1.25,677.52,33.3924,0
"Jul 27 2009 18:00:45",,,0.74,678.92,33.3924,0
"Jul 27 2009 18:00:48",,,1.17,678.92,33.3924,0
"Jul 27 2009 18:00:48",,,0.66,676.12,33.50485,0
"Jul 27 2009 18:00:50",,,1.05,834.03,33.3924,0
"Jul 27 2009 18:00:51",,,1.29,814.85,33.1675,1
"Jul 27 2009 18:00:53",,,1.02,811.20,33.05505,0
"Jul 27 2009 18:00:54",,,1.09,812.42,33.05505,0
"Jul 27 2009 18:00:56",,,1.05,667.66,33.05505,0
"Jul 27 2009 18:00:57",,,0.98,676.12,33.27995,0
"Jul 27 2009 18:00:59",,,1.13,678.92,33.50485,1
"Jul 27 2009 18:04:00",,,1.21,817.27,33.3924,0
"Jul 27 2009 18:04:02",,,1.37,837.58,33.27995,0
"Jul 27 2009 18:04:02",,,1.09,825.70,33.3924,0
"Jul 27 2009 18:04:05",,,1.60,677.52,33.6173,0
"Jul 27 2009 18:04:05",,,0.82,841.11,33.72975,0
"Jul 27 2009 18:04:07",,,1.60,678.92,33.6173,0
"Jul 27 2009 18:04:08",,,0.51,676.12,33.6173,0
"Jul 27 2009 18:04:10",,,1.21,678.92,33.72975,0
"Jul 27 2009 18:04:11",,,0.59,678.92,33.6173,0
"Jul 27 2009 18:04:13",,,2.03,674.71,33.6173,0
"Jul 27 2009 18:04:14",,,1.17,660.56,33.72975,0
"Jul 27 2009 18:04:16",,,0.82,676.12,33.8422,0
"Jul 27 2009 18:04:17",,,1.17,674.71,33.72975,0
"Jul 27 2009 18:04:19",,,0.55,676.12,33.72975,0
"Jul 27 2009 18:04:19",,,1.09,678.92,33.6173,0
"Jul 27 2009 18:04:21",,,1.09,677.52,33.6173,0
"Jul 27 2009 18:04:22",,,1.05,678.92,33.50485,0
"Jul 27 2009 18:04:24",,,1.21,676.12,33.50485,0
"Jul 27 2009 18:04:25",,,0.98,674.71,33.50485,0
"Jul 27 2009 18:04:27",,,0.66,838.76,33.50485,0
"Jul 27 2009 18:04:28",,,1.17,673.31,33.3924,0
"Jul 27 2009 18:04:30",,,1.37,676.12,33.3924,0
"Jul 27 2009 18:04:31",,,1.41,677.52,33.3924,0
"Jul 27 2009 18:04:33",,,1.52,674.71,33.27995,0
"Jul 27 2009 18:04:34",,,0.66,677.52,33.27995,0
"Jul 27 2009 18:04:36",,,1.25,676.12,33.3924,0
"Jul 27 2009 18:04:36",,,1.64,677.52,33.6173,0
"Jul 27 2009 18:04:38",,,0.82,678.92,33.6173,0
