time,latitude,longitude,acceleration,light,temperature,sound
0,,,1.17,14.65,26.04,23
1,,,0.94,14.65,26.04,26
2,,,1.21,64.20,26.04,12
3,,,1.21,289.10,26.04,17
4,,,1.21,49.86,25.72,23
5,,,0.94,27.13,25.72,31
6,,,0.94,229.48,25.72,13
7,,,0.90,246.44,25.72,16
8,,,0.90,45.74,25.72,2
9,,,0.86,114.72,25.72,5
10,,,0.90,104.71,25.72,17
11,,,1.05,14.65,25.72,28
12,,,1.25,18.82,25.40,7
13,,,1.80,45.74,25.40,25
14,,,1.21,33.35,25.40,2
15,,,1.29,72.36,25.40,4
16,,,1.13,116.72,25.40,4
17,,,0.98,43.68,25.40,40
18,,,0.86,16.73,25.40,7
19,,,1.13,25.06,25.40,19
20,,,1.09,140.55,25.40,28
21,,,0.90,16.73,25.40,27
22,,,0.98,2.10,25.40,20
23,,,0.98,31.28,25.40,20
24,,,0.90,43.68,25.40,1
25,,,1.17,6.29,25.40,30
26,,,1.21,0.00,25.40,14
27,,,1.21,0.00,25.40,6
28,,,0.98,0.00,25.40,21
29,,,1.33,0.00,25.40,7
30,,,0.78,0.00,25.40,13
31,,,1.09,0.00,25.40,13
32,,,0.86,0.00,25.40,7
33,,,1.09,0.00,25.40,7
34,,,0.59,0.00,25.40,14
35,,,2.93,0.00,25.40,14
36,,,4.88,0.00,25.40,14
37,,,4.22,0.00,25.40,14
38,,,6.91,0.00,25.40,33
39,,,5.94,0.00,25.40,24
40,,,3.32,0.00,25.40,15
41,,,0.55,0.00,25.40,18
42,,,1.05,0.00,25.40,7
43,,,1.91,0.00,25.40,16
44,,,4.96,0.00,25.40,17
45,,,1.13,0.00,25.40,3
46,,,0.82,0.00,25.40,4
47,,,0.90,0.00,25.40,29
48,,,1.29,0.00,25.40,13
49,,,0.86,0.00,25.40,12
50,,,1.05,0.00,25.40,22
51,,,1.02,0.00,25.40,8
52,,,2.58,2.10,25.40,12
53,,,5.66,27.13,25.40,26
54,,,4.49,37.49,25.40,24
55,,,5.35,51.91,25.40,26
56,,,4.37,35.42,25.40,22
57,,,5.51,0.00,25.40,34
58,,,6.05,2.10,25.40,36
59,,,6.60,0.00,25.08,27
60,,,5.94,8.38,25.08,29
61,,,3.40,43.68,25.08,34
62,,,1.87,25.06,25.40,16
63,,,0.98,29.21,25.40,9
64,,,1.02,33.35,25.40,7
65,,,1.09,22.98,25.08,5
66,,,0.98,16.73,25.08,19
67,,,0.86,0.00,25.40,30
68,,,0.94,0.00,25.40,3
69,,,0.90,0.00,25.08,4
70,,,1.29,18.82,25.40,16
71,,,1.09,20.90,25.08,29
72,,,1.13,0.00,25.40,9
73,,,1.13,8.38,25.08,9
74,,,0.90,0.00,25.08,34
75,,,1.37,0.00,25.08,18
76,,,1.21,0.00,25.08,28
77,,,1.33,0.00,25.40,29
78,,,1.33,355.75,25.08,16
79,,,0.94,1064.99,25.08,19
80,,,0.82,1050.30,25.08,37
81,,,0.90,1062.71,25.08,31
82,,,0.98,1064.23,25.08,11
83,,,5.51,1059.65,24.76,25
84,,,1.91,1059.65,24.76,11
85,,,1.21,336.19,24.43,4
86,,,1.05,90.61,24.43,35
87,,,1.02,70.33,24.11,15
88,,,1.17,171.91,23.79,20
89,,,1.25,20.90,23.47,12
90,,,1.17,2.10,23.47,7
91,,,1.05,4.19,23.47,47
92,,,1.25,27.13,23.47,10
93,,,1.13,2.10,23.47,14
94,,,1.13,2.10,23.47,5
95,,,0.94,6.29,23.47,24
96,,,1.21,10.47,23.47,8
97,,,1.09,18.82,23.47,3
98,,,0.98,20.90,23.14,3
99,,,1.41,27.13,23.14,6
100,,,0.74,31.28,23.14,14
101,,,1.29,96.66,23.14,20
102,,,0.98,517.16,22.82,24
103,,,1.05,929.25,22.50,31
104,,,1.21,1056.56,22.50,11
105,,,1.09,956.40,22.50,10
106,,,1.25,901.87,22.18,8
107,,,0.94,902.95,22.18,24
108,,,0.70,1055.79,22.18,25
109,,,0.86,1060.42,22.18,11
110,,,0.78,1064.99,22.18,5
111,,,0.90,1064.23,22.18,26
112,,,1.13,1059.65,21.86,46
113,,,0.98,1044.72,21.86,46
114,,,1.29,1063.47,21.86,5
115,,,0.90,1062.71,21.53,4
116,,,1.45,1054.23,21.53,5
117,,,0.86,857.37,21.53,5
118,,,1.37,777.64,21.53,6
119,,,1.17,771.28,21.53,19
120,,,1.09,1061.19,21.21,35
121,,,1.09,1060.42,21.21,24
122,,,1.05,1060.42,21.21,22
123,,,0.94,1061.19,21.21,14
124,,,0.98,1061.95,21.21,17
125,,,0.98,1063.47,21.21,7
126,,,0.98,1062.71,20.89,30
127,,,1.02,1061.19,21.21,4
128,,,0.98,1061.95,21.21,10
129,,,0.94,1059.65,20.89,18
130,,,0.98,1062.71,20.89,40
131,,,0.94,1061.19,20.89,36
132,,,0.90,1061.19,20.89,43
133,,,1.02,1058.88,20.89,7
134,,,1.02,1063.47,20.57,9
135,,,1.05,1062.71,20.57,5
136,,,0.94,1063.47,20.57,24
137,,,1.45,1061.95,20.57,12
138,,,1.84,1054.23,20.24,17
139,,,1.13,494.65,20.24,8
140,,,0.98,39.56,20.24,15
141,,,1.25,25.06,20.24,4
142,,,1.25,14.65,19.92,20
143,,,1.33,6.29,19.92,11
144,,,1.56,6.29,19.60,21
145,,,1.29,22.98,19.60,16
146,,,1.21,14.65,19.60,3
147,,,1.29,35.42,19.60,19
148,,,1.09,45.74,19.60,5
149,,,1.33,146.46,19.60,3
150,,,1.02,47.80,19.28,3
151,,,1.13,66.25,19.28,31
152,,,1.02,62.16,19.28,21
153,,,1.33,35.42,19.28,13
154,,,1.56,16.73,19.28,3
155,,,1.09,56.02,19.28,5
156,,,1.52,43.68,18.96,13
157,,,1.33,22.98,18.96,2
158,,,1.41,31.28,18.96,9
159,,,1.13,18.82,18.96,5
160,,,1.02,25.06,18.96,21
161,,,1.09,2.10,18.96,23
162,,,1.02,51.91,18.96,16
163,,,0.86,74.40,18.96,3
164,,,1.09,35.42,18.96,2
165,,,1.09,25.06,18.96,6
166,,,0.86,20.90,18.96,8
167,,,0.90,29.21,18.96,3
168,,,1.09,31.28,18.96,6
169,,,3.32,12.56,18.96,24
170,,,3.55,0.00,18.96,40
171,,,6.33,37.49,18.96,46
172,,,7.66,10.47,18.96,45
173,,,8.28,6.29,18.96,45
174,,,1.13,4.19,18.96,11
175,,,0.94,2.10,18.96,29
176,,,1.02,4.19,18.96,6
177,,,1.02,2.10,18.96,3
178,,,0.94,8.38,18.96,22
179,,,1.48,20.90,18.96,23
180,,,1.33,2.10,18.96,4
181,,,1.60,2.10,18.96,8
182,,,0.94,227.59,18.96,20
183,,,0.94,114.72,18.96,23
184,,,0.98,39.56,18.96,9
185,,,0.70,51.91,18.96,20
186,,,0.94,88.59,18.96,8
187,,,0.51,64.20,18.96,7
188,,,1.09,397.65,18.96,5
189,,,1.05,287.27,18.96,12
190,,,0.86,60.11,19.28,3
191,,,1.09,78.46,18.96,4
192,,,0.82,31.28,18.96,4
193,,,1.17,49.86,18.96,2
194,,,0.78,305.54,19.28,7
195,,,0.98,512.37,19.28,7
196,,,2.93,128.66,19.28,3
197,,,1.64,148.43,19.28,16
198,,,2.46,130.65,19.28,16
199,,,1.17,357.51,19.28,3
200,,,0.78,27.13,19.28,4
201,,,0.74,25.06,19.28,7
202,,,0.90,10.47,19.28,5
203,,,0.94,60.11,19.28,11
204,,,1.17,10.47,19.28,12
205,,,3.44,2.10,19.28,45
206,,,4.06,4.19,19.28,30
207,,,2.93,6.29,19.28,31
208,,,4.22,0.00,19.28,12
209,,,3.55,6.29,19.28,39
210,,,1.41,78.46,19.28,44
211,,,1.41,18.82,19.28,10
212,,,1.25,14.65,19.28,10
213,,,1.05,10.47,19.60,10
214,,,0.94,6.29,19.28,6
215,,,1.21,12.56,19.28,8
216,,,0.78,14.65,19.60,8
217,,,0.78,16.73,19.60,6
218,,,0.82,45.74,19.60,4
219,,,0.35,102.70,19.60,32
220,,,0.82,138.57,19.60,25
221,,,0.66,102.70,19.60,23
222,,,1.13,10.47,19.60,18
223,,,0.74,14.65,19.60,37
224,,,0.74,14.65,19.60,39
225,,,0.86,35.42,19.60,8
226,,,1.02,16.73,19.60,8
227,,,1.13,29.21,19.60,31
228,,,0.86,29.21,19.60,38
229,,,0.78,58.07,19.60,38
230,,,1.05,84.55,19.60,13
231,,,1.21,90.61,19.60,16
232,,,1.25,70.33,19.60,4
233,,,1.13,62.16,19.60,3
234,,,0.98,39.56,19.60,23
235,,,2.19,56.02,19.60,28
236,,,0.98,64.20,19.60,16
237,,,0.82,56.02,19.60,24
238,,,1.25,56.02,19.60,37
239,,,1.21,100.69,19.60,5
240,,,0.86,120.71,19.60,4
241,,,0.74,329.03,19.60,10
242,,,1.02,92.63,19.60,11
243,,,0.86,45.74,19.92,6
244,,,1.33,212.38,19.92,13
