#PPSN:65535
#DOU:Fri Feb 26 10:28:44 EST 2010
Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Volts,Pedometer,Altitude
02/26/2010 11:28:07,42.36487,-71.103615,0.86,1045.52,23.47,0,3.3,0,35
02/26/2010 11:28:08,42.36477,-71.103584,0.86,1047.92,23.47,0,3.3,0,35
02/26/2010 11:28:09,42.364933,-71.103615,0.86,1047.92,23.47,0,3.3,0,35
02/26/2010 11:28:10,42.36495,-71.10363,0.86,1047.12,23.47,0,3.3,0,35
02/26/2010 11:28:11,42.364933,-71.103615,0.86,1047.12,23.47,0,3.3,0,35
02/26/2010 11:28:12,42.364918,-71.103615,0.86,1047.12,23.47,0,3.3,0,35
02/26/2010 11:28:14,42.364918,-71.103615,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:15,42.364918,-71.103615,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:16,42.364933,-71.103615,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:17,42.364902,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:18,42.364883,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:19,42.36487,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:20,42.36487,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:21,42.36487,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:22,42.364853,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:23,42.364853,-71.1036,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:24,42.364853,-71.103584,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:26,42.364834,-71.103584,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:27,42.364834,-71.103584,0.86,1046.32,23.47,0,3.3,0,35
02/26/2010 11:28:28,42.36477,-71.103516,0.86,1046.32,23.47,0,3.3,0,84
02/26/2010 11:28:29,42.364788,-71.103516,0.86,1046.32,23.47,0,3.3,0,83
