temperature,time
27.2,0
27.2,1
27.2,2
27.2,3
27.2,4
27.2,5
27.6,6
28.1,7
28.6,8
29.1,9
29.6,10
29.9,11
30.3,12
30.6,13
30.9,14
31.2,15
31.5,16
31.8,17
32.1,18
32.3,19
32.5,20
32.7,21
32.9,22
33.0,23
33.2,24
33.3,25
33.5,26
33.6,27
33.7,28
33.7,29
33.7,30
33.6,31
33.6,32
33.6,33
33.5,34
33.4,35
33.4,36
33.4,37
33.3,38
33.2,39
33.1,40
33.0,41
32.9,42
32.7,43
32.6,44
32.6,45
32.4,46
32.4,47
32.2,48
32.1,49
32.1,50
32.1,51
32.0,52
31.9,53
31.9,54
31.8,55
31.7,56
31.6,57
31.6,58
31.5,59
31.4,60
31.4,61
31.3,62
31.2,63
31.2,64
31.1,65
31.1,66
31.0,67
31.0,68
30.9,69
30.9,70
30.8,71
30.8,72
