time,latitude,longitude,acceleration,light,temperature,sound,altitude
04/16/2010 08:47:27,42.12945,-71.0426,0.94,156.29,24.76,33,76
04/16/2010 08:47:28,42.12945,-71.04259,0.94,154.33,24.76,45,77
04/16/2010 08:47:29,42.12945,-71.04259,0.94,171.91,24.76,9,77
04/16/2010 08:47:30,42.12945,-71.04257,0.94,169.97,24.76,10,78
04/16/2010 08:47:31,42.129436,-71.04256,0.94,169.97,24.76,5,78
04/16/2010 08:47:32,42.129436,-71.04256,0.94,173.86,24.76,7,79
04/16/2010 08:47:33,,,0.98,169.97,25.08,1, 
04/16/2010 08:47:33,42.129436,-71.04256,0.94,171.91,24.76,5,81
04/16/2010 08:47:35,42.129436,-71.04256,0.94,171.91,24.76,4,79
04/16/2010 08:47:37,42.129436,-71.04257,0.98,171.91,24.76,6,78
04/16/2010 08:47:38,42.12945,-71.04257,0.94,171.91,24.76,6,77
04/16/2010 08:47:39,42.129436,-71.04257,0.94,169.97,24.76,5,78
04/16/2010 08:47:40,42.129436,-71.04257,0.94,78.46,24.76,37,78
04/16/2010 08:47:41,42.129436,-71.04257,0.94,29.21,24.76,45,79
04/16/2010 08:47:42,42.129436,-71.04257,0.90,14.65,24.76,27,79
04/16/2010 08:47:43,42.129417,-71.04257,0.94,16.73,24.76,46,79
04/16/2010 08:47:44,42.129402,-71.04256,0.94,16.73,24.76,46,81
04/16/2010 08:47:45,42.129402,-71.04253,0.94,18.82,25.08,42,84
04/16/2010 08:47:46,42.129402,-71.04251,0.98,62.16,24.76,17,83
04/16/2010 08:47:47,42.129402,-71.04251,0.94,179.68,24.76,1,82
04/16/2010 08:47:48,42.129402,-71.04251,0.94,183.56,24.76,2,83
04/16/2010 08:47:50,42.129402,-71.04251,0.94,181.62,24.76,0,83
04/16/2010 08:47:51,42.129402,-71.04251,0.94,185.49,24.76,3,84
04/16/2010 08:47:52,42.129402,-71.04251,0.94,181.62,24.76,0,85
04/16/2010 08:47:53,42.129402,-71.042496,0.94,179.68,24.76,0,86
04/16/2010 08:47:54,42.129402,-71.042496,0.94,181.62,24.76,0,87
04/16/2010 08:47:55,42.129387,-71.042496,0.94,183.56,24.76,0,88
04/16/2010 08:47:56,42.129402,-71.042496,0.94,183.56,25.08,0,88
04/16/2010 08:47:57,42.129387,-71.042496,0.94,183.56,24.76,1,88
04/16/2010 08:47:58,42.129387,-71.042496,0.94,185.49,24.76,2,88
04/16/2010 08:47:59,42.129387,-71.042496,0.94,183.56,24.76,0,88
04/16/2010 08:48:00,42.129387,-71.042496,0.94,181.62,25.08,2,88
04/16/2010 08:48:01,42.129402,-71.042496,0.94,183.56,24.76,0,87
04/16/2010 08:48:02,42.129387,-71.042496,0.94,181.62,24.76,0,88
04/16/2010 08:48:04,42.129387,-71.04251,0.94,181.62,24.76,0,87
04/16/2010 08:48:05,42.129387,-71.042496,0.94,181.62,25.08,0,89
04/16/2010 08:48:06,42.129387,-71.042496,0.94,183.56,25.08,0,88
04/16/2010 08:48:07,42.129387,-71.042496,0.94,181.62,25.08,0,88
04/16/2010 08:48:08,42.129387,-71.04251,0.94,183.56,25.08,0,87
04/16/2010 08:48:09,42.129387,-71.04251,0.94,187.42,25.08,0,86
04/16/2010 08:48:10,42.129387,-71.04251,0.94,183.56,25.08,0,87
04/16/2010 08:48:11,42.129402,-71.04251,0.94,183.56,24.76,0,86
04/16/2010 08:48:12,42.129402,-71.04253,0.94,185.49,25.08,0,84
04/16/2010 08:48:13,42.129402,-71.04253,0.94,181.62,25.08,0,83
04/16/2010 08:48:14,42.129402,-71.04253,0.94,185.49,24.76,0,82
04/16/2010 08:48:16,42.129402,-71.04253,0.94,183.56,24.76,0,82
04/16/2010 08:48:17,42.129402,-71.04253,0.94,183.56,25.08,0,82
04/16/2010 08:48:18,42.129402,-71.04253,0.94,185.49,25.08,0,82
04/16/2010 08:48:19,42.129402,-71.04253,0.94,185.49,24.76,0,82
04/16/2010 08:48:20,42.129402,-71.04253,0.94,183.56,25.08,0,83
04/16/2010 08:48:21,42.129387,-71.04253,0.94,177.74,25.08,1,83
04/16/2010 08:48:22,42.129387,-71.04253,0.94,177.74,24.76,0,83
04/16/2010 08:48:23,42.12937,-71.04251,0.94,179.68,24.76,0,85
04/16/2010 08:48:24,42.12937,-71.04251,0.94,177.74,25.08,1,85
04/16/2010 08:48:25,42.12937,-71.04251,0.90,173.86,25.08,1,84
04/16/2010 08:48:26,42.129353,-71.04251,0.94,183.56,25.08,0,84
04/16/2010 08:48:27,42.12937,-71.04253,0.94,179.68,25.08,2,83
04/16/2010 08:48:29,42.12937,-71.04253,0.94,179.68,24.76,2,80
04/16/2010 08:48:30,42.12937,-71.04256,0.94,177.74,24.76,0,78
04/16/2010 08:48:31,42.12937,-71.04256,0.94,179.68,25.08,0,79
04/16/2010 08:48:32,42.12937,-71.04256,0.94,179.68,25.08,0,80
04/16/2010 08:48:33,42.12937,-71.04256,0.94,179.68,25.08,0,80
04/16/2010 08:48:34,42.129353,-71.04253,0.94,173.86,25.08,0,81
04/16/2010 08:48:35,42.129353,-71.04253,0.94,114.72,25.08,0,81
04/16/2010 08:48:36,42.129353,-71.04253,0.82,96.66,24.76,2,81
04/16/2010 08:48:37,42.12937,-71.04253,0.78,49.86,25.08,0,80
04/16/2010 08:48:38,42.129387,-71.04251,1.02,120.71,25.08,12,81
04/16/2010 08:48:39,42.129387,-71.04251,0.82,92.63,25.08,3,81
04/16/2010 08:48:40,42.129387,-71.04251,0.90,74.40,25.08,5,81
04/16/2010 08:48:42,42.129387,-71.04251,0.94,60.11,25.08,3,81
04/16/2010 08:48:43,42.129387,-71.04251,0.98,60.11,25.08,0,80
04/16/2010 08:48:44,42.12937,-71.042496,0.94,58.07,25.08,6,80
04/16/2010 08:48:45,42.12937,-71.04248,0.90,74.40,25.08,9,80
04/16/2010 08:48:46,42.129387,-71.042465,1.02,43.68,25.08,0,81
04/16/2010 08:48:47,42.129387,-71.042465,1.02,94.65,25.08,0,81
04/16/2010 08:48:48,42.129402,-71.042465,1.13,94.65,25.08,0,82
04/16/2010 08:48:49,42.129402,-71.042465,0.90,45.74,25.08,1,82
04/16/2010 08:48:50,,,0.90,14.65,25.08,2, 
04/16/2010 08:48:51,,,0.94,29.21,25.08,0, 
04/16/2010 08:48:52,42.129402,-71.042465,0.90,60.11,25.08,0,83
04/16/2010 08:48:53,42.129402,-71.04251,0.82,39.56,25.08,0,83
04/16/2010 08:48:55,42.129402,-71.04253,1.05,130.65,25.08,2,84
04/16/2010 08:48:56,42.129402,-71.04253,0.90,520.35,25.08,7,84
04/16/2010 08:48:57,42.129387,-71.04253,1.02,1048.71,25.08,14,83
04/16/2010 08:48:58,,,0.98,1060.42,24.76,8, 
04/16/2010 08:48:59,,,1.05,1058.88,25.08,0, 
04/16/2010 08:49:00,42.129387,-71.04256,0.90,1064.23,25.08,5,85
04/16/2010 08:49:01,42.129387,-71.04259,0.66,1061.95,24.76,0,86
04/16/2010 08:49:02,42.129353,-71.04259,1.13,1061.95,24.76,0,87
04/16/2010 08:49:03,42.12933,-71.04262,1.09,1064.99,24.76,0,81
04/16/2010 08:49:04,42.12933,-71.04262,1.52,1067.25,24.76,0,79
04/16/2010 08:49:05,42.12933,-71.04265,1.25,1068.00,24.76,0,79
04/16/2010 08:49:07,42.129314,-71.04265,1.09,1068.75,24.76,0,79
04/16/2010 08:49:08,42.129314,-71.04265,1.21,1068.00,24.76,0,79
04/16/2010 08:49:09,42.129314,-71.04267,0.90,1068.00,24.76,4,79
04/16/2010 08:49:10,42.129314,-71.04267,0.70,1068.75,24.76,0,79
04/16/2010 08:49:11,42.129295,-71.04267,1.45,1068.00,24.76,2,79
04/16/2010 08:49:12,42.129295,-71.04269,1.64,1067.25,24.43,15,78
04/16/2010 08:49:13,42.129314,-71.0427,1.60,1067.25,23.79,9,78
04/16/2010 08:49:14,42.129295,-71.04272,2.34,1067.25,23.79,24,78
04/16/2010 08:49:15,42.12928,-71.04275,1.99,1067.25,23.79,27,78
04/16/2010 08:49:16,42.12928,-71.04278,2.07,1068.00,23.47,4,79
04/16/2010 08:49:17,42.12928,-71.04285,2.07,1067.25,23.47,2,80
04/16/2010 08:49:18,42.12928,-71.042885,1.80,1066.50,23.14,37,79
04/16/2010 08:49:20,42.12928,-71.04292,0.78,1062.71,23.14,30,80
04/16/2010 08:49:21,42.129265,-71.04295,1.48,1064.99,23.14,25,79
04/16/2010 08:49:22,42.12925,-71.04297,1.17,1062.71,22.82,9,79
04/16/2010 08:49:23,42.12925,-71.04297,3.12,1066.50,22.50,22,78
04/16/2010 08:49:24,42.12925,-71.04295,1.95,1063.47,22.18,26,76
04/16/2010 08:49:25,42.12925,-71.04292,0.98,1061.95,21.86,22,76
04/16/2010 08:49:26,42.12923,-71.042885,2.97,1062.71,21.86,25,73
04/16/2010 08:49:27,42.12923,-71.04283,1.17,1059.65,21.53,12,72
04/16/2010 08:49:28,42.12925,-71.04276,1.25,1065.74,21.53,3,73
04/16/2010 08:49:29,42.12925,-71.04267,0.47,1060.42,21.21,18,76
04/16/2010 08:49:30,42.12925,-71.04263,0.82,1059.65,21.21,1,78
04/16/2010 08:49:31,42.12925,-71.04263,1.33,1062.71,21.21,6,76
04/16/2010 08:49:32,42.12925,-71.04265,0.98,1061.95,21.21,1,78
04/16/2010 08:49:34,42.12925,-71.04265,0.98,1064.23,21.21,3,81
04/16/2010 08:49:35,42.12925,-71.04267,1.72,1065.74,20.57,17,82
04/16/2010 08:49:36,42.129265,-71.04269,2.34,1062.71,20.57,35,79
04/16/2010 08:49:37,42.129265,-71.0427,2.50,1061.95,20.24,13,82
04/16/2010 08:49:38,42.129265,-71.04272,2.19,1063.47,19.92,4,85
04/16/2010 08:49:39,42.129265,-71.04273,2.15,1062.71,19.92,6,86
04/16/2010 08:49:40,42.12925,-71.04276,3.09,1058.88,19.60,17,86
04/16/2010 08:49:41,42.12925,-71.04283,1.17,1061.19,19.60,16,85
04/16/2010 08:49:42,42.12925,-71.04285,1.95,1062.71,19.60,8,85
04/16/2010 08:49:43,42.12925,-71.042885,2.03,1060.42,19.28,4,84
04/16/2010 08:49:44,42.12925,-71.0429,1.95,1063.47,19.28,2,83
04/16/2010 08:49:46,42.129265,-71.04292,1.05,1063.47,19.28,1,81
04/16/2010 08:49:47,42.12925,-71.04292,1.17,1064.23,19.28,5,81
04/16/2010 08:49:48,42.12923,-71.0429,2.07,1061.19,18.96,13,81
04/16/2010 08:49:49,42.12923,-71.042885,2.27,1063.47,18.63,26,81
04/16/2010 08:49:50,42.12923,-71.04286,2.54,1061.19,18.31,22,79
04/16/2010 08:49:51,42.12923,-71.04285,3.20,1060.42,17.99,44,79
04/16/2010 08:49:52,42.12923,-71.04283,3.40,1060.42,17.67,20,78
04/16/2010 08:49:53,42.12923,-71.0428,2.11,1060.42,17.67,16,78
04/16/2010 08:49:54,42.129215,-71.04272,2.11,1061.19,17.67,1,80
04/16/2010 08:49:55,42.129215,-71.0427,1.41,1060.42,17.67,0,82
04/16/2010 08:49:56,42.1292,-71.04269,0.86,1061.19,17.67,11,83
04/16/2010 08:49:57,42.129215,-71.04269,1.13,1057.34,17.67,2,83
04/16/2010 08:49:59,42.129215,-71.04269,0.82,1058.11,17.67,1,84
04/16/2010 08:50:00,42.129215,-71.04269,0.94,1056.56,17.67,3,85
04/16/2010 08:50:01,42.129215,-71.04267,1.05,1058.88,17.67,0,85
04/16/2010 08:50:02,42.129215,-71.04267,0.98,1058.88,17.67,0,86
04/16/2010 08:50:03,42.129215,-71.04269,0.86,1058.11,17.67,0,85
04/16/2010 08:50:04,42.1292,-71.0427,0.90,1058.11,17.67,0,87
04/16/2010 08:50:05,42.1292,-71.0427,0.94,1059.65,17.67,0,87
04/16/2010 08:50:06,42.129215,-71.04273,0.98,1060.42,17.67,0,86
04/16/2010 08:50:07,,,0.86,1059.65,17.67,19, 
04/16/2010 08:50:07,42.129215,-71.04278,0.98,1058.11,17.67,0,87
04/16/2010 08:50:09,42.129215,-71.0428,0.94,1058.88,17.67,0,87
04/16/2010 08:50:10,42.1292,-71.0428,0.78,1058.11,17.67,4,88
04/16/2010 08:50:12,42.129215,-71.042816,1.80,1058.11,17.67,0,87
04/16/2010 08:50:13,42.129215,-71.04285,0.94,1061.95,17.67,0,87
04/16/2010 08:50:14,42.129215,-71.04285,4.22,1055.79,17.67,11,87
04/16/2010 08:50:15,42.129215,-71.04286,4.53,1058.11,17.34,27,86
04/16/2010 08:50:16,42.12923,-71.04285,3.52,1058.88,17.02,16,89
04/16/2010 08:50:17,42.12923,-71.04283,3.48,1054.23,17.02,5,90
04/16/2010 08:50:18,42.12923,-71.04283,2.15,1054.23,17.02,4,92
04/16/2010 08:50:19,42.12925,-71.04285,3.16,1050.30,17.02,29,89
04/16/2010 08:50:20,42.12925,-71.04286,2.07,1063.47,17.02,16,88
04/16/2010 08:50:21,42.12925,-71.04286,1.80,1059.65,16.70,0,88
04/16/2010 08:50:22,42.129265,-71.04286,2.77,1059.65,16.70,12,89
04/16/2010 08:50:24,42.129265,-71.042885,3.09,1053.44,16.70,3,88
04/16/2010 08:50:25,42.12925,-71.0429,1.09,1061.95,16.70,0,88
04/16/2010 08:50:26,42.12925,-71.04292,2.30,1054.23,16.38,14,87
04/16/2010 08:50:27,42.12925,-71.04292,2.07,1059.65,16.38,14,87
04/16/2010 08:50:28,42.12925,-71.04292,3.44,1055.79,16.05,2,86
04/16/2010 08:50:29,42.12923,-71.04292,4.06,1061.19,16.05,9,85
04/16/2010 08:50:30,42.12923,-71.0429,2.89,1058.11,15.73,8,85
04/16/2010 08:50:31,42.12923,-71.04285,4.18,1055.79,15.73,4,84
04/16/2010 08:50:32,42.12923,-71.04273,1.99,1059.65,15.73,7,83
04/16/2010 08:50:33,42.12923,-71.04267,1.52,1048.71,15.73,16,84
04/16/2010 08:50:35,42.12923,-71.04263,1.45,1057.34,15.73,6,84
04/16/2010 08:50:35,42.12923,-71.04262,2.07,1055.79,15.73,2,85
04/16/2010 08:50:37,42.12923,-71.04263,1.33,1060.42,15.73,9,87
04/16/2010 08:50:38,42.12925,-71.04265,1.05,1061.19,15.73,0,89
04/16/2010 08:50:39,42.12925,-71.04267,1.13,1061.95,15.73,0,89
04/16/2010 08:50:40,42.12925,-71.04269,0.98,1058.11,15.73,0,91
04/16/2010 08:50:41,42.12923,-71.0427,0.98,1056.56,15.73,1,92
04/16/2010 08:50:42,42.12923,-71.0427,0.90,1058.88,15.73,7,95
04/16/2010 08:50:43,42.12923,-71.0427,1.25,1052.66,15.73,9,96
04/16/2010 08:50:44,42.1292,-71.04272,0.94,1052.66,15.73,3,99
04/16/2010 08:50:45,42.1292,-71.04272,0.90,1053.44,15.73,0,99
04/16/2010 08:50:46,42.129215,-71.04273,0.94,947.50,15.73,0,97
04/16/2010 08:50:47,42.1292,-71.04273,0.70,1053.44,15.73,0,97
04/16/2010 08:50:49,42.1292,-71.04273,0.94,1051.87,15.73,0,97
04/16/2010 08:50:50,42.129215,-71.04275,1.37,1042.30,15.73,0,95
04/16/2010 08:50:51,42.12923,-71.04275,1.29,1042.30,15.73,0,95
04/16/2010 08:50:52,42.12923,-71.04275,1.17,1051.87,15.73,0,95
04/16/2010 08:50:53,42.12925,-71.04275,0.78,1055.79,15.41,0,96
04/16/2010 08:50:54,42.12925,-71.04275,0.86,1050.30,15.73,2,95
04/16/2010 08:50:55,42.12925,-71.04275,0.98,1047.92,15.73,0,95
04/16/2010 08:50:56,42.129265,-71.04275,0.98,1040.68,15.73,0,94
04/16/2010 08:50:57,,,1.17,225.69,15.41,0, 
04/16/2010 08:50:57,42.12928,-71.0427,0.90,10.47,15.73,0,94
04/16/2010 08:50:59,42.12928,-71.04267,0.86,16.73,15.73,0,94
04/16/2010 08:51:00,42.129295,-71.04265,1.09,92.63,15.73,0,94
04/16/2010 08:51:02,42.129295,-71.04262,1.56,56.02,15.73,3,96
04/16/2010 08:51:03,42.129295,-71.0426,1.41,47.80,15.73,0,97
04/16/2010 08:51:04,42.129314,-71.04259,1.21,66.25,16.05,0,97
