date,station,temp,tds,salinity,do,ph,name
5/28/2008,2.7,17.2,550,5.57,4.79,10.3,7.8
6/12/2008,2.7,21.8,428,12.00,10.99,9.3,7.9
6/18/2008,2.7,19.2,184,15.05,14.00,8.6,7.8
6/25/2008,2.7,23.4,0.28,0.20,8.3,7.1,Newburyport
7/10/2008,2.7,24.3,986,5.68,4.92,9.8,7.6
7/16/2008,2.7,15.5,250,24.15,22.69,10.2,7.9
7/23/2008,2.7,25.8,0.33,0.25,8.0,7.2,Newburyport
8/13/2008,2.7,20.1,0.31,0.23,9.4,6.9,Newburyport
8/20/2008,2.7,21.8,0.13,0.10,8.2,6.7,Newburyport
08/27/2008,2.7,17.5,266,27.43,27.08,8.7,7.9
09/06/2008,2.7,23.2,527,6.25,5.45,9.3,7.9
09/11/2008,2.7,20.1,775,1.17,0.93,8.7,6.5
09/24/2008,2.7,15.8,199,14.75,13.99,9.3,8.2
10/07/2008,2.7,14.4,054,2.69,2.19,,6.8
10/11/2008,2.7,13.2,132,28.80,28.58,,7.8
10/15/2008,2.7,13.2,150,28.10,27.92,8.8,7.8
10/22/2008,2.7,12.0,143,11.83,10.84,,7.5
