time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:40:25,,,1077.58,27.66,2,28.486242032611013916500994035785288, 
06/03/2010 10:40:26,,,1077.58,27.66,6,28.573647296436972111553784860557769, 
06/03/2010 10:40:27,,,1078.31,27.98,9,28.573647296436972111553784860557769, 
06/03/2010 10:40:28,,,1077.58,27.98,13,28.573647296436972111553784860557769, 
06/03/2010 10:40:29,,,1079.75,27.66,11,28.573647296436972111553784860557769, 
06/03/2010 10:40:30,,,1080.47,27.66,34,28.486242032611013916500994035785288, 
06/03/2010 10:40:31,,,1079.75,27.66,28,28.486242032611013916500994035785288, 
06/03/2010 10:40:32,,,1081.19,27.66,2,28.398700294466031746031746031746032, 
06/03/2010 10:40:33,,,1081.91,27.98,14,28.398700294466031746031746031746032, 
06/03/2010 10:40:34,,,1081.91,27.98,2,28.486242032611013916500994035785288, 
06/03/2010 10:40:36,,,1082.62,27.98,4,28.486242032611013916500994035785288, 
06/03/2010 10:40:37,,,1081.91,27.98,5,28.573647296436972111553784860557769, 
06/03/2010 10:40:38,,,1081.91,27.98,2,28.573647296436972111553784860557769, 
06/03/2010 10:40:39,,,1081.91,28.30,1,28.660916235362115768463073852295409, 
06/03/2010 10:40:40,,,1081.91,28.30,0,28.660916235362115768463073852295409, 
06/03/2010 10:40:41,,,1081.19,28.30,0,28.660916235362115768463073852295409, 
06/03/2010 10:40:42,,,1081.91,28.30,4,28.74804900000, 
06/03/2010 10:40:43,,,1078.31,28.30,2,28.74804900000, 
06/03/2010 10:40:44,,,1082.62,28.30,5,28.835045742171503006012024048096192, 
06/03/2010 10:40:45,,,1082.62,28.62,2,28.835045742171503006012024048096192, 
06/03/2010 10:40:46,,,1082.62,28.62,8,28.835045742171503006012024048096192, 
06/03/2010 10:40:48,,,1081.91,28.62,9,28.835045742171503006012024048096192, 
06/03/2010 10:40:49,,,1081.91,28.62,5,28.835045742171503006012024048096192, 
06/03/2010 10:40:50,,,1081.91,28.62,19,28.835045742171503006012024048096192, 
06/03/2010 10:40:51,,,1081.91,28.62,26,28.835045742171503006012024048096192, 
06/03/2010 10:40:52,,,1081.19,28.62,22,28.835045742171503006012024048096192, 
06/03/2010 10:40:53,,,1073.20,28.62,13,28.835045742171503006012024048096192, 
