time,latitude,longitude,light,temperature,sound,acceleration,altitude
06/03/2010 10:40:24,,,1080.47,28.95,0,0.94, 
06/03/2010 10:40:25,,,1081.19,28.95,0,0.90, 
06/03/2010 10:40:27,,,1079.75,28.95,0,0.94, 
06/03/2010 10:40:28,,,1080.47,28.95,0,0.98, 
06/03/2010 10:40:29,,,1081.19,28.95,23,0.90, 
06/03/2010 10:40:30,,,1081.91,28.95,29,0.94, 
06/03/2010 10:40:31,,,1081.91,28.62,2,1.09, 
06/03/2010 10:40:32,,,1083.33,28.95,7,1.05, 
06/03/2010 10:40:33,,,1083.33,28.95,1,0.94, 
06/03/2010 10:40:34,,,1076.86,28.95,3,0.86, 
06/03/2010 10:40:35,,,1081.91,28.95,8,0.90, 
06/03/2010 10:40:36,,,1079.75,28.95,19,0.94, 
06/03/2010 10:40:37,,,1076.86,28.95,0,1.02, 
06/03/2010 10:40:39,,,1076.86,28.95,0,1.09, 
06/03/2010 10:40:40,,,1070.98,28.95,0,1.02, 
06/03/2010 10:40:41,,,1071.72,28.95,2,0.94, 
06/03/2010 10:40:42,,,1071.72,28.95,0,0.98, 
06/03/2010 10:40:43,,,1071.72,28.95,0,0.94, 
06/03/2010 10:40:44,,,1073.93,28.95,0,0.90, 
06/03/2010 10:40:45,,,1075.40,28.95,0,0.90, 
06/03/2010 10:40:46,,,1075.40,28.95,0,0.90, 
06/03/2010 10:40:47,,,1074.67,28.95,0,0.86, 
06/03/2010 10:40:48,,,1073.93,28.95,6,0.94, 
06/03/2010 10:40:49,,,1075.40,28.95,1,0.90, 
06/03/2010 10:40:51,,,1076.13,28.95,3,0.90, 
06/03/2010 10:40:52,,,1076.13,28.95,0,0.90, 
06/03/2010 10:40:53,,,1076.13,28.95,0,0.90, 
06/03/2010 10:40:54,,,1075.40,28.95,0,0.94, 
06/03/2010 10:40:55,,,1074.67,28.95,0,0.86, 
06/03/2010 10:40:56,,,1075.40,28.95,3,0.90, 
06/03/2010 10:40:57,,,1074.67,28.95,0,0.98, 
06/03/2010 10:40:58,,,1081.19,28.95,0,1.02, 
06/03/2010 10:40:59,,,1081.91,28.95,0,0.94, 
06/03/2010 10:41:00,,,1081.19,28.95,2,0.94, 
06/03/2010 10:41:01,,,1081.91,28.95,3,0.98, 
06/03/2010 10:41:03,42.67002,-71.426285,1081.91,28.95,0,0.90,69
06/03/2010 10:41:04,42.670086,-71.42627,1079.03,28.95,8,0.90,59
06/03/2010 10:41:05,42.670086,-71.42627,1081.91,28.95,1,0.90,58
06/03/2010 10:41:06,42.670086,-71.426285,1084.04,28.95,0,0.94,58
06/03/2010 10:41:07,42.670086,-71.426285,1082.62,28.95,0,0.98,58
06/03/2010 10:41:08,42.670086,-71.426285,1079.75,28.95,2,0.90,58
06/03/2010 10:41:09,42.670086,-71.426285,1079.75,28.95,0,0.86,58
06/03/2010 10:41:10,42.670067,-71.426285,1079.03,28.95,0,1.02,59
06/03/2010 10:41:12,42.670067,-71.426285,1080.47,28.95,0,0.82,59
06/03/2010 10:41:13,42.670086,-71.4263,1082.62,28.95,0,0.94,57
06/03/2010 10:41:14,42.6701,-71.4263,1076.13,29.27,0,0.94,57
06/03/2010 10:41:15,42.6701,-71.4263,1077.58,28.95,0,0.98,56
06/03/2010 10:41:16,42.6701,-71.426315,1076.86,28.95,0,0.98,56
06/03/2010 10:41:17,42.6701,-71.426315,1074.67,28.95,0,0.94,56
06/03/2010 10:41:18,42.6701,-71.42634,1081.19,28.95,0,0.94,55
06/03/2010 10:41:19,42.6701,-71.42634,1081.91,28.95,0,0.90,55
06/03/2010 10:41:20,42.670116,-71.42634,1081.19,28.95,0,0.98,55
06/03/2010 10:41:21,42.6701,-71.42635,1080.47,28.95,2,0.90,55
06/03/2010 10:41:22,42.6701,-71.42637,1082.62,29.27,0,0.86,55
06/03/2010 10:41:24,42.6701,-71.426384,1084.04,29.27,0,0.98,55
06/03/2010 10:41:25,42.6701,-71.426384,1078.31,29.27,0,0.94,55
06/03/2010 10:41:26,42.6701,-71.4264,1069.49,29.27,0,1.02,55
06/03/2010 10:41:27,42.670086,-71.4264,1071.72,29.27,0,0.94,56
06/03/2010 10:41:28,42.670086,-71.426414,1075.40,29.27,0,0.86,55
06/03/2010 10:41:29,42.670086,-71.42643,1074.67,29.27,0,0.86,55
06/03/2010 10:41:30,42.670086,-71.42643,1073.20,29.27,0,0.86,55
06/03/2010 10:41:31,42.670086,-71.426445,1073.20,29.27,0,0.86,54
06/03/2010 10:41:32,42.670086,-71.42647,1083.33,29.27,1,0.90,54
06/03/2010 10:41:33,42.670086,-71.42648,1084.04,29.27,15,0.98,54
06/03/2010 10:41:34,42.670086,-71.4265,1081.91,29.59,6,0.90,54
06/03/2010 10:41:36,42.670086,-71.4265,1083.33,29.27,7,1.02,54
06/03/2010 10:41:37,42.670086,-71.42651,1081.91,29.27,2,0.86,54
06/03/2010 10:41:38,42.670067,-71.42653,1082.62,29.27,9,0.94,54
06/03/2010 10:41:39,42.670067,-71.42653,1082.62,29.27,8,0.86,54
06/03/2010 10:41:40,42.670067,-71.426544,1083.33,29.27,0,0.78,54
06/03/2010 10:41:41,42.670067,-71.42657,1083.33,29.59,0,0.90,54
06/03/2010 10:41:42,42.670067,-71.42657,1082.62,29.27,9,0.86,54
06/03/2010 10:41:43,42.670067,-71.42659,1079.75,29.27,2,0.86,54
06/03/2010 10:41:44,42.670067,-71.42659,1081.19,29.27,0,0.90,54
06/03/2010 10:41:45,42.670067,-71.42659,1084.04,29.59,2,0.98,55
06/03/2010 10:41:46,42.670067,-71.426605,1084.04,29.59,1,0.90,55
06/03/2010 10:41:48,42.670067,-71.426605,1083.33,29.59,0,0.90,55
06/03/2010 10:41:49,42.67005,-71.426605,1081.91,29.59,0,0.94,56
06/03/2010 10:41:50,42.67005,-71.426605,1081.91,29.59,7,0.86,56
06/03/2010 10:41:51,42.67005,-71.42659,1081.19,29.59,0,0.94,56
06/03/2010 10:41:52,42.670036,-71.42659,1081.19,29.59,0,0.98,57
06/03/2010 10:41:53,42.670036,-71.42659,1083.33,29.59,5,0.82,58
06/03/2010 10:41:54,42.67002,-71.42659,1083.33,29.59,6,0.90,59
06/03/2010 10:41:55,42.67002,-71.42659,1083.33,29.59,6,0.98,60
06/03/2010 10:41:56,42.67002,-71.42659,1083.33,29.59,11,0.94,60
06/03/2010 10:41:57,42.67002,-71.42659,1082.62,29.59,6,0.94,60
06/03/2010 10:41:58,42.67002,-71.42659,1082.62,29.59,3,0.90,59
06/03/2010 10:42:00,42.67002,-71.42659,1082.62,29.59,3,0.94,59
06/03/2010 10:42:01,42.67002,-71.42659,1082.62,29.59,0,0.90,60
06/03/2010 10:42:02,42.67002,-71.42659,1082.62,29.59,0,0.90,60
06/03/2010 10:42:03,42.67002,-71.42659,1081.19,29.59,2,0.90,59
06/03/2010 10:42:04,42.67002,-71.426605,1081.19,29.59,1,0.90,59
06/03/2010 10:42:05,42.67002,-71.426605,1079.03,29.59,8,0.94,59
06/03/2010 10:42:06,42.67002,-71.426605,1080.47,29.59,14,0.82,59
06/03/2010 10:42:07,42.67002,-71.426605,1081.19,29.59,24,0.94,59
06/03/2010 10:42:08,42.67002,-71.426605,1079.03,29.59,0,0.90,58
06/03/2010 10:42:09,42.67002,-71.426605,1079.03,29.59,0,0.86,58
06/03/2010 10:42:10,42.67002,-71.426605,1081.91,29.59,0,0.94,58
06/03/2010 10:42:12,42.67002,-71.426605,1081.19,29.59,10,0.94,58
06/03/2010 10:42:13,42.67002,-71.426605,1081.19,29.59,11,0.82,58
06/03/2010 10:42:14,42.67002,-71.426605,1076.13,29.59,14,0.86,59
06/03/2010 10:42:15,42.67002,-71.42662,1079.03,29.59,3,0.82,59
06/03/2010 10:42:16,42.67002,-71.42662,1081.19,29.59,0,0.90,60
06/03/2010 10:42:17,42.670002,-71.42662,1081.19,29.59,0,0.94,60
06/03/2010 10:42:18,42.670002,-71.42662,1081.91,29.91,0,0.94,60
06/03/2010 10:42:19,42.670002,-71.42662,1080.47,29.91,2,0.94,60
06/03/2010 10:42:20,42.670002,-71.42662,1081.19,29.59,1,0.90,59
06/03/2010 10:42:21,42.67002,-71.42662,1079.03,29.59,0,0.94,59
06/03/2010 10:42:22,42.67002,-71.42662,1079.03,29.59,11,0.90,58
06/03/2010 10:42:24,42.67002,-71.42662,1079.03,29.59,0,0.86,58
06/03/2010 10:42:25,42.67002,-71.42662,1081.19,29.59,1,0.94,58
06/03/2010 10:42:26,42.67002,-71.42662,1081.19,29.59,0,0.90,57
06/03/2010 10:42:27,42.67002,-71.42662,1081.91,29.59,0,0.94,57
06/03/2010 10:42:28,42.67002,-71.426605,1081.19,29.59,26,0.90,57
06/03/2010 10:42:29,42.67002,-71.426605,1081.19,29.59,5,0.94,57
06/03/2010 10:42:30,42.67002,-71.426605,1080.47,29.59,14,0.94,56
06/03/2010 10:42:31,42.67002,-71.426605,1081.19,29.59,21,0.94,56
06/03/2010 10:42:32,42.67002,-71.426605,1079.75,29.59,17,0.94,56
06/03/2010 10:42:33,42.670036,-71.426605,1079.75,29.59,5,0.90,55
06/03/2010 10:42:34,42.670036,-71.426605,1081.19,29.59,17,0.90,55
06/03/2010 10:42:36,42.670036,-71.426605,1078.31,29.59,12,0.82,55
06/03/2010 10:42:37,42.670036,-71.426605,1081.91,29.59,11,0.98,55
06/03/2010 10:42:38,42.670036,-71.426605,1081.91,29.59,8,0.94,55
06/03/2010 10:42:39,42.670036,-71.426605,1082.62,29.27,13,0.94,55
06/03/2010 10:42:40,42.670036,-71.426605,1083.33,29.27,0,0.90,55
06/03/2010 10:42:41,42.670036,-71.426605,1083.33,29.59,4,0.94,55
06/03/2010 10:42:42,42.670036,-71.42662,1081.91,29.59,4,0.94,55
06/03/2010 10:42:43,42.670036,-71.42662,1081.91,29.59,0,0.94,55
06/03/2010 10:42:44,42.670036,-71.42662,1081.91,29.59,0,1.02,55
06/03/2010 10:42:45,42.670036,-71.42662,1081.19,29.59,2,1.05,55
06/03/2010 10:42:46,42.670036,-71.426636,1081.91,29.59,9,0.82,55
06/03/2010 10:42:47,42.670036,-71.426636,1082.62,29.59,6,1.09,55
06/03/2010 10:42:49,42.67002,-71.42665,1081.91,29.59,2,0.98,55
06/03/2010 10:42:50,42.67002,-71.42665,1082.62,29.59,0,1.02,55
06/03/2010 10:42:51,42.67002,-71.42667,1082.62,29.59,1,0.94,55
06/03/2010 10:42:52,42.67002,-71.42668,1082.62,29.59,0,0.82,55
06/03/2010 10:42:53,42.67002,-71.42668,1081.91,29.59,5,1.02,55
06/03/2010 10:42:54,42.670002,-71.426704,1080.47,29.59,9,1.05,55
06/03/2010 10:42:55,42.670002,-71.42672,1081.19,29.59,6,0.90,55
06/03/2010 10:43:38,42.669785,-71.42672,1081.91,30.56,0,0.98,60
06/03/2010 10:43:39,42.669785,-71.42672,1083.33,30.56,0,0.94,60
06/03/2010 10:43:40,42.669785,-71.42672,1081.19,30.56,0,0.90,60
06/03/2010 10:43:41,42.669785,-71.42672,1080.47,30.56,0,0.78,60
06/03/2010 10:43:42,42.669765,-71.426704,1079.03,30.56,0,0.82,60
06/03/2010 10:43:43,42.669765,-71.426704,1079.75,30.56,0,0.86,60
06/03/2010 10:43:44,42.66975,-71.426704,1080.47,30.56,0,0.94,60
06/03/2010 10:43:45,42.669735,-71.42668,1080.47,30.56,0,1.09,60
06/03/2010 10:43:46,42.66972,-71.42668,1079.03,30.88,0,0.98,60
06/03/2010 10:43:48,42.66972,-71.42668,1081.91,30.56,0,0.94,60
06/03/2010 10:43:49,42.6697,-71.42668,1081.91,30.88,0,0.90,60
06/03/2010 10:43:50,42.6697,-71.42667,1076.13,30.88,0,0.74,60
06/03/2010 10:43:51,42.669685,-71.42667,1079.75,30.88,0,0.98,60
06/03/2010 10:43:52,42.669685,-71.42667,1084.04,30.88,0,1.02,60
06/03/2010 10:43:53,42.669685,-71.42667,1084.04,31.20,0,0.78,60
06/03/2010 10:43:54,42.669685,-71.42668,1083.33,31.20,1,0.86,60
06/03/2010 10:43:55,42.669685,-71.42668,1083.33,31.20,0,0.90,60
06/03/2010 10:43:56,42.6697,-71.42672,1084.75,31.52,0,1.02,59
06/03/2010 10:43:57,42.6697,-71.42672,1084.04,31.52,0,0.98,59
06/03/2010 10:43:58,42.66972,-71.426735,1084.04,31.52,0,0.90,59
06/03/2010 10:44:00,42.66972,-71.426735,1084.04,31.85,0,0.98,59
06/03/2010 10:44:01,42.669735,-71.42675,1084.04,31.85,0,0.98,59
06/03/2010 10:44:02,42.669735,-71.426765,1084.04,31.85,0,0.98,59
06/03/2010 10:44:03,42.66975,-71.426765,1085.46,31.85,0,0.90,58
06/03/2010 10:44:04,42.66975,-71.42678,1080.47,31.85,0,0.98,58
06/03/2010 10:44:05,42.66975,-71.42678,1081.91,31.85,0,0.90,58
06/03/2010 10:44:06,42.66975,-71.42678,1081.91,31.85,0,0.94,58
06/03/2010 10:44:07,42.66975,-71.42678,1080.47,31.85,0,0.94,58
06/03/2010 10:44:08,42.66975,-71.42678,1078.31,31.85,0,1.05,58
06/03/2010 10:44:09,42.669735,-71.42678,1076.86,31.85,0,0.90,58
06/03/2010 10:44:10,42.66972,-71.42678,1076.86,31.85,0,0.94,57
06/03/2010 10:44:12,42.66972,-71.42678,1079.03,31.85,0,0.82,57
06/03/2010 10:44:13,42.6697,-71.426765,1080.47,31.85,0,0.82,57
06/03/2010 10:44:14,42.669685,-71.426765,1079.03,31.85,0,0.94,56
06/03/2010 10:44:15,42.669685,-71.426765,1082.62,31.85,0,0.94,56
06/03/2010 10:44:16,42.66967,-71.426765,1081.91,31.85,0,0.98,56
06/03/2010 10:44:17,42.66967,-71.426765,1081.91,31.85,0,0.86,56
06/03/2010 10:44:18,42.669655,-71.42675,1081.91,31.85,0,0.94,56
06/03/2010 10:44:34,42.669655,-71.426765,1082.62,32.49,0,0.86,56
06/03/2010 10:44:35,42.669655,-71.426765,1084.75,32.49,0,0.90,56
06/03/2010 10:44:36,42.669655,-71.426765,1084.04,32.81,0,0.86,56
06/03/2010 10:44:38,42.669655,-71.426765,1084.04,32.81,0,0.98,56
06/03/2010 10:44:39,42.66967,-71.426765,1084.75,32.81,0,1.13,56
06/03/2010 10:44:40,42.669685,-71.426765,1084.04,32.81,0,0.98,56
06/03/2010 10:44:41,42.669685,-71.42678,1084.04,32.81,0,0.78,56
06/03/2010 10:44:42,42.6697,-71.42678,1084.75,32.81,0,0.90,56
06/03/2010 10:44:43,42.66972,-71.42678,1084.75,33.13,0,0.98,56
06/03/2010 10:44:44,42.66972,-71.42678,1079.75,33.13,0,0.90,56
06/03/2010 10:44:45,42.669735,-71.42678,1083.33,32.81,0,0.86,56
06/03/2010 10:44:46,42.66972,-71.42681,1082.62,32.81,0,1.02,56
06/03/2010 10:44:47,42.66972,-71.42681,1082.62,32.81,0,1.02,56
06/03/2010 10:44:49,42.66972,-71.42681,1083.33,32.49,1,0.98,56
06/03/2010 10:44:50,42.6697,-71.426834,1083.33,32.49,0,0.94,56
06/03/2010 10:44:51,42.6697,-71.426834,1083.33,32.49,0,0.86,56
06/03/2010 10:44:52,42.669685,-71.426834,1081.91,32.49,0,0.78,56
06/03/2010 10:44:53,42.669685,-71.426834,1081.91,32.49,0,0.82,56
06/03/2010 10:44:54,42.66967,-71.426834,1081.19,32.49,0,0.82,56
