Acceleration, Time
95.59048, 6/17/2010 17:14:46
82.581314, 6/17/2010 17:14:47
100.57597, 6/17/2010 17:14:48
89.42714, 6/17/2010 17:14:49
91.34165, 6/17/2010 17:14:50
97.41353, 6/17/2010 17:14:51
93.72476, 6/17/2010 17:14:52
92.38295, 6/17/2010 17:14:53
90.45842, 6/17/2010 17:14:54
101.83172, 6/17/2010 17:14:55
93.995605, 6/17/2010 17:14:56
100.61549, 6/17/2010 17:14:57
94.78831, 6/17/2010 17:14:58
94.14699, 6/17/2010 17:14:59
93.03763, 6/17/2010 17:15:0
97.17532, 6/17/2010 17:15:1
95.62813, 6/17/2010 17:15:2
96.35239, 6/17/2010 17:15:3
94.2724, 6/17/2010 17:15:4
97.84947, 6/17/2010 17:15:5
97.355835, 6/17/2010 17:15:6
93.925125, 6/17/2010 17:15:7
91.89726, 6/17/2010 17:15:8
95.18457, 6/17/2010 17:15:9
100.591934, 6/17/2010 17:15:10
94.56644, 6/17/2010 17:15:11
91.05188, 6/17/2010 17:15:12
94.74008, 6/17/2010 17:15:13
94.14402, 6/17/2010 17:15:14
97.85671, 6/17/2010 17:15:15
95.39606, 6/17/2010 17:15:16
92.821686, 6/17/2010 17:15:17
94.619675, 6/17/2010 17:15:18
96.48465, 6/17/2010 17:15:19
93.53239, 6/17/2010 17:15:20
96.50376, 6/17/2010 17:15:21
96.877014, 6/17/2010 17:15:22
95.13467, 6/17/2010 17:15:23
96.310455, 6/17/2010 17:15:25
96.29376, 6/17/2010 17:15:26
97.09796, 6/17/2010 17:15:27
95.93701, 6/17/2010 17:15:28
96.889435, 6/17/2010 17:15:29
95.80141, 6/17/2010 17:15:30
95.565796, 6/17/2010 17:15:31
97.72815, 6/17/2010 17:15:32
98.058365, 6/17/2010 17:15:33
95.70846, 6/17/2010 17:15:34
93.21571, 6/17/2010 17:15:35
103.617294, 6/17/2010 17:15:36
95.74371, 6/17/2010 17:15:37
95.12372, 6/17/2010 17:15:38
97.397385, 6/17/2010 17:15:39
96.5609, 6/17/2010 17:15:40
94.05812, 6/17/2010 17:15:41
93.700455, 6/17/2010 17:15:42
101.22101, 6/17/2010 17:15:43
86.274895, 6/17/2010 17:15:44
89.48187, 6/17/2010 17:15:45
82.711914, 6/17/2010 17:15:46
94.18169, 6/17/2010 17:15:47
97.59995, 6/17/2010 17:15:48
86.578766, 6/17/2010 17:15:50
82.92953, 6/17/2010 17:15:51
94.13456, 6/17/2010 17:15:52
86.66057, 6/17/2010 17:15:53
100.48285, 6/17/2010 17:15:54
93.075096, 6/17/2010 17:15:55
97.93445, 6/17/2010 17:15:56
91.009026, 6/17/2010 17:15:57
98.11717, 6/17/2010 17:15:58
94.69537, 6/17/2010 17:15:59
93.11015, 6/17/2010 17:16:0
91.316795, 6/17/2010 17:16:1
96.54996, 6/17/2010 17:16:2
102.572845, 6/17/2010 17:16:3
93.41774, 6/17/2010 17:16:4
96.0294, 6/17/2010 17:16:5
92.50352, 6/17/2010 17:16:6
100.54741, 6/17/2010 17:16:7
88.84834, 6/17/2010 17:16:8
94.75696, 6/17/2010 17:16:9
89.4969, 6/17/2010 17:16:10
96.504684, 6/17/2010 17:16:11
95.40997, 6/17/2010 17:16:13
101.30485, 6/17/2010 17:16:14
95.08774, 6/17/2010 17:16:15
93.941444, 6/17/2010 17:16:16
93.39603, 6/17/2010 17:16:17
96.2739, 6/17/2010 17:16:18
94.64491, 6/17/2010 17:16:19
90.806816, 6/17/2010 17:16:20
96.420654, 6/17/2010 17:16:21
93.84664, 6/17/2010 17:16:22
95.73795, 6/17/2010 17:16:23
94.7371, 6/17/2010 17:16:24
92.08853, 6/17/2010 17:16:25
96.333084, 6/17/2010 17:16:26
92.49592, 6/17/2010 17:16:27
95.230576, 6/17/2010 17:16:28
95.27807, 6/17/2010 17:16:29
95.122055, 6/17/2010 17:16:30
95.91086, 6/17/2010 17:16:31
94.29614, 6/17/2010 17:16:32
97.98064, 6/17/2010 17:16:33
94.4683, 6/17/2010 17:16:34
93.63608, 6/17/2010 17:16:35
96.54698, 6/17/2010 17:16:36
98.84216, 6/17/2010 17:16:37
93.57579, 6/17/2010 17:16:38
96.75383, 6/17/2010 17:16:39
95.15915, 6/17/2010 17:16:40
96.52973, 6/17/2010 17:16:41
101.12843, 6/17/2010 17:16:42
96.53122, 6/17/2010 17:16:43
94.01435, 6/17/2010 17:16:44
96.13867, 6/17/2010 17:16:45
96.1535, 6/17/2010 17:16:46
95.230576, 6/17/2010 17:16:47
96.1307, 6/17/2010 17:16:48
96.49207, 6/17/2010 17:16:49
010 17:16:46
95.230576, 6/17/2010 17:16:47
