Accelerometer, Time
105.28172, 6/18/2010 14:17:41
66.07374, 6/18/2010 14:17:42
98.43254, 6/18/2010 14:17:43
57.307648, 6/18/2010 14:17:44
104.97377, 6/18/2010 14:17:45
102.829956, 6/18/2010 14:17:46
94.32972, 6/18/2010 14:17:48
101.35941, 6/18/2010 14:17:49
102.19235, 6/18/2010 14:17:50
103.162964, 6/18/2010 14:17:51
107.85795, 6/18/2010 14:17:52
95.612366, 6/18/2010 14:17:53
86.358, 6/18/2010 14:17:54
93.10014, 6/18/2010 14:17:55
96.451256, 6/18/2010 14:17:56
93.74256, 6/18/2010 14:17:57
96.38225, 6/18/2010 14:17:58
92.99217, 6/18/2010 14:17:59
89.08024, 6/18/2010 14:18:0
93.432205, 6/18/2010 14:18:1
109.676926, 6/18/2010 14:18:2
94.87569, 6/18/2010 14:18:3
2010 14:18:0
