acceleration, time
117.67923, 6/17/2010 17:32:41
124.075386, 6/17/2010 17:32:42
123.62236, 6/17/2010 17:32:43
124.08428, 6/17/2010 17:32:44
120.89123, 6/17/2010 17:32:45
100.693405, 6/17/2010 17:32:46
124.3813, 6/17/2010 17:32:47
122.7267, 6/17/2010 17:32:48
105.24982, 6/17/2010 17:32:49
120.597, 6/17/2010 17:32:51
118.25879, 6/17/2010 17:32:52
109.07511, 6/17/2010 17:32:53
94.55049, 6/17/2010 17:32:54
129.53099, 6/17/2010 17:32:55
106.04826, 6/17/2010 17:32:56
109.320175, 6/17/2010 17:32:57
106.607025, 6/17/2010 17:32:58
100.28917, 6/17/2010 17:32:59
108.721146, 6/17/2010 17:33:0
104.02375, 6/17/2010 17:33:1
107.16803, 6/17/2010 17:33:2
126.22883, 6/17/2010 17:33:3
111.675835, 6/17/2010 17:33:4
111.63966, 6/17/2010 17:33:5
111.66786, 6/17/2010 17:33:6
111.795494, 6/17/2010 17:33:7
111.66786, 6/17/2010 17:33:8
111.430405, 6/17/2010 17:33:9
111.430405, 6/17/2010 17:33:10
113.52316, 6/17/2010 17:33:11
113.39404, 6/17/2010 17:33:12
113.15362, 6/17/2010 17:33:13
88.04376, 6/17/2010 17:33:14
140.78091, 6/17/2010 17:33:15
95.79677, 6/17/2010 17:33:16
113.97564, 6/17/2010 17:33:17
120.58736, 6/17/2010 17:33:18
858.2148, 6/17/2010 17:33:19
891.796, 6/17/2010 17:33:20
14.029673, 6/17/2010 17:33:21
736.3856, 6/17/2010 17:33:22
791.315, 6/17/2010 17:33:23
143.80312, 6/17/2010 17:33:24
118.533714, 6/17/2010 17:33:25
114.55963, 6/17/2010 17:33:26
112.97443, 6/17/2010 17:33:27
109.71235, 6/17/2010 17:33:28
105.87369, 6/17/2010 17:33:29
88.542984, 6/17/2010 17:33:30
72.74258, 6/17/2010 17:33:31
108.34808, 6/17/2010 17:33:33
99.94058, 6/17/2010 17:33:34
124.11937, 6/17/2010 17:33:35
173.72594, 6/17/2010 17:33:36
26.023516, 6/17/2010 17:33:37
127.035446, 6/17/2010 17:33:38
127.035446, 6/17/2010 17:33:39
127.035446, 6/17/2010 17:33:40
127.035446, 6/17/2010 17:33:41
127.035446, 6/17/2010 17:33:42
127.035446, 6/17/2010 17:33:43
98.91841, 6/17/2010 17:33:44
104.141556, 6/17/2010 17:33:45
64.69647, 6/17/2010 17:33:46
90.83353, 6/17/2010 17:33:47
81.60496, 6/17/2010 17:33:48
92.01971, 6/17/2010 17:33:49
124.26257, 6/17/2010 17:33:50
105.441826, 6/17/2010 17:33:51
213.09627, 6/17/2010 17:33:52
183.61365, 6/17/2010 17:33:53
116.63591, 6/17/2010 17:33:54
108.4043, 6/17/2010 17:33:55
