time,latitude,longitude,acceleration,light,temperature,sound,volts,altitude
06/22/2010 00:00:04,+00.00,+00.00,+0040,+0746,+0024,+0422,1.0,+00000
06/22/2010 19:12:18,+00.00,+00.00,+0040,+0747,+0024,+0407,1.0,+00000
06/22/2010 19:12:19,+00.00,+00.00,+0040,+0748,+0024,+0416,1.0,+00000
06/22/2010 19:12:20,+42.3657,-71.1034,+0040,+0748,+0024,+0400,1.0,+00014
06/22/2010 19:12:21,+42.3658,-71.1036,+0040,+0749,+0024,+0415,1.0,-00019
06/22/2010 19:12:22,+42.3657,-71.1035,+0040,+0749,+0024,+0384,1.0,-00015
06/22/2010 19:12:23,+42.3654,-71.1037,+0030,+0749,+0024,+0377,1.0,+00035
06/22/2010 19:12:24,+42.3654,-71.1037,+0040,+0749,+0024,+0386,1.0,+00031
06/22/2010 19:12:25,+42.3655,-71.1037,+0040,+0749,+0024,+0324,1.0,+00028
06/22/2010 19:12:26,+42.3655,-71.1037,+0030,+0748,+0024,+0446,1.0,+00028
06/22/2010 19:12:27,+42.3655,-71.1037,+0040,+0748,+0024,+0478,1.0,+00028
06/22/2010 19:12:28,+42.3655,-71.1037,+0040,+0748,+0024,+0394,1.0,+00030
06/22/2010 19:12:29,+42.3655,-71.1037,+0040,+0748,+0024,+0403,1.0,+00031
06/22/2010 19:12:30,+42.3655,-71.1037,+0030,+0748,+0024,+0393,1.0,+00031
06/22/2010 19:12:31,+42.3654,-71.1037,+0030,+0747,+0024,+0435,1.0,+00032
06/22/2010 19:12:32,+42.3654,-71.1037,+0040,+0746,+0024,+0355,1.0,+00034
06/22/2010 19:12:33,+42.3654,-71.1037,+0040,+0747,+0024,+0372,1.0,+00035
06/22/2010 19:12:34,+42.3654,-71.1037,+0040,+0747,+0024,+0451,1.0,+00034
06/22/2010 19:12:35,+42.3654,-71.1037,+0040,+0747,+0024,+0425,1.0,+00036
06/22/2010 19:12:36,+42.3654,-71.1037,+0040,+0747,+0024,+0405,1.0,+00035
06/22/2010 19:12:37,+42.3654,-71.1037,+0030,+0747,+0024,+0361,1.0,+00035
06/22/2010 19:12:38,+42.3654,-71.1037,+0040,+0748,+0024,+0472,1.0,+00036
06/22/2010 19:12:39,+42.3654,-71.1037,+0040,+0748,+0024,+0401,1.0,+00035
06/22/2010 19:12:40,+42.3654,-71.1037,+0040,+0748,+0024,+0400,1.0,+00033
06/22/2010 19:12:41,+42.3655,-71.1037,+0040,+0748,+0024,+0414,1.0,+00032
06/22/2010 19:12:42,+42.3655,-71.1037,+0040,+0748,+0024,+0321,1.0,+00030
06/22/2010 19:12:43,+42.3655,-71.1037,+0040,+0748,+0024,+0397,1.0,+00029
06/22/2010 19:12:44,+42.3655,-71.1037,+0040,+0748,+0024,+0408,1.0,+00026
06/22/2010 19:12:45,+42.3655,-71.1036,+0040,+0748,+0024,+0373,1.0,+00025
06/22/2010 19:12:46,+42.3655,-71.1037,+0040,+0748,+0024,+0408,1.0,+00025
06/22/2010 19:11:41,+42.3655,-71.1036,+0020,+0739,+0024,+0363,1.0,+00023
06/22/2010 19:11:42,+42.3655,-71.1036,+0020,+0739,+0024,+0398,1.0,+00022
06/22/2010 19:11:43,+42.3655,-71.1036,+0020,+0739,+0024,+0420,1.0,+00021
06/22/2010 19:11:44,+42.3655,-71.1036,+0020,+0740,+0024,+0371,1.0,+00019
06/22/2010 19:11:45,+42.3655,-71.1036,+0020,+0740,+0024,+0356,1.0,+00017
06/22/2010 19:11:46,+42.3655,-71.1036,+0020,+0740,+0024,+0380,1.0,+00016
06/22/2010 19:11:47,+42.3655,-71.1036,+0020,+0741,+0024,+0414,1.0,+00016
06/22/2010 19:11:48,+42.3655,-71.1036,+0020,+0741,+0024,+0355,1.0,+00016
06/22/2010 19:11:49,+42.3655,-71.1036,+0020,+0741,+0024,+0360,1.0,+00017
06/22/2010 19:11:50,+42.3655,-71.1036,+0020,+0741,+0024,+0390,1.0,+00019
06/22/2010 19:11:51,+42.3655,-71.1036,+0020,+0741,+0024,+0427,1.0,+00020
06/22/2010 19:11:52,+42.3655,-71.1036,+0020,+0741,+0024,+0430,1.0,+00020
06/22/2010 18:28:13,+42.3656,-71.1038,+0040,+0720,+0021,+0371,1.0,+00014
06/22/2010 18:28:14,+42.3656,-71.1038,+0040,+0721,+0021,+0354,1.0,+00017
06/22/2010 18:28:15,+42.3657,-71.1038,+0040,+0721,+0021,+0415,1.0,+00018
06/22/2010 18:28:16,+42.3657,-71.1038,+0040,+0721,+0021,+0370,1.0,+00020
06/22/2010 18:28:17,+42.3657,-71.1038,+0040,+0721,+0021,+0349,1.0,+00021
06/22/2010 18:28:18,+42.3657,-71.1038,+0030,+0721,+0021,+0375,1.0,+00021
06/22/2010 17:12:55,+42.3654,-71.1038,+0040,+0688,+0021,+0372,1.0,+00048
06/22/2010 17:12:56,+42.3654,-71.1037,+0040,+0689,+0021,+0346,1.0,+00048
06/22/2010 17:12:57,+42.3654,-71.1037,+0030,+0693,+0021,+0358,1.0,+00048
06/22/2010 17:12:58,+42.3654,-71.1038,+0030,+0690,+0021,+0421,1.0,+00049
06/22/2010 17:12:59,+42.3655,-71.1037,+0030,+0690,+0021,+0392,1.0,+00044
06/22/2010 17:13:00,+42.3654,-71.1037,+0040,+0691,+0021,+0432,1.0,+00046
