time,latitude,longitude,acceleration,light,temperature,sound,volts,altitude,pedometer
06/23/2010 14:58:24,+42.3654,-71.1037,-0010,+0756,+0020,+0399,1.0,+00026,1.0
06/23/2010 14:58:25,+42.3654,-71.1037,-0040,+0735,+0020,+0399,1.0,+00025,1.0
06/23/2010 14:58:26,+42.3654,-71.1037,-0010,+0733,+0020,+0387,1.0,+00025,1.0
06/23/2010 14:58:27,+42.3654,-71.1037,+0070,+0732,+0020,+0397,1.0,+00025,1.0
06/23/2010 14:58:28,+42.3654,-71.1037,+0010,+0733,+0020,+0391,1.0,+00025,1.0
06/23/2010 14:58:29,+42.3654,-71.1037,+0080,+0733,+0020,+0398,1.0,+00026,1.0
06/23/2010 14:58:30,+42.3654,-71.1036,+0170,+0732,+0020,+0388,1.0,+00026,1.0
06/23/2010 14:58:31,+42.3653,-71.1036,+0230,+0730,+0020,+0407,1.0,+00026,1.0
06/23/2010 14:58:32,+42.3653,-71.1036,+0140,+0732,+0020,+0371,1.0,+00026,1.0
06/23/2010 14:58:33,+42.3653,-71.1036,+0160,+0732,+0020,+0401,1.0,+00026,1.0
06/23/2010 14:58:34,+42.3654,-71.1035,+0190,+0731,+0020,+0393,1.0,+00026,1.0
06/23/2010 14:58:35,+42.3654,-71.1035,+0090,+0729,+0020,+0368,1.0,+00026,1.0
06/23/2010 14:58:36,+42.3654,-71.1035,+0070,+0731,+0020,+0379,1.0,+00025,1.0
06/23/2010 14:58:37,+42.3654,-71.1035,+0000,+0729,+0020,+0406,1.0,+00024,1.0
06/23/2010 14:58:38,+42.3654,-71.1035,+0090,+0728,+0020,+0370,1.0,+00023,1.0
06/23/2010 14:58:39,+42.3654,-71.1034,+0110,+0722,+0020,+0380,1.0,+00023,1.0
06/23/2010 14:58:40,+42.3654,-71.1034,+0080,+0728,+0020,+0377,1.0,+00023,1.0
06/23/2010 14:58:41,+42.3654,-71.1034,+0030,+0729,+0020,+0398,1.0,+00022,1.0
06/23/2010 14:58:42,+42.3654,-71.1034,-0050,+0728,+0020,+0385,1.0,+00022,1.0
06/23/2010 14:58:43,+42.3654,-71.1034,-0040,+0728,+0020,+0387,1.0,+00021,1.0
06/23/2010 14:58:44,+42.3653,-71.1034,+0060,+0726,+0020,+0390,1.0,+00020,1.0
06/23/2010 14:58:45,+42.3653,-71.1033,-0080,+0726,+0020,+0400,1.0,+00020,1.0
06/23/2010 14:58:46,+42.3653,-71.1033,+0000,+0724,+0020,+0375,1.0,+00020,1.0
06/23/2010 14:58:47,+42.3653,-71.1033,+0040,+0727,+0020,+0387,1.0,+00022,1.0
06/23/2010 14:58:48,+42.3653,-71.1033,+0060,+0728,+0020,+0379,1.0,+00023,1.0
06/23/2010 14:58:49,+42.3653,-71.1033,+0140,+0728,+0020,+0388,1.0,+00024,1.0
06/23/2010 14:58:50,+42.3652,-71.1033,+0110,+0727,+0020,+0353,1.0,+00025,1.0
06/23/2010 14:58:51,+42.3652,-71.1033,+0030,+0725,+0020,+0370,1.0,+00026,1.0
06/23/2010 14:58:52,+42.3652,-71.1033,+0000,+0724,+0020,+0380,1.0,+00026,1.0
06/23/2010 14:58:53,+42.3652,-71.1033,+0010,+0724,+0020,+0385,1.0,+00026,1.0
06/23/2010 14:58:54,+42.3652,-71.1033,+0060,+0729,+0020,+0406,1.0,+00025,1.0
06/23/2010 14:58:55,+42.3652,-71.1032,+0190,+0730,+0020,+0382,1.0,+00025,1.0
06/23/2010 14:58:56,+42.3652,-71.1032,+0220,+0732,+0020,+0409,1.0,+00024,1.0
06/23/2010 14:58:57,+42.3652,-71.1032,+0130,+0732,+0020,+0368,1.0,+00026,1.0
06/23/2010 14:58:58,+42.3652,-71.1032,+0030,+0732,+0021,+0378,1.0,+00026,1.0
06/23/2010 14:58:59,+42.3652,-71.1032,+0020,+0732,+0020,+0389,1.0,+00025,1.0
06/23/2010 14:59:00,+42.3652,-71.1032,+0150,+0733,+0021,+0381,1.0,+00026,1.0
06/23/2010 14:59:01,+42.3651,-71.1031,+0000,+0759,+0021,+0383,1.0,+00026,1.0
06/23/2010 14:59:02,+42.3651,-71.1031,+0050,+0760,+0021,+0385,1.0,+00025,1.0
06/23/2010 14:59:03,+42.3651,-71.1031,+0050,+0761,+0020,+0390,1.0,+00025,1.0
06/23/2010 14:59:04,+42.3651,-71.1031,+0070,+0762,+0021,+0390,1.0,+00025,1.0
06/23/2010 14:59:05,+42.3651,-71.1031,+0140,+0762,+0021,+0375,1.0,+00024,1.0
06/23/2010 14:59:06,+42.3651,-71.1031,+0030,+0762,+0021,+0392,1.0,+00024,1.0
06/23/2010 14:59:07,+42.3651,-71.1031,+0130,+0761,+0021,+0386,1.0,+00023,1.0
06/23/2010 14:59:08,+42.3651,-71.1032,-0030,+0760,+0021,+0380,1.0,+00023,1.0
06/23/2010 14:59:09,+42.3651,-71.1032,+0110,+0761,+0021,+0366,1.0,+00023,1.0
06/23/2010 14:59:10,+42.3651,-71.1032,+0020,+0761,+0021,+0377,1.0,+00022,1.0
06/23/2010 14:59:11,+42.3651,-71.1032,+0040,+0761,+0021,+0394,1.0,+00022,1.0
06/23/2010 14:59:12,+42.3651,-71.1032,+0000,+0761,+0021,+0380,1.0,+00022,1.0
06/23/2010 14:59:13,+42.3651,-71.1032,+0030,+0761,+0021,+0381,1.0,+00023,1.0
06/23/2010 14:59:14,+42.3651,-71.1031,+0000,+0761,+0021,+0398,1.0,+00023,1.0
06/23/2010 14:59:15,+42.3651,-71.1032,-0020,+0761,+0021,+0377,1.0,+00024,1.0
06/23/2010 14:59:16,+42.3651,-71.1032,+0040,+0761,+0021,+0353,1.0,+00024,1.0
06/23/2010 14:59:17,+42.3650,-71.1032,-0010,+0761,+0021,+0375,1.0,+00025,1.0
06/23/2010 14:59:18,+42.3650,-71.1032,-0040,+0761,+0021,+0372,1.0,+00025,1.0
06/23/2010 14:59:19,+42.3650,-71.1032,-0140,+0760,+0021,+0384,1.0,+00026,1.0
06/23/2010 14:59:20,+42.3650,-71.1032,-0020,+0760,+0021,+0367,1.0,+00027,1.0
06/23/2010 14:59:21,+42.3650,-71.1032,+0010,+0750,+0021,+0376,1.0,+00027,1.0
06/23/2010 14:59:22,+42.3650,-71.1032,-0050,+0756,+0021,+0391,1.0,+00028,1.0
06/23/2010 14:59:23,+42.3650,-71.1031,+0090,+0747,+0021,+0399,1.0,+00030,1.0
06/23/2010 14:59:24,+42.3650,-71.1031,+0140,+0746,+0021,+0382,1.0,+00033,1.0
06/23/2010 14:59:25,+42.3649,-71.1031,+0030,+0746,+0021,+0380,1.0,+00036,1.0
06/23/2010 14:59:26,+42.3649,-71.1031,+0030,+0745,+0021,+0383,1.0,+00038,1.0
06/23/2010 14:59:27,+42.3649,-71.1031,+0030,+0745,+0021,+0398,1.0,+00041,1.0
06/23/2010 14:59:28,+42.3649,-71.1031,+0010,+0746,+0021,+0398,1.0,+00044,1.0
06/23/2010 14:59:29,+42.3649,-71.1031,+0030,+0746,+0021,+0381,1.0,+00047,1.0
06/23/2010 14:59:30,+42.3649,-71.1030,+0070,+0746,+0021,+0380,1.0,+00050,1.0
06/23/2010 14:59:31,+42.3649,-71.1030,+0170,+0746,+0021,+0400,1.0,+00054,1.0
06/23/2010 14:59:32,+42.3649,-71.1030,+0090,+0747,+0021,+0406,1.0,+00058,1.0
06/23/2010 14:59:33,+42.3649,-71.1029,+0050,+0746,+0021,+0396,1.0,+00062,1.0
06/23/2010 14:59:34,+42.3649,-71.1029,+0010,+0746,+0021,+0399,1.0,+00065,1.0
06/23/2010 14:59:35,+42.3648,-71.1029,+0080,+0746,+0021,+0381,1.0,+00069,1.0
06/23/2010 14:59:36,+42.3648,-71.1028,+0090,+0746,+0021,+0379,1.0,+00072,1.0
06/23/2010 14:59:37,+42.3648,-71.1028,+0130,+0746,+0021,+0383,1.0,+00074,1.0
06/23/2010 14:59:38,+42.3648,-71.1028,+0130,+0747,+0021,+0403,1.0,+00075,1.0
06/23/2010 14:59:39,+42.3648,-71.1028,+0040,+0746,+0021,+0380,1.0,+00077,1.0
06/23/2010 14:59:40,+42.3648,-71.1028,+0050,+0746,+0021,+0405,1.0,+00078,1.0
06/23/2010 14:59:41,+42.3648,-71.1028,+0060,+0747,+0021,+0384,1.0,+00080,1.0
06/23/2010 14:59:42,+42.3648,-71.1027,+0100,+0746,+0021,+0372,1.0,+00080,1.0
06/23/2010 14:59:43,+42.3648,-71.1027,+0050,+0747,+0021,+0384,1.0,+00078,1.0
06/23/2010 14:59:44,+42.3648,-71.1027,+0040,+0747,+0021,+0380,1.0,+00079,1.0
06/23/2010 14:59:45,+42.3648,-71.1027,-0150,+0746,+0021,+0386,1.0,+00081,1.0
06/23/2010 14:59:46,+42.3647,-71.1027,-0080,+0741,+0021,+0388,1.0,+00082,1.0
06/23/2010 14:59:47,+42.3647,-71.1027,+0070,+0741,+0021,+0377,1.0,+00083,1.0
06/23/2010 14:59:48,+42.3647,-71.1027,-0050,+0741,+0021,+0393,1.0,+00084,1.0
06/23/2010 14:59:49,+42.3647,-71.1026,-0010,+0741,+0021,+0366,1.0,+00085,1.0
06/23/2010 14:59:50,+42.3647,-71.1026,+0110,+0741,+0021,+0363,1.0,+00087,1.0
06/23/2010 14:59:51,+42.3647,-71.1026,+0120,+0740,+0021,+0366,1.0,+00088,1.0
06/23/2010 14:59:52,+42.3647,-71.1026,+0000,+0737,+0021,+0385,1.0,+00089,1.0
06/23/2010 14:59:53,+42.3647,-71.1026,+0010,+0737,+0021,+0375,1.0,+00090,1.0
06/23/2010 14:59:54,+42.3647,-71.1025,+0060,+0744,+0021,+0395,1.0,+00092,1.0
06/23/2010 14:59:55,+42.3647,-71.1025,+0180,+0745,+0021,+0385,1.0,+00088,1.0
06/23/2010 14:59:56,+42.3647,-71.1025,+0140,+0745,+0021,+0385,1.0,+00083,1.0
06/23/2010 14:59:57,+42.3647,-71.1025,+0060,+0746,+0021,+0385,1.0,+00080,1.0
06/23/2010 14:59:58,+42.3647,-71.1024,+0170,+0747,+0021,+0386,1.0,+00076,1.0
06/23/2010 14:59:59,+42.3647,-71.1024,+0080,+0747,+0021,+0376,1.0,+00072,1.0
06/23/2010 15:00:00,+42.3647,-71.1024,+0030,+0748,+0021,+0392,1.0,+00070,1.0
06/23/2010 15:00:01,+42.3647,-71.1024,+0080,+0749,+0021,+0395,1.0,+00073,1.0
06/23/2010 15:00:02,+42.3647,-71.1023,-0030,+0748,+0021,+0356,1.0,+00074,1.0
06/23/2010 15:00:03,+42.3647,-71.1023,-0010,+0748,+0021,+0384,1.0,+00073,1.0
06/23/2010 15:00:04,+42.3646,-71.1023,-0090,+0748,+0021,+0385,1.0,+00071,1.0
06/23/2010 15:00:05,+42.3646,-71.1023,-0020,+0748,+0021,+0435,1.0,+00071,1.0
06/23/2010 15:00:06,+42.3646,-71.1023,+0130,+0748,+0021,+0447,1.0,+00071,1.0
06/23/2010 15:00:07,+42.3646,-71.1023,+0060,+0748,+0021,+0384,1.0,+00069,1.0
06/23/2010 15:00:08,+42.3646,-71.1023,+0060,+0748,+0021,+0394,1.0,+00066,1.0
06/23/2010 15:00:09,+42.3646,-71.1023,+0240,+0753,+0021,+0381,1.0,+00065,1.0
06/23/2010 15:00:10,+42.3646,-71.1023,+0030,+0745,+0021,+0369,1.0,+00064,1.0
06/23/2010 15:00:11,+42.3646,-71.1023,+0100,+0736,+0021,+0376,1.0,+00062,1.0
06/23/2010 15:00:12,+42.3646,-71.1023,+0010,+0717,+0021,+0364,1.0,+00060,1.0
06/23/2010 15:00:13,+42.3646,-71.1023,+0070,+0719,+0021,+0361,1.0,+00058,1.0
06/23/2010 15:00:14,+42.3646,-71.1023,+0030,+0703,+0021,+0377,1.0,+00058,1.0
06/23/2010 15:00:15,+42.3645,-71.1024,+0040,+0673,+0021,+0401,1.0,+00057,1.0
06/23/2010 15:00:16,+42.3645,-71.1024,+0040,+0648,+0021,+0385,1.0,+00057,1.0
06/23/2010 15:00:17,+42.3645,-71.1025,+0080,+0608,+0021,+0388,1.0,+00058,1.0
06/23/2010 15:00:18,+42.3645,-71.1026,+0070,+0695,+0021,+0381,1.0,+00059,1.0
06/23/2010 15:00:19,+42.3645,-71.1026,+0050,+0463,+0021,+0382,1.0,+00059,1.0
06/23/2010 15:00:20,+42.3644,-71.1027,-0010,+0490,+0021,+0388,1.0,+00059,1.0
06/23/2010 15:00:21,+42.3644,-71.1027,+0000,+0553,+0021,+0385,1.0,+00060,1.0
06/23/2010 15:00:22,+42.3644,-71.1028,-0070,+0579,+0021,+0400,1.0,+00060,1.0
06/23/2010 15:00:23,+42.3644,-71.1028,-0090,+0599,+0021,+0384,1.0,+00060,1.0
06/23/2010 15:00:24,+42.3643,-71.1028,+0020,+0605,+0021,+0392,1.0,+00060,1.0
06/23/2010 15:00:25,+42.3643,-71.1028,-0040,+0542,+0021,+0393,1.0,+00060,1.0
06/23/2010 15:00:26,+42.3643,-71.1029,+0010,+0513,+0021,+0371,1.0,+00060,1.0
06/23/2010 15:00:27,+42.3643,-71.1029,+0100,+0454,+0021,+0383,1.0,+00061,1.0
06/23/2010 15:00:28,+42.3643,-71.1029,+0110,+0505,+0021,+0381,1.0,+00061,1.0
06/23/2010 15:00:29,+42.3643,-71.1030,+0040,+0436,+0021,+0384,1.0,+00061,1.0
06/23/2010 15:00:30,+42.3643,-71.1030,+0030,+0469,+0021,+0399,1.0,+00061,1.0
06/23/2010 15:00:31,+42.3643,-71.1030,+0090,+0598,+0021,+0371,1.0,+00062,1.0
06/23/2010 15:00:32,+42.3642,-71.1031,+0030,+0619,+0021,+0366,1.0,+00062,1.0
06/23/2010 15:00:33,+42.3642,-71.1031,+0150,+0663,+0021,+0389,1.0,+00063,1.0
06/23/2010 15:00:34,+42.3642,-71.1031,+0120,+0585,+0021,+0389,1.0,+00063,1.0
06/23/2010 15:00:36,+42.3642,-71.1031,+0070,+0586,+0021,+0384,1.0,+00059,1.0
06/23/2010 15:00:37,+42.3642,-71.1031,+0010,+0557,+0021,+0370,1.0,+00058,1.0
06/23/2010 15:00:38,+42.3642,-71.1032,+0020,+0543,+0021,+0369,1.0,+00058,1.0
06/23/2010 15:00:39,+42.3642,-71.1032,+0030,+0526,+0021,+0369,1.0,+00054,1.0
06/23/2010 15:00:40,+42.3642,-71.1032,+0080,+0539,+0021,+0395,1.0,+00055,1.0
06/23/2010 15:00:41,+42.3642,-71.1032,+0080,+0672,+0021,+0384,1.0,+00055,1.0
06/23/2010 15:00:42,+42.3642,-71.1032,-0040,+0593,+0021,+0414,1.0,+00055,1.0
06/23/2010 15:00:43,+42.3642,-71.1033,+0150,+0563,+0021,+0404,1.0,+00053,1.0
06/23/2010 15:00:44,+42.3642,-71.1033,+0030,+0390,+0021,+0359,1.0,+00053,1.0
06/23/2010 15:00:45,+42.3642,-71.1033,+0100,+0413,+0021,+0382,1.0,+00054,1.0
06/23/2010 15:00:46,+42.3642,-71.1033,+0050,+0611,+0021,+0377,1.0,+00052,1.0
06/23/2010 15:00:47,+42.3642,-71.1033,+0020,+0727,+0021,+0357,1.0,+00051,1.0
06/23/2010 15:00:48,+42.3642,-71.1033,+0050,+0743,+0021,+0379,1.0,+00050,1.0
06/23/2010 15:00:49,+42.3642,-71.1033,-0050,+0746,+0021,+0366,1.0,+00051,1.0
06/23/2010 15:00:50,+42.3641,-71.1033,+0050,+0746,+0021,+0382,1.0,+00055,1.0
06/23/2010 15:00:51,+42.3641,-71.1033,+0050,+0747,+0021,+0357,1.0,+00054,1.0
06/23/2010 15:00:52,+42.3641,-71.1033,+0040,+0747,+0021,+0388,1.0,+00053,1.0
06/23/2010 15:00:53,+42.3641,-71.1033,+0040,+0747,+0021,+0374,1.0,+00052,1.0
06/23/2010 15:00:54,+42.3641,-71.1033,-0130,+0746,+0021,+0392,1.0,+00051,1.0
06/23/2010 15:00:55,+42.3641,-71.1033,+0060,+0744,+0021,+0391,1.0,+00050,1.0
06/23/2010 15:00:56,+42.3640,-71.1033,+0050,+0739,+0021,+0389,1.0,+00053,1.0
06/23/2010 15:00:57,+42.3640,-71.1033,+0160,+0738,+0021,+0388,1.0,+00054,1.0
06/23/2010 15:00:58,+42.3640,-71.1033,+0030,+0740,+0021,+0384,1.0,+00056,1.0
06/23/2010 15:00:59,+42.3640,-71.1033,+0090,+0740,+0021,+0392,1.0,+00057,1.0
06/23/2010 15:01:00,+42.3640,-71.1033,+0080,+0741,+0021,+0369,1.0,+00059,1.0
06/23/2010 15:01:01,+42.3640,-71.1033,+0010,+0742,+0021,+0385,1.0,+00059,1.0
06/23/2010 15:01:02,+42.3640,-71.1033,+0020,+0743,+0021,+0388,1.0,+00059,1.0
06/23/2010 15:01:03,+42.3640,-71.1033,+0030,+0745,+0021,+0380,1.0,+00057,1.0
06/23/2010 15:01:04,+42.3640,-71.1033,-0100,+0747,+0021,+0390,1.0,+00054,1.0
06/23/2010 15:01:05,+42.3640,-71.1033,-0150,+0749,+0021,+0376,1.0,+00052,1.0
06/23/2010 15:01:06,+42.3640,-71.1033,-0060,+0749,+0021,+0399,1.0,+00050,1.0
06/23/2010 15:01:07,+42.3640,-71.1033,+0030,+0748,+0021,+0391,1.0,+00048,1.0
06/23/2010 15:01:08,+42.3640,-71.1034,-0040,+0743,+0021,+0397,1.0,+00046,1.0
06/23/2010 15:01:09,+42.3640,-71.1034,+0010,+0734,+0021,+0381,1.0,+00045,1.0
06/23/2010 15:01:10,+42.3640,-71.1034,+0110,+0728,+0021,+0396,1.0,+00044,1.0
06/23/2010 15:01:11,+42.3640,-71.1034,+0090,+0748,+0021,+0391,1.0,+00042,1.0
06/23/2010 15:01:12,+42.3640,-71.1033,+0080,+0747,+0021,+0387,1.0,+00041,1.0
06/23/2010 15:01:13,+42.3639,-71.1033,+0020,+0742,+0021,+0385,1.0,+00040,1.0
06/23/2010 15:01:14,+42.3639,-71.1033,-0010,+0746,+0021,+0374,1.0,+00038,1.0
06/23/2010 15:01:15,+42.3639,-71.1033,+0070,+0749,+0021,+0384,1.0,+00035,1.0
06/23/2010 15:01:16,+42.3639,-71.1034,+0130,+0749,+0022,+0389,1.0,+00033,1.0
06/23/2010 15:01:17,+42.3639,-71.1034,+0240,+0749,+0021,+0384,1.0,+00032,1.0
06/23/2010 15:01:18,+42.3639,-71.1034,+0200,+0750,+0021,+0389,1.0,+00030,1.0
06/23/2010 15:01:19,+42.3638,-71.1034,+0130,+0746,+0021,+0386,1.0,+00029,1.0
06/23/2010 15:01:20,+42.3638,-71.1034,+0110,+0740,+0021,+0393,1.0,+00028,1.0
06/23/2010 15:01:21,+42.3638,-71.1034,+0080,+0734,+0021,+0374,1.0,+00026,1.0
06/23/2010 15:01:22,+42.3638,-71.1034,+0000,+0742,+0021,+0390,1.0,+00026,1.0
06/23/2010 15:01:23,+42.3638,-71.1034,-0030,+0734,+0021,+0351,1.0,+00024,1.0
06/23/2010 15:01:24,+42.3638,-71.1034,+0040,+0748,+0021,+0381,1.0,+00023,1.0
06/23/2010 15:01:25,+42.3638,-71.1034,+0040,+0752,+0021,+0382,1.0,+00022,1.0
06/23/2010 15:01:26,+42.3638,-71.1034,+0050,+0750,+0021,+0377,1.0,+00022,1.0
06/23/2010 15:01:27,+42.3638,-71.1035,+0050,+0753,+0021,+0413,1.0,+00021,1.0
06/23/2010 15:01:28,+42.3638,-71.1035,-0100,+0754,+0021,+0370,1.0,+00021,1.0
06/23/2010 15:01:29,+42.3638,-71.1035,-0080,+0754,+0021,+0372,1.0,+00020,1.0
06/23/2010 15:01:30,+42.3638,-71.1035,+0030,+0755,+0021,+0389,1.0,+00020,1.0
06/23/2010 15:01:31,+42.3638,-71.1035,+0010,+0757,+0021,+0402,1.0,+00020,1.0
06/23/2010 15:01:32,+42.3638,-71.1035,+0040,+0760,+0021,+0351,1.0,+00019,1.0
06/23/2010 15:01:33,+42.3637,-71.1035,+0080,+0763,+0021,+0415,1.0,+00018,1.0
06/23/2010 15:01:34,+42.3637,-71.1035,-0060,+0766,+0021,+0391,1.0,+00017,1.0
06/23/2010 15:01:35,+42.3638,-71.1035,+0050,+0764,+0021,+0392,1.0,+00014,1.0
06/23/2010 15:01:36,+42.3638,-71.1036,+0150,+0765,+0021,+0349,1.0,+00012,1.0
06/23/2010 15:01:37,+42.3638,-71.1036,+0040,+0765,+0021,+0423,1.0,+00010,1.0
06/23/2010 15:01:38,+42.3638,-71.1036,+0100,+0765,+0021,+0380,1.0,+00010,1.0
06/23/2010 15:01:39,+42.3638,-71.1036,+0180,+0766,+0021,+0442,1.0,+00010,1.0
06/23/2010 15:01:40,+42.3638,-71.1036,+0180,+0766,+0021,+0383,1.0,+00011,1.0
06/23/2010 15:01:41,+42.3638,-71.1036,+0120,+0765,+0021,+0386,1.0,+00011,1.0
06/23/2010 15:01:42,+42.3638,-71.1036,+0060,+0744,+0021,+0383,1.0,+00011,1.0
06/23/2010 15:01:43,+42.3638,-71.1036,+0080,+0749,+0021,+0367,1.0,+00010,1.0
06/23/2010 15:01:44,+42.3638,-71.1037,+0070,+0744,+0021,+0390,1.0,+00010,1.0
06/23/2010 15:01:45,+42.3638,-71.1037,+0060,+0744,+0021,+0364,1.0,+00009,1.0
06/23/2010 15:01:46,+42.3638,-71.1037,+0030,+0744,+0021,+0376,1.0,+00008,1.0
06/23/2010 15:01:47,+42.3638,-71.1038,-0130,+0744,+0021,+0394,1.0,+00011,1.0
06/23/2010 15:01:48,+42.3638,-71.1038,+0060,+0743,+0021,+0379,1.0,+00013,1.0
06/23/2010 15:01:49,+42.3638,-71.1038,-0020,+0743,+0021,+0391,1.0,+00013,1.0
06/23/2010 15:01:50,+42.3638,-71.1038,+0010,+0742,+0021,+0393,1.0,+00014,1.0
06/23/2010 15:01:51,+42.3638,-71.1038,+0140,+0742,+0021,+0401,1.0,+00015,1.0
06/23/2010 15:01:52,+42.3638,-71.1038,+0060,+0742,+0021,+0387,1.0,+00015,1.0
06/23/2010 15:01:53,+42.3638,-71.1038,+0040,+0742,+0021,+0362,1.0,+00014,1.0
06/23/2010 15:01:54,+42.3638,-71.1039,+0040,+0742,+0021,+0362,1.0,+00016,1.0
06/23/2010 15:01:55,+42.3638,-71.1039,+0090,+0741,+0021,+0394,1.0,+00016,1.0
06/23/2010 15:01:56,+42.3638,-71.1039,+0170,+0741,+0021,+0410,1.0,+00016,1.0
06/23/2010 15:01:57,+42.3638,-71.1039,+0150,+0735,+0021,+0384,1.0,+00017,1.0
06/23/2010 15:01:58,+42.3638,-71.1039,+0060,+0731,+0021,+0383,1.0,+00018,1.0
06/23/2010 15:01:59,+42.3638,-71.1039,+0100,+0740,+0021,+0416,1.0,+00018,1.0
06/23/2010 15:02:00,+42.3638,-71.1039,+0120,+0742,+0021,+0384,1.0,+00018,1.0
06/23/2010 15:02:01,+42.3638,-71.1040,+0060,+0742,+0021,+0380,1.0,+00018,1.0
06/23/2010 15:02:02,+42.3638,-71.1040,+0080,+0742,+0021,+0383,1.0,+00017,1.0
06/23/2010 15:02:03,+42.3638,-71.1040,+0060,+0738,+0021,+0380,1.0,+00018,1.0
06/23/2010 15:02:04,+42.3638,-71.1040,+0050,+0738,+0021,+0381,1.0,+00018,1.0
06/23/2010 15:02:05,+42.3638,-71.1040,+0020,+0738,+0021,+0381,1.0,+00018,1.0
06/23/2010 15:02:06,+42.3639,-71.1041,-0040,+0741,+0021,+0381,1.0,+00018,1.0
06/23/2010 15:02:07,+42.3639,-71.1041,+0080,+0742,+0022,+0384,1.0,+00017,1.0
06/23/2010 15:02:08,+42.3639,-71.1041,+0070,+0743,+0021,+0376,1.0,+00017,1.0
06/23/2010 15:02:10,+42.3639,-71.1041,+0160,+0743,+0021,+0372,1.0,+00017,1.0
06/23/2010 15:02:11,+42.3639,-71.1042,+0090,+0742,+0021,+0381,1.0,+00017,1.0
06/23/2010 15:02:12,+42.3639,-71.1042,+0050,+0743,+0021,+0386,1.0,+00017,1.0
06/23/2010 15:02:13,+42.3639,-71.1042,+0060,+0743,+0021,+0388,1.0,+00016,1.0
06/23/2010 15:02:14,+42.3639,-71.1042,+0040,+0742,+0021,+0383,1.0,+00017,1.0
06/23/2010 15:02:15,+42.3639,-71.1043,+0130,+0740,+0021,+0411,1.0,+00018,1.0
06/23/2010 15:02:16,+42.3639,-71.1043,+0210,+0736,+0021,+0371,1.0,+00020,1.0
06/23/2010 15:02:17,+42.3639,-71.1043,+0180,+0741,+0021,+0402,1.0,+00022,1.0
06/23/2010 15:02:18,+42.3639,-71.1043,+0160,+0742,+0021,+0353,1.0,+00022,1.0
06/23/2010 15:02:19,+42.3639,-71.1043,+0070,+0742,+0021,+0393,1.0,+00022,1.0
06/23/2010 15:02:20,+42.3638,-71.1043,+0130,+0741,+0021,+0407,1.0,+00025,1.0
06/23/2010 15:02:21,+42.3638,-71.1044,+0040,+0742,+0021,+0385,1.0,+00026,1.0
06/23/2010 15:02:22,+42.3638,-71.1044,+0060,+0737,+0021,+0410,1.0,+00026,1.0
06/23/2010 15:02:23,+42.3638,-71.1044,+0090,+0735,+0021,+0336,1.0,+00028,1.0
06/23/2010 15:02:24,+42.3638,-71.1044,+0030,+0741,+0021,+0403,1.0,+00031,1.0
06/23/2010 15:02:25,+42.3638,-71.1044,+0020,+0740,+0021,+0381,1.0,+00034,1.0
06/23/2010 15:02:26,+42.3637,-71.1044,-0090,+0734,+0021,+0440,1.0,+00037,1.0
06/23/2010 15:02:27,+42.3638,-71.1044,+0040,+0735,+0021,+0397,1.0,+00038,1.0
