time,latitude,longitude,acceleration,light,temperature,sound,temperature probe,altitude
06/28/2010 16:24:06,42.66097,-71.32166,0.94,1041.49,26.69,7,30.377907891632474012474012474012474,20
06/28/2010 16:24:08,42.660866,-71.320335,0.78,1044.72,26.69,18,30.377907891632474012474012474012474,22
06/28/2010 16:24:09,42.660767,-71.319336,0.94,1046.32,26.69,6,30.377907891632474012474012474012474,26
06/28/2010 16:24:10,42.660686,-71.331665,0.94,1046.32,26.69,14,30.377907891632474012474012474012474,25
06/28/2010 16:24:11,42.660603,-71.32,0.94,1043.92,26.69,10,30.462350751333333333333333333333333,26
06/28/2010 16:24:12,42.660515,-71.31658,0.94,1043.11,26.69,8,30.462350751333333333333333333333333,23
06/28/2010 16:24:13,42.660416,-71.31646,0.86,1041.49,26.69,16,30.462350751333333333333333333333333,26
06/28/2010 16:24:14,42.660336,-71.31635,0.90,602.16,26.69,21,30.462350751333333333333333333333333,26
06/28/2010 16:24:15,42.66023,-71.31625,0.86,1034.13,26.69,16,30.462350751333333333333333333333333,26
06/28/2010 16:24:16,42.66005,-71.31603,0.74,1033.30,26.69,12,30.462350751333333333333333333333333,27
06/28/2010 16:24:17,42.659954,-71.31592,0.94,1034.13,26.69,9,30.462350751333333333333333333333333,27
06/28/2010 16:24:18,42.659847,-71.3158,1.02,1033.30,26.69,11,30.462350751333333333333333333333333,27
06/28/2010 16:24:19,42.659767,-71.31568,1.09,1034.13,26.69,4,30.546660898318121085594989561586639,27
06/28/2010 16:24:20,42.659668,-71.31555,0.86,942.49,26.69,7,30.546660898318121085594989561586639,27
06/28/2010 16:24:22,42.65957,-71.31543,0.94,1034.95,26.69,9,30.546660898318121085594989561586639,27
06/28/2010 16:24:23,42.659466,-71.315315,0.43,1032.47,26.69,12,30.546660898318121085594989561586639,26
06/28/2010 16:24:24,42.65938,-71.3152,0.94,1033.30,26.69,9,30.546660898318121085594989561586639,26
06/28/2010 16:24:25,42.659286,-71.315094,0.86,1030.81,26.69,13,30.630838512803012552301255230125523,26
06/28/2010 16:24:26,42.659195,-71.31498,0.98,1031.64,26.69,16,30.630838512803012552301255230125523,26
06/28/2010 16:24:27,42.659115,-71.314865,0.86,1032.47,26.69,5,30.630838512803012552301255230125523,26
