time,latitude,longitude,acceleration,light,temperature,sound,counts,altitude
06/29/2010 10:52:19,,,1.13,100.69,23.79,9,11, 
06/29/2010 10:52:51,,,0.94,78.46,24.11,35,10, 
06/29/2010 10:53:23,,,0.98,68.29,24.11,23,6, 
06/29/2010 10:53:55,,,1.05,114.72,24.11,1,11, 
06/29/2010 10:54:27,,,1.09,102.70,24.11,2,4, 
06/29/2010 10:54:59,,,1.02,51.91,24.43,13,16, 
06/29/2010 10:55:32,,,0.82,2.10,24.43,12,8, 
06/29/2010 10:56:04,,,0.94,2.10,24.43,13,12, 
06/29/2010 10:56:36,,,1.13,2.10,24.11,18,10, 
06/29/2010 10:57:08,,,1.02,0.00,24.11,30,7, 
06/29/2010 10:57:40,,,0.90,0.00,23.79,7,5, 
06/29/2010 10:58:12,,,0.94,0.00,24.11,18,10, 
06/29/2010 10:58:44,,,0.94,0.00,24.11,8,11, 
06/29/2010 10:59:16,,,0.98,0.00,24.11,7,16, 
06/29/2010 10:59:48,,,0.98,0.00,24.11,6,6, 
06/29/2010 11:00:20,,,0.94,0.00,24.43,0,6, 
06/29/2010 11:00:53,,,0.94,0.00,24.43,10,22, 
06/29/2010 11:01:25,,,0.90,0.00,24.11,8,9, 
06/29/2010 11:01:57,,,0.94,0.00,24.11,9,11, 
06/29/2010 11:02:29,,,0.94,0.00,24.11,37,9, 
06/29/2010 11:03:01,,,0.94,0.00,24.43,29,3, 
06/29/2010 11:03:33,,,0.94,0.00,24.43,21,11, 
06/29/2010 11:04:05,,,0.98,0.00,24.43,15,4, 
06/29/2010 11:04:37,,,0.94,0.00,24.43,17,15, 
06/29/2010 11:05:10,,,0.90,0.00,24.43,22,8, 
06/29/2010 11:05:42,,,0.98,0.00,24.43,11,24, 
06/29/2010 11:06:14,,,1.02,0.00,24.43,27,13, 
06/29/2010 11:06:46,,,0.98,0.00,24.43,9,14, 
06/29/2010 11:07:18,,,0.98,0.00,24.43,23,12, 
06/29/2010 11:07:50,,,1.17,0.00,24.43,2,15, 
06/29/2010 11:08:23,,,0.82,657.71,24.43,30,12, 
06/29/2010 11:08:55,,,0.90,1058.88,25.72,44,12, 
06/29/2010 11:09:27,,,0.90,1061.95,27.33,23,11, 
06/29/2010 11:09:59,42.654385,-71.32523,1.05,1063.47,27.98,4,11,86
06/29/2010 11:10:31,42.65433,-71.3248,0.82,1060.42,28.95,16,12,90
06/29/2010 11:11:03,42.65437,-71.32478,0.86,1053.44,28.95,38,15,87
06/29/2010 11:11:35,42.654484,-71.32484,0.86,1053.44,28.62,23,4,62
06/29/2010 11:12:07,42.65452,-71.32484,0.86,1051.87,28.62,26,19,55
06/29/2010 11:12:39,42.6545,-71.32473,0.90,1051.87,28.30,21,16,67
06/29/2010 11:13:11,42.654663,-71.324814,0.90,1051.09,28.30,10,5,42
06/29/2010 11:13:43,42.65468,-71.32488,0.90,1051.87,28.30,8,9,19
06/29/2010 11:14:15,42.65475,-71.32484,0.86,1052.66,28.30,37,15,13
06/29/2010 11:14:47,42.654648,-71.324905,0.90,1065.74,28.62,44,17,20
06/29/2010 11:15:19,42.65428,-71.324936,0.78,1073.93,29.59,20,7,100
06/29/2010 11:15:51,42.65437,-71.32519,1.02,1076.13,30.23,44,12,60
06/29/2010 11:16:22,42.654564,-71.32546,1.02,1058.11,29.91,24,24,45
06/29/2010 11:16:55,42.65485,-71.32577,0.59,1059.65,29.59,46,12,40
06/29/2010 11:17:27,42.655136,-71.32583,0.70,1058.11,28.62,33,8,43
06/29/2010 11:17:59,42.65525,-71.32608,0.98,1062.71,28.62,21,12,58
06/29/2010 11:18:31,42.655468,-71.32622,0.86,1068.00,29.27,13,9,48
06/29/2010 11:19:03,42.655533,-71.32613,0.90,1065.74,29.59,15,16,46
06/29/2010 11:19:35,42.655552,-71.326164,0.86,1070.24,29.91,12,7,34
06/29/2010 11:20:07,42.655552,-71.32615,0.98,1070.24,30.56,9,17,35
06/29/2010 11:20:39,42.655567,-71.326065,0.86,1066.50,30.88,42,11,48
06/29/2010 11:21:11,42.655567,-71.32608,0.86,1061.95,31.20,9,6,46
06/29/2010 11:21:43,42.655598,-71.32613,0.90,1068.75,31.52,12,16,45
06/29/2010 11:22:15,42.65536,-71.326195,0.90,1075.40,31.85,22,9,44
06/29/2010 11:22:47,42.655136,-71.32608,0.98,1068.00,32.49,25,10,47
06/29/2010 11:23:19,42.654835,-71.325905,1.02,35.42,32.17,0,6,42
06/29/2010 11:23:51,42.65477,-71.32589,0.78,43.68,31.20,14,17,25
