date,station,temp,tds,salinity,do,ph,name,latitude,longitude
05/28/2008,4.4,18.6,0.86,0.67,10.4,7.5,Yankee,42.82495,-70.88801
06/12/2008,4.4,23.8,4.23,3.65,9.4,7.6,Yankee,42.82495,-70.88801
06/18/2008,4.4,22.7,0.42,0.31,9.4,7.5,Yankee,42.82495,-70.88801
06/25/2008,4.4,23.2,0.19,0.14,7.9,7.0,Yankee,42.82495,-70.88801
07/10/2008,4.4,26.0,1.16,0.87,9.8,7.7,Yankee,42.82495,-70.88801
07/16/2008,4.4,25.1,4.02,3.50,8.9,7.7,Yankee,42.82495,-70.88801
07/23/2008,4.4,25.9,0.19,0.14,7.9,7.1,Yankee,42.82495,-70.88801
08/13/2008,4.4,19.9,0.07,0.05,9.3,6.8,Yankee,42.82495,-70.88801
08/20/2008,4.4,21.7,0.10,0.07,8.3,6.7,Yankee,42.82495,-70.88801
08/27/2008,4.4,19.9,16.90,15.88,8.5,7.8,Yankee,42.82495,-70.88801
09/06/2008,4.4,24.1,0.77,0.56,9.2,7.6,Yankee,42.82495,-70.88801
09/11/2008,4.4,20.1,0.11,0.08,8.7,6.0,Yankee,42.82495,-70.88801
09/24/2008,4.4,17.1,6.01,5.19,8.9,7.9,Yankee,42.82495,-70.88801
10/07/2008,4.4,14.3,0.10,0.07,,6.6,Yankee,42.82495,-70.88801
10/11/2008,4.4,14.3,5.76,4.92,,7.0,Yankee,42.82495,-70.88801
10/15/2008,4.4,14.9,0.75,0.54,9.6,6.7,Yankee,42.82495,-70.88801
10/22/2008,4.4,12.1,3.64,2.97,,7.1,Yankee,42.82495,-70.88801
