time	temperature,time	temperature,time	temperature
0	26.8,0	26.8,0	26.8
1	26.8,1	26.8,1	26.8
2	26.8,2	26.8,2	26.8
3	26.9,3	26.9,3	26.9
4	26.9,4	26.9,4	26.9
5	26.8,5	26.8,5	26.8
6	26.9,6	26.9,6	26.9
7	26.9,7	26.9,7	26.9
8	28.0,8	28.0,8	28.0
9	30.3,9	30.3,9	30.3
10	31.9,10	31.9,10	31.9
11	32.8,11	32.8,11	32.8
12	33.3,12	33.3,12	33.3
13	33.7,13	33.7,13	33.7
14	34.2,14	34.2,14	34.2
15	34.5,15	34.5,15	34.5
16	34.7,16	34.7,16	34.7
17	34.8,17	34.8,17	34.8
18	34.9,18	34.9,18	34.9
19	35.0,19	35.0,19	35.0
20	35.1,20	35.1,20	35.1
21	35.1,21	35.1,21	35.1
22	35.1,22	35.1,22	35.1
23	35.1,23	35.1,23	35.1
24	35.2,24	35.2,24	35.2
25	35.2,25	35.2,25	35.2
26	35.2,26	35.2,26	35.2
27	35.3,27	35.3,27	35.3
28	35.3,28	35.3,28	35.3
29	35.3,29	35.3,29	35.3
30	35.3,30	35.3,30	35.3
31	35.3,31	35.3,31	35.3
32	35.4,32	35.4,32	35.4
33	35.5,33	35.5,33	35.5
34	35.5,34	35.5,34	35.5
35	35.5,35	35.5,35	35.5
36	35.4,36	35.4,36	35.4
37	35.4,37	35.4,37	35.4
38	35.3,38	35.3,38	35.3
39	35.3,39	35.3,39	35.3
40	35.1,40	35.1,40	35.1
41	35.0,41	35.0,41	35.0
42	34.9,42	34.9,42	34.9
43	34.7,43	34.7,43	34.7
44	34.6,44	34.6,44	34.6
45	34.8,45	34.8,45	34.8
46	34.9,46	34.9,46	34.9
47	35.0,47	35.0,47	35.0
48	35.1,48	35.1,48	35.1
49	35.1,49	35.1,49	35.1
50	35.1,50	35.1,50	35.1
51	35.1,51	35.1,51	35.1
52	35.2,52	35.2,52	35.2
53	35.3,53	35.3,53	35.3
54	35.4,54	35.4,54	35.4
55	35.3,55	35.3,55	35.3
56	35.3,56	35.3,56	35.3
57	35.4,57	35.4,57	35.4
58	35.3,58	35.3,58	35.3
59	35.3,59	35.3,59	35.3
60	35.3,60	35.3,60	35.3
61	35.3,61	35.3,61	35.3
62	35.3,62	35.3,62	35.3
63	35.3,63	35.3,63	35.3
64	35.3,64	35.3,64	35.3
