time,latitude,longitude,acceleration,altitude
07/20/2010 09:13:51,43.063152,-71.80759,1.03,236
07/20/2010 09:13:52,43.063038,-71.80738,1.12,247
07/20/2010 09:13:53,43.062946,-71.80727,1.03,246
07/20/2010 09:13:54,43.06272,-71.80697,1.12,239
07/20/2010 09:13:55,43.0626,-71.806786,1.21,239
07/20/2010 09:13:56,43.062485,-71.8066,1.12,237
07/20/2010 09:13:57,43.062355,-71.806435,1.03,237
07/20/2010 09:13:58,43.062233,-71.80625,1.08,236
07/20/2010 09:14:00,43.0621,-71.80606,1.12,236
07/20/2010 09:14:01,43.06199,-71.805885,1.03,234
07/20/2010 09:14:02,43.061867,-71.805695,1.12,233
07/20/2010 09:14:03,43.061752,-71.80552,1.08,233
07/20/2010 09:14:04,43.061638,-71.80533,1.08,233
07/20/2010 09:14:05,43.061516,-71.80515,1.12,233
07/20/2010 09:14:06,43.0614,-71.80498,1.08,232
07/20/2010 09:14:07,43.061264,-71.8048,0.99,233
07/20/2010 09:14:08,43.06115,-71.80461,1.12,234
07/20/2010 09:14:09,43.06093,-71.80427,1.08,235
07/20/2010 09:14:10,43.060814,-71.8041,1.08,234
07/20/2010 09:14:11,43.060703,-71.80392,1.08,234
07/20/2010 09:14:12,43.06058,-71.803734,1.12,235
07/20/2010 09:14:13,43.060467,-71.803566,1.17,234
07/20/2010 09:14:15,43.060337,-71.80338,1.08,233
07/20/2010 09:14:16,43.060215,-71.803215,1.03,233
07/20/2010 09:14:17,43.06008,-71.80303,1.03,233
07/20/2010 09:14:18,43.05995,-71.802864,1.08,232
07/20/2010 09:14:19,43.05983,-71.802704,1.03,231
07/20/2010 09:14:20,43.0597,-71.80253,1.08,231
07/20/2010 09:14:21,43.059586,-71.80235,1.12,231
07/20/2010 09:14:22,43.059483,-71.80216,1.26,230
07/20/2010 09:14:23,43.059383,-71.801956,1.21,229
07/20/2010 09:14:24,43.05922,-71.81517,1.03,230
07/20/2010 09:14:27,43.059067,-71.80867,0.94,229
07/20/2010 09:14:28,43.059048,-71.807,1.12,229
07/20/2010 09:14:30,43.059017,-71.804665,1.12,228
07/20/2010 09:14:31,43.059032,-71.802666,1.21,228
07/20/2010 09:14:32,43.059082,-71.805,1.17,228
07/20/2010 09:14:33,43.059162,-71.79987,1.17,226
07/20/2010 09:14:34,43.059254,-71.79967,1.17,226
07/20/2010 09:14:35,43.05932,-71.79951,1.39,226
07/20/2010 09:14:36,43.059383,-71.79932,1.03,224
07/20/2010 09:14:37,43.05945,-71.79917,1.08,225
07/20/2010 09:14:38,43.059498,-71.798996,1.03,225
07/20/2010 09:14:39,43.05962,-71.79868,1.17,224
07/20/2010 09:14:40,43.059685,-71.798515,1.08,224
07/20/2010 09:14:41,43.05975,-71.79835,1.03,224
07/20/2010 09:14:42,43.059814,-71.79819,1.03,224
07/20/2010 09:14:43,43.059902,-71.79801,1.08,224
07/20/2010 09:14:45,43.06,-71.79785,1.12,224
07/20/2010 09:14:46,43.0601,-71.79768,1.12,225
07/20/2010 09:14:47,43.060196,-71.7975,1.17,225
07/20/2010 09:14:48,43.060303,-71.79733,0.99,226
