time,acc
"Jul 1 2009 14:26:26.33",0.90
"Jul 1 2009 14:26:26.66",0.86
"Jul 1 2009 14:26:27",0.90
"Jul 1 2009 14:26:27.33",0.86
"Jul 1 2009 14:26:27.66",0.78
"Jul 1 2009 14:26:28",0.90
"Jul 1 2009 14:26:28.25",0.98
"Jul 1 2009 14:26:28.50",-0.10
"Jul 1 2009 14:26:28.75",-2.33
"Jul 1 2009 14:26:29",0.78
"Jul 1 2009 14:26:29.25",-2.29
"Jul 1 2009 14:26:29.5",0.66
"Jul 1 2009 14:26:29.75",0.82
"Jul 1 2009 14:26:30",-2.21
"Jul 1 2009 14:26:30.25",0.58
"Jul 1 2009 14:26:30.5",-1.97
"Jul 1 2009 14:26:30.75",0.66
"Jul 1 2009 14:26:31",0.94
"Jul 1 2009 14:26:31.25",-2.65
"Jul 1 2009 14:26:31.5",0.86
"Jul 1 2009 14:26:31.75",-0.14
"Jul 1 2009 14:26:32",-0.33
"Jul 1 2009 14:26:32.25",1.10
"Jul 1 2009 14:26:32.5",-2.53
"Jul 1 2009 14:26:32.75",0.94
"Jul 1 2009 14:26:33",-2.25
"Jul 1 2009 14:26:33.25",0.70
"Jul 1 2009 14:26:33.5",-1.05
"Jul 1 2009 14:26:33.75",0.66
"Jul 1 2009 14:26:34",-3.93
"Jul 1 2009 14:26:34.25",0.62
"Jul 1 2009 14:26:34.5",0.94
"Jul 1 2009 14:26:34.75",-2.29
"Jul 1 2009 14:26:35",-0.25
"Jul 1 2009 14:26:35.25",-0.14
"Jul 1 2009 14:26:35.5",-2.41
"Jul 1 2009 14:26:35.75",-0.97
"Jul 1 2009 14:26:36",0.70
"Jul 1 2009 14:26:36.25",1.02
"Jul 1 2009 14:26:36.5",-2.21
"Jul 1 2009 14:26:36.75",0.74
"Jul 1 2009 14:26:37",-1.01
"Jul 1 2009 14:26:37.25",0.62
"Jul 1 2009 14:26:37.5",-4.01
"Jul 1 2009 14:26:37.75",-0.37
"Jul 1 2009 14:26:38",0.82
"Jul 1 2009 14:26:38.25",-0.25
"Jul 1 2009 14:26:38.5",0.74
"Jul 1 2009 14:26:38.75",-0.93
"Jul 1 2009 14:26:39",0.58
"Jul 1 2009 14:26:39.33",1.10
"Jul 1 2009 14:26:39.66",-0.37
"Jul 1 2009 14:26:40",0.98
"Jul 1 2009 14:26:40.25",-2.17
"Jul 1 2009 14:26:40.5",-0.37
"Jul 1 2009 14:26:40.75",0.90
"Jul 1 2009 14:26:41",-0.14
