time,latitude,longitude,accel,light,temp,sound,external
"5/23/2008 19:28:2.0",,,1.02,1055.79,-57.10,0,0
"5/23/2008 19:28:4.0",,,1.05,1055.79,-57.10,0,0
"5/23/2008 19:28:5.0",,,1.02,1056.56,-57.10,0,0
"5/23/2008 19:28:6.0",,,1.02,1056.56,-57.10,0,0
"5/23/2008 19:28:7.0",,,1.05,1055.79,-56.78,0,0
"5/23/2008 19:28:9.0",,,1.05,1056.56,-56.78,0,0
"5/23/2008 19:28:10.0",,,1.02,1055.79,-56.78,0,0
"5/23/2008 19:28:12.0",,,1.05,1055.79,-56.78,0,0
"5/23/2008 19:28:13.0",,,1.05,1056.56,-56.78,0,0
"5/23/2008 19:28:15.0",,,1.05,1055.79,-56.78,0,0
"5/23/2008 19:28:16.0",,,1.05,1056.56,-56.78,0,0
"5/23/2008 19:28:18.0",,,1.05,1055.79,-56.78,0,0
"5/23/2008 19:28:19.0",,,1.02,1055.79,-56.78,0,0
"5/23/2008 19:28:20.0",,,1.05,1055.79,-56.78,0,0
"5/23/2008 19:28:22.0",,,1.02,556.47,-56.46,0,0
"5/23/2008 19:28:23.0",,,1.05,574.94,-56.46,0,0
"5/23/2008 19:28:25.0",,,1.05,567.28,-56.46,0,0
"5/23/2008 19:28:26.0",,,1.05,567.28,-56.78,0,0
"5/23/2008 19:28:28.0",,,1.05,567.28,-56.46,0,0
"5/23/2008 19:28:29.0",,,1.05,567.28,-56.46,0,0
"5/23/2008 19:28:31.0",,,1.05,567.28,-56.46,0,0
"5/23/2008 19:28:32.0",,,1.05,568.81,-56.46,0,0
"5/23/2008 19:28:33.0",,,1.05,564.20,-56.46,0,0
"5/23/2008 19:36:51.0",,,1.05,426.71,-57.10,0,0
"5/23/2008 19:36:52.0",,,1.05,536.17,-57.10,0,0
"5/23/2008 19:36:54.0",,,1.02,539.31,-57.10,0,0
"5/23/2008 19:36:55.0",,,1.05,540.88,-57.10,0,0
"5/23/2008 19:36:57.0",,,1.02,540.88,-57.10,0,0
"5/23/2008 19:36:58.0",,,1.05,540.88,-57.10,0,0
"5/23/2008 19:40:0.0",,,1.05,540.88,-57.10,0,0
"5/23/2008 19:40:1.0",,,1.05,539.31,-57.10,0,0
"5/23/2008 19:40:3.0",,,1.05,537.74,-57.10,0,0
"5/24/2008 20:8:36.0",,,1.05,223.80,-57.10,0,0
"5/24/2008 20:8:38.0",,,1.05,229.48,-57.10,0,0
"5/24/2008 20:8:39.0",,,1.05,227.59,-57.42,0,0
"5/24/2008 20:8:41.0",,,1.05,223.80,-57.42,0,0
"5/24/2008 20:8:42.0",,,1.05,233.26,-57.42,0,0
"5/24/2008 20:8:43.0",,,1.05,227.59,-57.10,0,0
"5/24/2008 20:8:44.0",,,1.05,227.59,-57.10,0,0
"5/24/2008 20:8:46.0",,,1.05,220.00,-57.10,0,0
"5/24/2008 20:8:47.0",,,1.05,231.37,-57.10,0,0
"5/24/2008 20:8:49.0",,,1.05,227.59,-57.10,0,0
"5/24/2008 20:8:50.0",,,1.05,225.69,-57.10,0,0
"5/24/2008 20:8:52.0",,,1.05,221.90,-57.10,0,0
"5/24/2008 20:8:53.0",,,1.05,233.26,-57.10,0,0
"5/24/2008 20:8:54.0",,,1.05,227.59,-57.10,0,0
"5/24/2008 20:12:49.0",,,1.05,463.54,-56.13,0,0
"5/24/2008 20:12:50.0",,,1.05,461.89,-56.13,0,0
"5/24/2008 20:12:51.0",,,1.05,455.25,-56.13,0,0
"5/24/2008 20:12:53.0",,,1.05,478.36,-56.13,0,0
"5/24/2008 20:12:54.0",,,1.02,478.36,-56.13,0,0
"5/24/2008 20:12:56.0",,,1.02,456.91,-56.13,0,0
"5/24/2008 20:12:57.0",,,1.02,470.15,-56.13,0,0
"5/24/2008 20:12:59.0",,,1.05,476.72,-56.13,0,0
"5/24/2008 20:12:0.0",,,1.05,456.91,-56.13,0,0
"5/24/2008 20:12:2.0",,,1.05,476.72,-56.13,0,0
"5/24/2008 20:12:3.0",,,1.05,471.79,-56.13,0,0
"5/24/2008 20:12:4.0",,,1.02,453.59,-56.13,0,0
"5/24/2008 20:12:5.0",,,1.02,476.72,-56.13,0,0
"5/24/2008 20:12:7.0",,,1.05,466.85,-56.13,0,0
"5/24/2008 20:12:8.0",,,1.05,453.59,-56.13,0,0
"5/24/2008 20:12:10.0",,,1.05,478.36,-56.13,0,0
"5/24/2008 20:56:37.0",,,1.05,1039.87,-56.13,0,0
"5/24/2008 20:56:38.0",,,1.05,1040.68,-56.13,0,0
"5/24/2008 20:56:39.0",,,1.05,1037.42,-56.13,0,0
"5/24/2008 20:56:41.0",,,1.05,1039.87,-56.13,0,0
"5/24/2008 20:56:42.0",,,1.05,1037.42,-56.13,0,0
"5/24/2008 20:56:44.0",,,1.05,1039.87,-56.13,0,0
"5/24/2008 20:56:45.0",,,1.05,1039.87,-56.13,0,0
"5/24/2008 20:56:47.0",,,1.05,1040.68,-56.13,0,0
"5/24/2008 20:56:48.0",,,1.05,1037.42,-56.13,0,0
