time,accel
"Jul 6 2009 04:47:53",0.92
"Jul 6 2009 04:47:53",0.92
"Jul 6 2009 04:47:53",0.92
"Jul 6 2009 04:47:53",5.07
"Jul 6 2009 04:47:53",3.43
"Jul 6 2009 04:47:53",0.96
"Jul 6 2009 04:47:53",5.15
"Jul 6 2009 04:47:53",1.04
"Jul 6 2009 04:47:54",4.87
"Jul 6 2009 04:47:54",0.72
"Jul 6 2009 04:47:54",0.80
"Jul 6 2009 04:47:54",1.08
"Jul 6 2009 04:47:54",1.16
"Jul 6 2009 04:47:54",4.91
"Jul 6 2009 04:47:54",3.27
"Jul 6 2009 04:47:54",0.80
"Jul 6 2009 04:47:55",0.92
"Jul 6 2009 04:47:55",1.24
"Jul 6 2009 04:47:55",3.55
"Jul 6 2009 04:47:55",4.67
"Jul 6 2009 04:47:55",0.68
"Jul 6 2009 04:47:55",1.04
"Jul 6 2009 04:47:55",3.79
"Jul 6 2009 04:47:55",4.95
"Jul 6 2009 04:47:56",4.87
"Jul 6 2009 04:47:56",0.80
"Jul 6 2009 04:47:56",0.80
"Jul 6 2009 04:47:56",1.20
"Jul 6 2009 04:47:56",3.59
"Jul 6 2009 04:47:56",0.56
"Jul 6 2009 04:47:56",0.84
"Jul 6 2009 04:47:56",1.08
"Jul 6 2009 04:47:57",5.15
"Jul 6 2009 04:47:57",4.83
"Jul 6 2009 04:47:57",0.64
"Jul 6 2009 04:47:57",0.88
"Jul 6 2009 04:47:57",1.00
"Jul 6 2009 04:47:57",1.20
"Jul 6 2009 04:47:57",4.87
"Jul 6 2009 04:47:57",0.64
"Jul 6 2009 04:47:58",0.92
"Jul 6 2009 04:47:58",5.31
"Jul 6 2009 04:47:58",5.07
"Jul 6 2009 04:47:58",4.75
"Jul 6 2009 04:47:58",0.72
"Jul 6 2009 04:47:58",0.88
"Jul 6 2009 04:47:58",1.08
"Jul 6 2009 04:47:58",3.11
"Jul 6 2009 04:47:59",0.60
"Jul 6 2009 04:47:59",0.76
"Jul 6 2009 04:47:59",1.04
"Jul 6 2009 04:47:59",3.35
"Jul 6 2009 04:47:59",3.35
"Jul 6 2009 04:47:59",4.67
"Jul 6 2009 04:47:59",0.64
"Jul 6 2009 04:48:00",1.16
"Jul 6 2009 04:48:00",5.35
"Jul 6 2009 04:48:00",4.75
"Jul 6 2009 04:48:00",0.64
"Jul 6 2009 04:48:00",0.88
"Jul 6 2009 04:48:00",1.24
"Jul 6 2009 04:48:00",5.23
"Jul 6 2009 04:48:00",4.75
"Jul 6 2009 04:48:01",0.60
"Jul 6 2009 04:48:01",1.08
"Jul 6 2009 04:48:01",3.75
"Jul 6 2009 04:48:01",4.91
"Jul 6 2009 04:48:01",4.67
"Jul 6 2009 04:48:01",0.80
"Jul 6 2009 04:48:01",1.08
"Jul 6 2009 04:48:01",5.43
"Jul 6 2009 04:48:02",4.87
"Jul 6 2009 04:48:02",0.48
"Jul 6 2009 04:48:02",0.84
"Jul 6 2009 04:48:02",1.08
"Jul 6 2009 04:48:02",5.39
"Jul 6 2009 04:48:02",3.15
"Jul 6 2009 04:48:02",0.68
"Jul 6 2009 04:48:02",1.00
"Jul 6 2009 04:48:03",3.39
"Jul 6 2009 04:48:03",2.95
"Jul 6 2009 04:48:03",0.64
"Jul 6 2009 04:48:03",0.80
"Jul 6 2009 04:48:03",1.00
"Jul 6 2009 04:48:03",1.20
"Jul 6 2009 04:48:03",4.91
"Jul 6 2009 04:48:03",0.64
"Jul 6 2009 04:48:04",1.00
"Jul 6 2009 04:48:04",1.32
"Jul 6 2009 04:48:04",5.11
"Jul 6 2009 04:48:04",4.59
"Jul 6 2009 04:48:04",0.60
"Jul 6 2009 04:48:04",0.96
"Jul 6 2009 04:48:04",1.36
"Jul 6 2009 04:48:04",5.27
"Jul 6 2009 04:48:05",0.60
"Jul 6 2009 04:48:05",0.88
"Jul 6 2009 04:48:05",0.92
"Jul 6 2009 04:48:05",3.31
"Jul 6 2009 04:48:05",2.83
"Jul 6 2009 04:48:05",0.64
"Jul 6 2009 04:48:05",0.76
"Jul 6 2009 04:48:06",1.20
"Jul 6 2009 04:48:06",3.87
"Jul 6 2009 04:48:06",2.75
"Jul 6 2009 04:48:06",0.56
"Jul 6 2009 04:48:06",0.92
"Jul 6 2009 04:48:06",1.36
"Jul 6 2009 04:48:06",3.51
"Jul 6 2009 04:48:06",0.68
"Jul 6 2009 04:48:07",0.64
"Jul 6 2009 04:48:07",0.92
"Jul 6 2009 04:48:07",3.39
"Jul 6 2009 04:48:07",3.59
"Jul 6 2009 04:48:07",4.67
"Jul 6 2009 04:48:07",0.72
"Jul 6 2009 04:48:07",1.12
"Jul 6 2009 04:48:07",3.39
"Jul 6 2009 04:48:08",0.72
"Jul 6 2009 04:48:08",0.68
"Jul 6 2009 04:48:08",0.84
"Jul 6 2009 04:48:08",0.96
"Jul 6 2009 04:48:08",3.47
"Jul 6 2009 04:48:08",3.27
"Jul 6 2009 04:48:08",0.64
"Jul 6 2009 04:48:08",0.92
"Jul 6 2009 04:48:09",1.16
"Jul 6 2009 04:48:09",5.15
"Jul 6 2009 04:48:09",3.31
"Jul 6 2009 04:48:09",0.56
"Jul 6 2009 04:48:09",0.96
"Jul 6 2009 04:48:09",3.39
"Jul 6 2009 04:48:09",3.55
"Jul 6 2009 04:48:09",3.19
"Jul 6 2009 04:48:10",0.72
"Jul 6 2009 04:48:10",1.04
"Jul 6 2009 04:48:10",1.24
"Jul 6 2009 04:48:10",5.07
"Jul 6 2009 04:48:10",4.87
"Jul 6 2009 04:48:10",0.68
"Jul 6 2009 04:48:10",1.00
"Jul 6 2009 04:48:10",1.16
"Jul 6 2009 04:48:11",3.27
"Jul 6 2009 04:48:11",4.91
"Jul 6 2009 04:48:11",0.68
"Jul 6 2009 04:48:11",0.88
"Jul 6 2009 04:48:11",1.08
"Jul 6 2009 04:48:11",3.19
"Jul 6 2009 04:48:11",0.80
"Jul 6 2009 04:48:11",0.76
"Jul 6 2009 04:48:12",3.51
"Jul 6 2009 04:48:12",5.03
"Jul 6 2009 04:48:12",0.88
"Jul 6 2009 04:48:12",5.11
"Jul 6 2009 04:48:12",0.92
"Jul 6 2009 04:48:12",3.51
"Jul 6 2009 04:48:12",0.96
