time,lat,lon,acc,light,temp
"Jul 6 2009 20:00:18",0.0,0.0,0.94,7.00,27.21
"Jul 6 2009 20:00:19",0.0,0.0,1.18,19.00,27.21
"Jul 6 2009 20:00:21",0.0,0.0,1.58,28.00,27.21
"Jul 6 2009 20:00:22",0.0,0.0,1.22,24.00,27.21
"Jul 6 2009 20:00:23",0.0,0.0,0.90,23.00,27.21
"Jul 6 2009 20:00:24",0.0,0.0,0.86,5.00,27.21
"Jul 6 2009 20:00:25",0.0,0.0,1.22,5.00,27.21
"Jul 6 2009 20:00:26",0.0,0.0,0.74,12.00,27.21
"Jul 6 2009 20:00:27",0.0,0.0,0.98,5.00,27.21
"Jul 6 2009 20:00:28",0.0,0.0,0.78,0.00,27.21
"Jul 6 2009 20:00:29",0.0,0.0,0.82,0.00,27.21
"Jul 6 2009 20:00:30",0.0,0.0,0.86,0.00,27.21
"Jul 6 2009 20:00:31",0.0,0.0,1.18,0.00,27.21
"Jul 6 2009 20:00:32",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:00:34",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:00:35",0.0,0.0,0.94,1.00,27.21
"Jul 6 2009 20:00:36",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:00:37",0.0,0.0,0.82,3.00,27.21
"Jul 6 2009 20:00:38",0.0,0.0,0.82,6.00,27.21
"Jul 6 2009 20:00:39",0.0,0.0,0.82,5.00,27.21
"Jul 6 2009 20:00:40",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:00:41",0.0,0.0,0.98,1.00,27.21
"Jul 6 2009 20:00:42",0.0,0.0,0.90,8.00,27.21
"Jul 6 2009 20:00:43",0.0,0.0,0.90,4.00,27.21
"Jul 6 2009 20:00:44",0.0,0.0,0.98,6.00,27.21
"Jul 6 2009 20:00:45",0.0,0.0,0.90,7.00,27.21
"Jul 6 2009 20:00:46",0.0,0.0,0.90,5.00,27.21
"Jul 6 2009 20:00:48",0.0,0.0,0.90,3.00,27.21
"Jul 6 2009 20:00:49",0.0,0.0,0.90,3.00,27.21
"Jul 6 2009 20:00:50",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:00:51",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:00:52",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:00:53",0.0,0.0,0.86,1.00,27.21
"Jul 6 2009 20:00:54",0.0,0.0,0.90,0.00,27.21
"Jul 6 2009 20:00:55",0.0,0.0,0.98,0.00,27.21
"Jul 6 2009 20:00:56",0.0,0.0,0.82,0.00,27.21
"Jul 6 2009 20:00:57",0.0,0.0,0.94,1.00,27.21
"Jul 6 2009 20:00:58",0.0,0.0,0.86,0.00,27.21
"Jul 6 2009 20:00:59",0.0,0.0,1.18,0.00,27.21
"Jul 6 2009 20:01:01",0.0,0.0,0.86,1.00,27.21
"Jul 6 2009 20:01:02",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:01:03",0.0,0.0,0.86,1.00,27.21
"Jul 6 2009 20:01:04",0.0,0.0,0.90,1.00,27.21
"Jul 6 2009 20:01:05",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:01:06",0.0,0.0,0.90,0.00,27.21
"Jul 6 2009 20:01:07",0.0,0.0,0.90,0.00,27.21
"Jul 6 2009 20:01:08",0.0,0.0,0.86,0.00,27.21
"Jul 6 2009 20:01:09",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:01:10",0.0,0.0,1.02,0.00,27.21
"Jul 6 2009 20:01:11",0.0,0.0,0.94,0.00,27.21
"Jul 6 2009 20:01:12",0.0,0.0,0.98,0.00,27.21
"Jul 6 2009 20:01:14",0.0,0.0,0.98,0.00,27.21
"Jul 6 2009 20:01:15",0.0,0.0,1.02,0.00,27.21
"Jul 6 2009 20:01:16",0.0,0.0,1.02,1.00,27.21
"Jul 6 2009 20:01:17",0.0,0.0,0.98,2.00,27.21
"Jul 6 2009 20:01:18",0.0,0.0,1.14,3.00,27.21
"Jul 6 2009 20:01:19",0.0,0.0,1.06,3.00,27.21
"Jul 6 2009 20:01:20",0.0,0.0,1.10,3.00,27.21
"Jul 6 2009 20:01:21",0.0,0.0,1.10,3.00,27.21
"Jul 6 2009 20:01:22",0.0,0.0,1.02,3.00,27.21
"Jul 6 2009 20:01:23",0.0,0.0,1.02,3.00,27.21
"Jul 6 2009 20:01:24",0.0,0.0,0.98,3.00,28.60
"Jul 6 2009 20:01:25",0.0,0.0,0.86,3.00,27.21
"Jul 6 2009 20:01:26",0.0,0.0,1.06,3.00,28.60
"Jul 6 2009 20:01:28",0.0,0.0,1.02,3.00,28.60
"Jul 6 2009 20:01:29",0.0,0.0,0.98,3.00,28.60
"Jul 6 2009 20:01:30",0.0,0.0,1.02,3.00,27.21
"Jul 6 2009 20:01:31",0.0,0.0,0.98,3.00,27.21
"Jul 6 2009 20:01:32",0.0,0.0,1.06,3.00,27.21
"Jul 6 2009 20:01:33",0.0,0.0,1.02,3.00,28.60
"Jul 6 2009 20:01:34",0.0,0.0,0.94,3.00,28.60
"Jul 6 2009 20:01:35",0.0,0.0,1.02,3.00,28.60
"Jul 6 2009 20:01:36",0.0,0.0,1.02,3.00,28.60
"Jul 6 2009 20:01:37",0.0,0.0,1.02,3.00,28.60
"Jul 6 2009 20:01:38",0.0,0.0,0.98,3.00,28.60
"Jul 6 2009 20:01:39",0.0,0.0,1.10,2.00,28.60
"Jul 6 2009 20:01:41",0.0,0.0,0.90,3.00,28.60
"Jul 6 2009 20:01:42",0.0,0.0,1.02,2.00,28.60
"Jul 6 2009 20:01:43",0.0,0.0,0.90,0.00,28.60
"Jul 6 2009 20:01:44",0.0,0.0,1.14,12.00,28.60
"Jul 6 2009 20:01:45",0.0,0.0,1.10,9.00,28.60
"Jul 6 2009 20:01:46",0.0,0.0,1.30,10.00,28.60
"Jul 6 2009 20:01:47",0.0,0.0,0.98,14.00,28.60
"Jul 6 2009 20:01:48",0.0,0.0,0.82,4.00,28.60
"Jul 6 2009 20:01:49",0.0,0.0,1.22,0.00,28.60
