date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/28/2008,9.4,IndianRiver,18.3,221,0.14,0.10,10.2,7.2,42.81902,-70.95618
6/12/2008,9.4,IndianRiver,25.1,267,0.17,0.13,9.9,7.5,42.81902,-70.95618
6/18/2008,9.4,IndianRiver,23.1,224,0.15,0.11,9.1,7.3,42.81902,-70.95618
6/25/2008,9.4,IndianRiver,23.3,239,0.16,0.11,8.3,7.0,42.81902,-70.95618
7/10/2008,9.4,IndianRiver,26.0,194,0.13,0.09,8.8,7.1,42.81902,-70.95618
7/16/2008,9.4,IndianRiver,26.1,236,0.15,0.11,8.9,7.4,42.81902,-70.95618
7/23/2008,9.4,IndianRiver,25.8,240,0.16,0.11,7.6,7.0,42.81902,-70.95618
8/13/2008,9.4,IndianRiver,19.7,100,0.07,0.05,9.5,6.6,42.81902,-70.95618
8/20/2008,9.4,IndianRiver,21.6,144,0.09,0.07,8.4,6.9,42.81902,-70.95618
8/27/2008,9.4,IndianRiver,22.1,181,0.12,0.09,8.7,7.0,42.81902,-70.95618
9/6/2008,9.4,IndianRiver,24.7,194,0.13,0.09,9.1,7.4,42.81902,-70.95618
9/11/2008,9.4,IndianRiver,19.8,139,0.09,0.07,8.5,6.6,42.81902,-70.95618
9/24/2008,9.4,IndianRiver,17.4,167,0.11,0.08,8.9,7.4,42.81902,-70.95618
10/6/2008,9.4,IndianRiver,14.6,133,0.09,0.06,10.3,6.6,42.81902,-70.95618
10/7/2008,9.4,IndianRiver,13.8,137,0.09,0.06,,6.7,42.81902,-70.95618
