time,sound
"Jul 13 2009 04:26:56",0.00
"Jul 13 2009 04:26:58",0.00
"Jul 13 2009 04:26:59",17.00
"Jul 13 2009 04:27:00",3.00
"Jul 13 2009 04:27:01",0.00
"Jul 13 2009 04:27:02",0.00
"Jul 13 2009 04:27:03",0.00
"Jul 13 2009 04:27:04",0.00
"Jul 13 2009 04:27:05",0.00
"Jul 13 2009 04:27:06",0.00
"Jul 13 2009 04:27:07",0.00
"Jul 13 2009 04:27:08",0.00
"Jul 13 2009 04:27:09",0.00
"Jul 13 2009 04:27:11",0.00
"Jul 13 2009 04:27:12",0.00
"Jul 13 2009 04:27:13",0.00
"Jul 13 2009 04:27:14",0.00
"Jul 13 2009 04:27:15",0.00
"Jul 13 2009 04:27:16",0.00
"Jul 13 2009 04:27:17",0.00
"Jul 13 2009 04:27:18",0.00
"Jul 13 2009 04:27:19",0.00
"Jul 13 2009 04:27:20",0.00
"Jul 13 2009 04:27:21",0.00
"Jul 13 2009 04:27:22",0.00
"Jul 13 2009 04:27:24",0.00
"Jul 13 2009 04:27:25",0.00
"Jul 13 2009 04:27:26",10.00
"Jul 13 2009 04:27:27",0.00
"Jul 13 2009 04:27:28",0.00
"Jul 13 2009 04:27:29",0.00
"Jul 13 2009 04:27:30",0.00
"Jul 13 2009 04:27:31",0.00
"Jul 13 2009 04:27:32",5.00
"Jul 13 2009 04:27:33",0.00
"Jul 13 2009 04:27:34",0.00
"Jul 13 2009 04:27:35",0.00
"Jul 13 2009 04:27:36",0.00
"Jul 13 2009 04:27:38",0.00
"Jul 13 2009 04:27:39",12.00
"Jul 13 2009 04:27:40",0.00
"Jul 13 2009 04:27:41",0.00
"Jul 13 2009 04:27:42",0.00
"Jul 13 2009 04:27:43",0.00
"Jul 13 2009 04:27:44",27.00
"Jul 13 2009 04:27:45",0.00
"Jul 13 2009 04:27:46",0.00
"Jul 13 2009 04:27:47",0.00
"Jul 13 2009 04:27:48",0.00
"Jul 13 2009 04:27:49",0.00
"Jul 13 2009 04:27:51",0.00
"Jul 13 2009 04:27:52",0.00
"Jul 13 2009 04:27:53",0.00
"Jul 13 2009 04:27:54",0.00
"Jul 13 2009 04:27:55",0.00
"Jul 13 2009 04:27:56",2.00
"Jul 13 2009 04:27:57",0.00
"Jul 13 2009 04:27:58",0.00
"Jul 13 2009 04:27:59",0.00
"Jul 13 2009 04:28:00",0.00
"Jul 13 2009 04:28:01",0.00
"Jul 13 2009 04:28:02",5.00
"Jul 13 2009 04:28:04",0.00
"Jul 13 2009 04:28:05",0.00
"Jul 13 2009 04:28:06",0.00
"Jul 13 2009 04:28:07",0.00
"Jul 13 2009 04:28:08",0.00
"Jul 13 2009 04:28:09",0.00
"Jul 13 2009 04:28:10",0.00
"Jul 13 2009 04:28:11",0.00
"Jul 13 2009 04:28:12",0.00
"Jul 13 2009 04:28:13",0.00
"Jul 13 2009 04:28:14",22.00
"Jul 13 2009 04:28:15",0.00
"Jul 13 2009 04:28:17",0.00
"Jul 13 2009 04:28:18",0.00
"Jul 13 2009 04:28:19",0.00
"Jul 13 2009 04:28:20",0.00
"Jul 13 2009 04:28:21",0.00
"Jul 13 2009 04:28:22",34.00
"Jul 13 2009 04:28:23",23.00
"Jul 13 2009 04:28:24",0.00
"Jul 13 2009 04:28:25",0.00
"Jul 13 2009 04:28:26",0.00
"Jul 13 2009 04:28:27",0.00
"Jul 13 2009 04:28:28",0.00
"Jul 13 2009 04:28:29",0.00
"Jul 13 2009 04:28:31",0.00
"Jul 13 2009 04:28:32",1.00
"Jul 13 2009 04:28:33",0.00
"Jul 13 2009 04:28:34",0.00
"Jul 13 2009 04:28:35",0.00
"Jul 13 2009 04:28:36",0.00
"Jul 13 2009 04:28:37",0.00
"Jul 13 2009 04:28:38",0.00
"Jul 13 2009 04:28:39",7.00
"Jul 13 2009 04:28:40",0.00
"Jul 13 2009 04:28:41",0.00
"Jul 13 2009 04:28:42",0.00
"Jul 13 2009 04:28:44",0.00
"Jul 13 2009 04:28:45",0.00
"Jul 13 2009 04:28:46",0.00
"Jul 13 2009 04:28:47",0.00
"Jul 13 2009 04:28:48",0.00
"Jul 13 2009 04:28:49",0.00
"Jul 13 2009 04:28:50",25.00
"Jul 13 2009 04:28:51",0.00
"Jul 13 2009 04:28:52",0.00
"Jul 13 2009 04:28:53",0.00
"Jul 13 2009 04:28:54",0.00
"Jul 13 2009 04:28:55",0.00
"Jul 13 2009 04:28:57",0.00
"Jul 13 2009 04:28:58",25.00
"Jul 13 2009 04:28:59",0.00
"Jul 13 2009 04:29:00",0.00
"Jul 13 2009 04:29:01",0.00
"Jul 13 2009 04:29:02",0.00
"Jul 13 2009 04:29:03",0.00
"Jul 13 2009 04:29:04",0.00
"Jul 13 2009 04:29:05",0.00
"Jul 13 2009 04:29:06",0.00
"Jul 13 2009 04:29:07",0.00
"Jul 13 2009 04:29:08",0.00
"Jul 13 2009 04:29:10",0.00
"Jul 13 2009 04:29:11",0.00
"Jul 13 2009 04:29:12",3.00
"Jul 13 2009 04:29:13",0.00
"Jul 13 2009 04:29:14",0.00
"Jul 13 2009 04:29:15",0.00
"Jul 13 2009 04:29:16",0.00
"Jul 13 2009 04:29:17",0.00
"Jul 13 2009 04:29:18",0.00
"Jul 13 2009 04:29:19",0.00
"Jul 13 2009 04:29:20",0.00
"Jul 13 2009 04:29:21",0.00
"Jul 13 2009 04:29:22",10.00
"Jul 13 2009 04:29:24",3.00
"Jul 13 2009 04:29:25",0.00
"Jul 13 2009 04:29:26",10.00
"Jul 13 2009 04:29:27",0.00
"Jul 13 2009 04:29:28",0.00
"Jul 13 2009 04:29:29",0.00
"Jul 13 2009 04:29:30",0.00
"Jul 13 2009 04:29:31",0.00
"Jul 13 2009 04:29:32",0.00
"Jul 13 2009 04:29:33",0.00
"Jul 13 2009 04:29:34",0.00
"Jul 13 2009 04:29:35",0.00
"Jul 13 2009 04:29:37",0.00
"Jul 13 2009 04:29:38",0.00
"Jul 13 2009 04:29:39",0.00
"Jul 13 2009 04:29:40",0.00
"Jul 13 2009 04:29:41",0.00
"Jul 13 2009 04:29:42",0.00
"Jul 13 2009 04:29:43",0.00
"Jul 13 2009 04:29:44",17.00
"Jul 13 2009 04:29:45",24.00
"Jul 13 2009 04:29:46",0.00
"Jul 13 2009 04:29:47",4.00
"Jul 13 2009 04:29:48",13.00
"Jul 13 2009 04:29:50",0.00
"Jul 13 2009 04:29:51",12.00
"Jul 13 2009 04:29:52",0.00
"Jul 13 2009 04:29:53",0.00
"Jul 13 2009 04:29:54",0.00
"Jul 13 2009 04:29:55",0.00
"Jul 13 2009 04:29:56",33.00
"Jul 13 2009 04:29:57",0.00
"Jul 13 2009 04:29:58",0.00
"Jul 13 2009 04:29:59",0.00
"Jul 13 2009 04:30:00",0.00
"Jul 13 2009 04:30:01",0.00
"Jul 13 2009 04:30:03",12.00
"Jul 13 2009 04:30:04",0.00
"Jul 13 2009 04:30:05",0.00
"Jul 13 2009 04:30:06",0.00
"Jul 13 2009 04:30:07",0.00
"Jul 13 2009 04:30:08",0.00
"Jul 13 2009 04:30:09",0.00
"Jul 13 2009 04:30:10",0.00
"Jul 13 2009 04:30:11",8.00
"Jul 13 2009 04:30:12",0.00
"Jul 13 2009 04:30:13",0.00
"Jul 13 2009 04:30:14",0.00
"Jul 13 2009 04:30:15",0.00
"Jul 13 2009 04:30:17",0.00
"Jul 13 2009 04:30:18",0.00
"Jul 13 2009 04:30:19",25.00
"Jul 13 2009 04:30:20",0.00
"Jul 13 2009 04:30:21",0.00
"Jul 13 2009 04:30:22",16.00
"Jul 13 2009 04:30:23",0.00
"Jul 13 2009 04:30:24",25.00
"Jul 13 2009 04:30:25",0.00
"Jul 13 2009 04:30:26",0.00
"Jul 13 2009 04:30:27",0.00
"Jul 13 2009 04:30:28",0.00
"Jul 13 2009 04:30:30",0.00
"Jul 13 2009 04:30:31",0.00
"Jul 13 2009 04:30:32",4.00
"Jul 13 2009 04:30:33",0.00
"Jul 13 2009 04:30:34",14.00
"Jul 13 2009 04:30:35",0.00
"Jul 13 2009 04:30:36",0.00
"Jul 13 2009 04:30:37",0.00
"Jul 13 2009 04:30:38",16.00
"Jul 13 2009 04:30:39",0.00
"Jul 13 2009 04:30:40",0.00
"Jul 13 2009 04:30:41",0.00
"Jul 13 2009 04:30:43",0.00
"Jul 13 2009 04:30:44",0.00
"Jul 13 2009 04:30:45",0.00
"Jul 13 2009 04:30:46",0.00
"Jul 13 2009 04:30:47",24.00
"Jul 13 2009 04:30:48",0.00
"Jul 13 2009 04:30:49",0.00
"Jul 13 2009 04:30:50",0.00
"Jul 13 2009 04:30:51",0.00
"Jul 13 2009 04:30:52",0.00
"Jul 13 2009 04:30:53",0.00
"Jul 13 2009 04:30:54",0.00
"Jul 13 2009 04:30:55",11.00
"Jul 13 2009 04:30:57",0.00
"Jul 13 2009 04:30:58",0.00
"Jul 13 2009 04:30:59",0.00
"Jul 13 2009 04:31:00",0.00
"Jul 13 2009 04:31:01",0.00
"Jul 13 2009 04:31:02",0.00
"Jul 13 2009 04:31:03",0.00
"Jul 13 2009 04:31:04",0.00
"Jul 13 2009 04:31:05",0.00
"Jul 13 2009 04:31:06",0.00
"Jul 13 2009 04:31:07",24.00
"Jul 13 2009 04:31:08",0.00
"Jul 13 2009 04:31:10",21.00
"Jul 13 2009 04:31:11",0.00
"Jul 13 2009 04:31:12",0.00
"Jul 13 2009 04:31:13",0.00
"Jul 13 2009 04:31:14",11.00
"Jul 13 2009 04:31:15",0.00
"Jul 13 2009 04:31:16",0.00
"Jul 13 2009 04:31:17",0.00
"Jul 13 2009 04:31:18",0.00
"Jul 13 2009 04:31:19",0.00
"Jul 13 2009 04:31:20",0.00
"Jul 13 2009 04:31:21",0.00
"Jul 13 2009 04:31:23",0.00
"Jul 13 2009 04:31:24",0.00
"Jul 13 2009 04:31:25",0.00
"Jul 13 2009 04:31:26",0.00
"Jul 13 2009 04:31:27",3.00
"Jul 13 2009 04:31:28",0.00
"Jul 13 2009 04:31:29",0.00
"Jul 13 2009 04:31:30",0.00
"Jul 13 2009 04:31:31",0.00
"Jul 13 2009 04:31:32",0.00
"Jul 13 2009 04:31:33",0.00
"Jul 13 2009 04:31:34",28.00
"Jul 13 2009 04:31:35",0.00
"Jul 13 2009 04:31:37",0.00
"Jul 13 2009 04:31:38",0.00
"Jul 13 2009 04:31:39",0.00
"Jul 13 2009 04:31:40",0.00
"Jul 13 2009 04:31:41",0.00
"Jul 13 2009 04:31:42",0.00
"Jul 13 2009 04:31:43",0.00
"Jul 13 2009 04:31:44",0.00
"Jul 13 2009 04:31:45",0.00
"Jul 13 2009 04:31:46",12.00
"Jul 13 2009 04:31:47",0.00
"Jul 13 2009 04:31:48",0.00
"Jul 13 2009 04:31:50",0.00
"Jul 13 2009 04:31:51",16.00
"Jul 13 2009 04:31:52",0.00
"Jul 13 2009 04:31:53",1.00
"Jul 13 2009 04:31:54",0.00
"Jul 13 2009 04:31:55",0.00
"Jul 13 2009 04:31:56",0.00
"Jul 13 2009 04:31:57",0.00
"Jul 13 2009 04:31:58",0.00
"Jul 13 2009 04:31:59",0.00
"Jul 13 2009 04:32:00",0.00
