time,latitude,longitude,light,acceleration,altitude,pedometer
04/08/2010 10:25:29,,,274.37,0.94, ,0
04/08/2010 10:25:30,,,257.66,0.94, ,0
04/08/2010 10:25:32,,,300.08,0.98, ,0
04/08/2010 10:25:33,,,305.54,0.98, ,0
04/08/2010 10:25:34,,,325.43,1.02, ,0
04/08/2010 10:25:35,,,337.98,0.98, ,0
04/08/2010 10:25:36,,,323.63,0.98, ,0
04/08/2010 10:25:38,,,332.61,0.98, ,0
04/08/2010 10:25:39,,,330.82,1.02, ,0
04/08/2010 10:25:40,,,334.40,1.02, ,0
04/08/2010 10:25:41,,,323.63,1.02, ,0
04/08/2010 10:25:42,,,334.40,1.02, ,0
04/08/2010 10:25:44,,,332.61,0.98, ,0
04/08/2010 10:25:45,,,318.22,1.02, ,0
04/08/2010 10:25:46,,,320.03,0.98, ,0
04/08/2010 10:25:47,,,307.36,0.98, ,0
04/08/2010 10:25:48,,,305.54,0.98, ,0
04/08/2010 10:25:50,,,312.80,0.98, ,0
04/08/2010 10:25:51,,,312.80,0.98, ,0
04/08/2010 10:25:52,,,310.99,0.98, ,0
04/08/2010 10:25:53,,,312.80,0.98, ,0
04/08/2010 10:25:54,,,312.80,1.02, ,0
04/08/2010 10:25:56,,,309.17,0.98, ,0
04/08/2010 10:25:57,,,312.80,0.98, ,0
04/08/2010 10:25:58,,,305.54,1.02, ,0
04/08/2010 10:25:59,,,309.17,0.98, ,0
04/08/2010 10:26:00,,,309.17,0.98, ,0
04/08/2010 10:26:02,,,309.17,1.02, ,0
04/08/2010 10:26:03,,,314.61,0.98, ,0
04/08/2010 10:26:04,,,314.61,0.98, ,0
04/08/2010 10:26:05,,,318.22,1.02, ,0
04/08/2010 10:26:06,,,321.83,0.98, ,0
04/08/2010 10:26:08,,,321.83,0.98, ,0
04/08/2010 10:26:09,,,321.83,0.98, ,0
04/08/2010 10:26:10,,,323.63,0.98, ,0
04/08/2010 10:26:11,,,318.22,0.98, ,0
04/08/2010 10:26:12,,,329.03,0.98, ,0
04/08/2010 10:26:14,,,329.03,0.98, ,0
04/08/2010 10:26:15,,,330.82,1.02, ,0
04/08/2010 10:26:16,,,345.11,1.02, ,0
04/08/2010 10:26:17,,,350.43,0.98, ,0
04/08/2010 10:26:18,,,355.75,0.98, ,0
04/08/2010 10:26:20,,,346.88,1.02, ,0
04/08/2010 10:26:21,42.787388,-71.10709,352.21,0.98,27,0
04/08/2010 10:26:22,42.787388,-71.10709,346.88,0.98,1,0
04/08/2010 10:26:24,42.787388,-71.10709,352.21,1.02,9,0
04/08/2010 10:26:25,42.787388,-71.10709,345.11,1.02,13,0
04/08/2010 10:26:26,42.787388,-71.10709,352.21,0.98,22,0
04/08/2010 10:26:27,42.787388,-71.10709,327.23,1.02,30,0
04/08/2010 10:26:28,42.787403,-71.10709,334.40,1.02,37,0
04/08/2010 10:26:30,42.787403,-71.10711,341.55,1.02,41,0
04/08/2010 10:26:31,42.787403,-71.10711,348.66,0.98,41,0
04/08/2010 10:26:32,42.787403,-71.10711,334.40,1.02,41,0
04/08/2010 10:26:33,42.787403,-71.10711,339.76,1.02,52,0
04/08/2010 10:26:34,42.787403,-71.10711,341.55,0.98,55,0
04/08/2010 10:26:36,42.787403,-71.10711,345.11,0.98,58,0
04/08/2010 10:26:37,42.787403,-71.10711,339.76,0.98,62,0
04/08/2010 10:26:38,42.787403,-71.10711,339.76,0.98,62,0
04/08/2010 10:26:39,42.787403,-71.10711,341.55,0.98,62,0
04/08/2010 10:26:40,42.787403,-71.10711,345.11,1.02,65,0
04/08/2010 10:26:42,42.787403,-71.10711,341.55,0.98,68,0
04/08/2010 10:26:43,42.787403,-71.10711,339.76,1.02,70,0
04/08/2010 10:26:44,42.787403,-71.10711,339.76,1.02,68,0
04/08/2010 10:26:45,42.787403,-71.10711,334.40,0.98,68,0
04/08/2010 10:26:46,42.787388,-71.10711,345.11,0.98,70,0
04/08/2010 10:26:48,42.787388,-71.10714,321.83,1.02,71,0
04/08/2010 10:26:49,42.787388,-71.10714,316.42,0.98,71,0
04/08/2010 10:26:50,42.787388,-71.10714,307.36,0.98,72,0
04/08/2010 10:26:51,,,223.80,0.98, ,0
04/08/2010 10:26:52,42.787388,-71.10714,202.82,0.98,74,0
04/08/2010 10:26:54,42.787388,-71.10714,148.43,1.02,74,0
04/08/2010 10:26:55,42.787388,-71.10714,303.72,0.94,73,0
04/08/2010 10:26:56,42.787388,-71.10714,276.22,1.02,72,1
04/08/2010 10:26:57,42.787388,-71.10714,250.19,0.98,69,0
04/08/2010 10:26:58,42.787388,-71.10714,94.65,0.98,68,0
04/08/2010 10:27:00,42.78737,-71.10714,53.97,1.02,68,0
04/08/2010 10:27:01,,,58.07,1.05, ,0
04/08/2010 10:27:02,42.787388,-71.10714,39.56,1.02,67,1
04/08/2010 10:27:03,42.787388,-71.10714,60.11,0.94,66,1
04/08/2010 10:27:04,42.78737,-71.10714,45.74,1.02,66,1
04/08/2010 10:27:05,42.78737,-71.10714,2.10,1.02,65,1
04/08/2010 10:27:07,42.78737,-71.10714,14.65,0.98,65,1
04/08/2010 10:27:08,42.787354,-71.107155,29.21,0.98,66,0
04/08/2010 10:27:09,42.787354,-71.107155,10.47,0.98,66,0
04/08/2010 10:27:10,42.78734,-71.107155,2.10,0.98,65,0
04/08/2010 10:27:12,42.78731,-71.107155,8.38,1.02,66,0
04/08/2010 10:27:13,42.78731,-71.107155,10.47,0.98,67,0
04/08/2010 10:27:14,42.78731,-71.107155,12.56,0.98,68,1
04/08/2010 10:27:15,42.78731,-71.107155,14.65,1.02,69,0
04/08/2010 10:27:16,42.78731,-71.107155,14.65,0.98,68,0
04/08/2010 10:27:17,,,10.47,1.02, ,0
04/08/2010 10:27:19,42.78731,-71.107155,10.47,1.02,68,0
04/08/2010 10:27:20,42.787296,-71.107155,12.56,0.98,69,0
04/08/2010 10:27:21,42.78731,-71.10714,8.38,0.98,67,0
04/08/2010 10:27:22,42.78731,-71.10711,6.29,0.98,65,0
04/08/2010 10:27:23,42.78731,-71.10711,8.38,0.98,65,0
04/08/2010 10:27:25,42.78731,-71.10711,12.56,0.98,64,0
04/08/2010 10:27:26,42.78731,-71.10709,18.82,0.98,63,0
04/08/2010 10:27:27,42.78734,-71.10709,14.65,0.98,62,0
04/08/2010 10:27:28,42.78734,-71.10709,20.90,0.98,61,0
04/08/2010 10:27:29,42.78734,-71.10709,27.13,1.02,60,0
04/08/2010 10:27:31,42.78734,-71.10708,18.82,0.98,59,0
04/08/2010 10:27:32,42.78734,-71.10708,12.56,1.02,59,0
04/08/2010 10:27:33,42.78734,-71.10708,14.65,1.02,59,0
04/08/2010 10:27:34,42.78734,-71.10708,22.98,1.02,58,0
04/08/2010 10:27:35,42.78734,-71.10708,27.13,0.98,58,0
04/08/2010 10:27:37,42.78734,-71.10708,25.06,0.98,58,0
04/08/2010 10:27:38,42.78734,-71.10708,18.82,1.02,58,0
04/08/2010 10:27:39,42.78734,-71.10708,18.82,0.98,58,0
04/08/2010 10:27:40,42.78734,-71.10709,16.73,1.02,60,0
04/08/2010 10:27:41,42.78734,-71.10709,18.82,0.98,60,0
04/08/2010 10:27:43,42.78734,-71.10709,20.90,1.02,60,0
04/08/2010 10:27:44,42.78734,-71.10709,18.82,0.98,61,0
04/08/2010 10:27:45,42.78734,-71.10709,16.73,1.02,61,0
04/08/2010 10:27:46,42.78734,-71.10709,18.82,1.02,61,0
