time,light
"10/28/2006 18:59:58",314.61
"10/28/2006 19:00:02",316.42
"10/28/2006 19:00:03",316.42
"10/28/2006 19:00:04",298.25
"10/28/2006 19:00:05",4.19
"10/28/2006 19:00:06",4.19
"10/28/2006 19:00:08",301.90
"10/28/2006 19:00:09",276.22
"10/28/2006 19:00:10",158.25
"10/28/2006 19:00:11",4.19
"10/28/2006 19:00:12",289.10
"10/28/2006 19:00:13",274.37
"10/28/2006 19:00:14",154.33
"10/28/2006 19:00:15",6.29
"10/28/2006 19:00:16",292.77
"10/28/2006 19:00:17",292.77
"10/28/2006 19:00:18",0.00
"10/28/2006 19:00:19",237.04
"10/28/2006 19:00:21",298.25
"10/28/2006 19:00:22",300.08
"10/28/2006 19:00:23",4.19
"10/28/2006 19:00:24",309.17
"10/28/2006 19:00:25",298.25
"10/28/2006 19:00:26",179.68
"10/28/2006 19:00:27",80.49
"10/28/2006 19:00:28",276.22
"10/28/2006 19:00:29",244.56
"10/28/2006 19:00:30",229.48
"10/28/2006 19:00:31",252.06
"10/28/2006 19:00:32",255.79
"10/28/2006 19:00:34",287.27
"10/28/2006 19:00:35",289.10
"10/28/2006 19:00:36",300.08
"10/28/2006 19:00:37",287.27
"10/28/2006 19:00:38",290.94
"10/28/2006 19:00:39",235.15
"10/28/2006 19:00:40",237.04
"10/28/2006 19:00:41",231.37
"10/28/2006 19:00:42",227.59
"10/28/2006 19:00:43",225.69
"10/28/2006 19:00:44",227.59
"10/28/2006 19:00:45",231.37
"10/28/2006 19:00:47",255.79
"10/28/2006 19:00:48",294.60
"10/28/2006 19:00:49",289.10
