time,latitude,longitude,light,temperature,sound,acceleration
"3/30/2128 20:00:00",,,1042.30,25.08,0,1.02
"10/29/2009 10:24:31",,,1043.11,25.08,0,1.02
"10/29/2009 10:25:36",,,1044.72,25.08,0,1.02
"10/29/2009 10:26:41",,,1047.12,25.08,0,1.02
"10/29/2009 10:27:46",,,1047.92,25.40,0,1.02
"10/29/2009 10:28:51",,,1050.30,25.08,0,1.02
"10/29/2009 10:29:56",,,1049.51,25.40,0,1.02
"10/29/2009 10:31:02",,,1049.51,25.40,0,1.02
"10/29/2009 10:32:07",,,1049.51,25.40,0,1.02
"10/29/2009 10:33:13",,,1049.51,25.40,0,1.02
"10/29/2009 10:34:18",,,1049.51,25.40,0,1.02
"10/29/2009 10:35:24",,,1046.32,25.40,0,1.02
"10/29/2009 10:36:29",,,1046.32,25.40,0,1.02
"10/29/2009 10:37:33",,,1043.11,25.40,0,1.02
"10/29/2009 10:38:38",,,1042.30,25.40,0,1.02
"10/29/2009 10:39:43",,,1039.05,25.72,0,1.02
"10/29/2009 10:40:48",,,1038.24,25.72,0,1.02
"10/29/2009 10:41:53",,,1037.42,25.40,0,1.02
"10/29/2009 10:42:59",,,1041.49,25.40,0,1.02
"10/29/2009 10:44:04",,,1043.92,25.40,0,1.02
"10/29/2009 10:45:10",,,1043.92,25.40,0,1.02
"10/29/2009 10:46:16",,,1044.72,25.40,0,1.02
"10/29/2009 10:47:22",,,1044.72,25.40,0,1.02
"10/29/2009 10:48:27",,,1043.92,25.08,0,1.02
"10/29/2009 10:49:32",,,1043.11,25.08,0,1.02
"10/29/2009 10:50:37",,,1041.49,24.76,0,1.02
"10/29/2009 10:51:42",,,1040.68,24.76,0,1.02
"10/29/2009 10:52:47",,,1040.68,25.08,0,1.02
"10/29/2009 10:53:52",,,1043.11,24.76,0,1.02
"10/29/2009 10:54:58",,,1044.72,25.08,0,1.02
"10/29/2009 10:56:04",,,1043.92,24.76,0,1.02
"10/29/2009 10:57:10",,,1044.72,25.08,0,1.02
"10/29/2009 10:58:16",,,1041.49,24.76,0,1.02
"10/29/2009 10:59:22",,,1039.05,24.76,0,1.02
"10/29/2009 11:00:27",,,1035.78,24.76,0,1.02
"10/29/2009 11:01:32",,,1036.60,24.76,0,1.02
"10/29/2009 11:02:36",,,1036.60,24.76,0,1.02
"10/29/2009 11:03:41",,,1034.13,24.76,0,1.02
"10/29/2009 11:04:46",,,1027.46,24.76,0,1.02
"10/29/2009 11:05:52",,,1032.47,24.76,0,1.02
"10/29/2009 11:06:58",,,1038.24,24.76,0,1.02
"10/29/2009 11:08:04",,,1039.05,24.76,0,1.02
"10/29/2009 11:09:10",,,1038.24,24.76,0,1.02
"10/29/2009 11:10:16",,,1039.87,24.76,0,1.02
"10/29/2009 11:11:22",,,1042.30,24.76,0,1.02
"10/29/2009 11:12:27",,,1042.30,24.76,0,1.02
"10/29/2009 11:13:31",,,1040.68,24.76,0,1.02
"10/29/2009 11:14:36",,,1040.68,24.76,0,1.02
"10/29/2009 11:15:41",,,1041.49,24.76,0,1.02
"10/29/2009 11:16:46",,,1039.87,24.76,0,1.02
"10/29/2009 11:17:51",,,1035.78,24.76,0,1.02
"10/29/2009 11:18:57",,,1030.81,24.76,0,1.02
"10/29/2009 11:20:03",,,1024.93,24.76,0,1.02
"10/29/2009 11:21:09",,,1009.41,24.43,0,1.02
"10/29/2009 11:22:15",,,1004.10,24.43,0,1.02
"10/29/2009 11:23:21",,,1012.03,24.43,0,1.02
"10/29/2009 11:24:26",,,990.56,24.43,0,1.02
"10/29/2009 11:25:31",,,798.92,24.43,0,1.02
"10/29/2009 11:26:37",,,797.69,24.43,0,1.02
"10/29/2009 11:27:43",,,753.23,24.11,0,1.02
"3/30/2128 20:00:00",,,873.27,23.79,0,1.02
"10/29/2009 11:30:27",,,872.15,23.79,0,1.02
"10/29/2009 11:31:30",,,869.89,23.79,0,1.02
"10/29/2009 11:32:34",,,872.15,23.47,0,1.02
"10/29/2009 11:33:38",,,872.15,23.47,0,1.02
"10/29/2009 11:34:42",,,878.86,23.14,0,1.02
"10/29/2009 11:35:46",,,905.09,23.47,0,1.02
"10/29/2009 11:36:51",,,911.49,23.14,0,1.02
"10/29/2009 11:37:56",,,889.92,23.14,0,1.02
"10/29/2009 11:39:01",,,867.63,23.14,0,1.02
"10/29/2009 11:40:06",,,865.36,23.14,0,1.02
"10/29/2009 11:41:11",,,859.66,23.14,0,1.02
"10/29/2009 11:42:15",,,857.37,23.14,0,1.02
"10/29/2009 11:43:19",,,855.07,22.82,0,1.02
"10/29/2009 11:44:23",,,853.91,22.82,0,1.02
"10/29/2009 11:45:27",,,851.60,22.82,0,1.02
"10/29/2009 11:46:31",,,849.28,22.82,0,1.02
"10/29/2009 11:47:35",,,849.28,22.82,0,1.02
"10/29/2009 11:48:40",,,855.07,22.82,0,1.02
"10/29/2009 11:49:45",,,849.28,22.82,0,1.02
"10/29/2009 11:50:50",,,844.62,22.82,0,1.02
"10/29/2009 11:51:55",,,841.11,22.82,0,1.02
"10/29/2009 11:53:00",,,837.58,22.82,0,1.02
"10/29/2009 11:54:04",,,837.58,22.82,0,1.02
