time,acceleration,light,temperature,sound,"cricket temperature probe"
"4/7/2000 21:02:36",0.00,812.42,20.24,0,18.0992
"3/30/2128 20:00:00",0.90,811.20,20.24,0,18.0992
"3/30/2128 20:00:00",0.86,811.20,20.24,0,17.98675
"3/30/2128 20:00:00",0.86,811.20,20.24,0,18.0992
"3/30/2128 20:00:00",0.98,812.42,20.24,0,18.21165
"3/30/2128 20:00:00",0.94,813.64,20.24,0,18.43655
"3/30/2128 20:00:00",0.98,812.42,19.92,0,18.5490
"3/30/2128 20:00:00",0.90,813.64,19.92,0,18.66145
"3/30/2128 20:00:00",0.86,806.31,19.92,0,18.66145
"3/30/2128 20:00:00",0.94,807.54,19.92,0,18.7739
"3/30/2128 20:00:00",0.94,812.42,19.92,0,18.7739
"4/7/2000 21:02:36",0.00,812.42,20.24,0,18.0992
"3/30/2128 20:00:00",0.90,811.20,20.24,0,18.0992
"3/30/2128 20:00:00",0.86,811.20,20.24,0,17.98675
"3/30/2128 20:00:00",0.86,811.20,20.24,0,18.0992
"3/30/2128 20:00:00",0.98,812.42,20.24,0,18.21165
"3/30/2128 20:00:00",0.94,813.64,20.24,0,18.43655
"3/30/2128 20:00:00",0.98,812.42,19.92,0,18.5490
"3/30/2128 20:00:00",0.90,813.64,19.92,0,18.66145
"3/30/2128 20:00:00",0.86,806.31,19.92,0,18.66145
"3/30/2128 20:00:00",0.94,807.54,19.92,0,18.7739
"3/30/2128 20:00:00",0.94,812.42,19.92,0,18.7739
"4/7/2000 20:03:38",0.00,807.54,19.60,1,16.7498
"3/30/2128 20:00:00",0.98,811.20,19.60,0,16.5249
"3/30/2128 20:00:00",0.86,812.42,19.28,0,16.18755
"3/30/2128 20:00:00",0.82,812.42,19.28,0,15.96265
"3/30/2128 20:00:00",1.05,812.42,19.28,0,15.73775
"3/30/2128 20:00:00",0.86,812.42,19.28,0,15.51285
"3/30/2128 20:00:00",0.90,811.20,18.96,0,15.28795
"3/30/2128 20:00:00",1.41,809.98,18.96,0,15.06305
"3/30/2128 20:00:00",1.33,808.76,18.96,0,15.06305
"3/30/2128 20:00:00",0.94,807.54,18.96,0,14.9506
"3/30/2128 20:00:00",0.70,806.31,18.96,0,14.7257
"4/7/2000 20:03:38",0.00,807.54,19.60,1,16.7498
"3/30/2128 20:00:00",0.98,811.20,19.60,0,16.5249
"3/30/2128 20:00:00",0.86,812.42,19.28,0,16.18755
"3/30/2128 20:00:00",0.82,812.42,19.28,0,15.96265
"3/30/2128 20:00:00",1.05,812.42,19.28,0,15.73775
"3/30/2128 20:00:00",0.86,812.42,19.28,0,15.51285
"3/30/2128 20:00:00",0.90,811.20,18.96,0,15.28795
"3/30/2128 20:00:00",1.41,809.98,18.96,0,15.06305
"3/30/2128 20:00:00",1.33,808.76,18.96,0,15.06305
"3/30/2128 20:00:00",0.94,807.54,18.96,0,14.9506
"3/30/2128 20:00:00",0.70,806.31,18.96,0,14.7257
"4/7/2000 20:04:04",0.00,795.21,18.31,0,13.1514
"3/30/2128 20:00:00",0.78,795.21,18.31,0,13.03895
"3/30/2128 20:00:00",0.74,796.45,18.31,0,12.9265
"3/30/2128 20:00:00",1.05,798.92,18.31,0,12.81405
"3/30/2128 20:00:00",0.98,800.16,18.31,0,12.7016
"3/30/2128 20:00:00",0.90,803.86,18.31,0,12.58915
"3/30/2128 20:00:00",0.86,805.09,18.31,0,12.4767
"3/30/2128 20:00:00",1.17,807.54,17.99,0,12.36425
"3/30/2128 20:00:00",0.82,809.98,17.99,0,12.2518
"3/30/2128 20:00:00",0.86,807.54,17.99,1,12.2518
"3/30/2128 20:00:00",0.78,806.31,17.99,0,12.2518
"4/7/2000 20:04:04",0.00,795.21,18.31,0,13.1514
"3/30/2128 20:00:00",0.78,795.21,18.31,0,13.03895
"3/30/2128 20:00:00",0.74,796.45,18.31,0,12.9265
"3/30/2128 20:00:00",1.05,798.92,18.31,0,12.81405
"3/30/2128 20:00:00",0.98,800.16,18.31,0,12.7016
"3/30/2128 20:00:00",0.90,803.86,18.31,0,12.58915
"3/30/2128 20:00:00",0.86,805.09,18.31,0,12.4767
"3/30/2128 20:00:00",1.17,807.54,17.99,0,12.36425
"3/30/2128 20:00:00",0.82,809.98,17.99,0,12.2518
"3/30/2128 20:00:00",0.86,807.54,17.99,1,12.2518
"3/30/2128 20:00:00",0.78,806.31,17.99,0,12.2518
"4/7/2000 20:04:20",0.00,801.39,17.67,0,11.5771
"3/30/2128 20:00:00",0.74,809.98,17.67,0,11.5771
"3/30/2128 20:00:00",1.05,823.30,17.67,0,11.5771
"3/30/2128 20:00:00",1.09,783.95,17.67,0,11.46465
"3/30/2128 20:00:00",0.62,763.59,17.67,0,11.3522
"3/30/2128 20:00:00",0.94,768.72,17.67,0,11.3522
"3/30/2128 20:00:00",1.05,766.16,17.67,0,11.23975
"3/30/2128 20:00:00",1.21,768.72,17.67,0,11.23975
"3/30/2128 20:00:00",0.86,761.01,17.67,0,11.1273
"3/30/2128 20:00:00",0.70,758.42,17.34,0,11.1273
"3/30/2128 20:00:00",0.70,771.28,17.34,0,11.01485
"4/7/2000 20:04:20",0.00,801.39,17.67,0,11.5771
"3/30/2128 20:00:00",0.74,809.98,17.67,0,11.5771
"3/30/2128 20:00:00",1.05,823.30,17.67,0,11.5771
"3/30/2128 20:00:00",1.09,783.95,17.67,0,11.46465
"3/30/2128 20:00:00",0.62,763.59,17.67,0,11.3522
"3/30/2128 20:00:00",0.94,768.72,17.67,0,11.3522
"3/30/2128 20:00:00",1.05,766.16,17.67,0,11.23975
"3/30/2128 20:00:00",1.21,768.72,17.67,0,11.23975
"3/30/2128 20:00:00",0.86,761.01,17.67,0,11.1273
"3/30/2128 20:00:00",0.70,758.42,17.34,0,11.1273
"3/30/2128 20:00:00",0.70,771.28,17.34,0,11.01485
"4/7/2000 20:03:08",0.00,772.55,17.02,0,10.6775
"3/30/2128 20:00:00",0.86,775.10,17.02,0,10.56505
"3/30/2128 20:00:00",1.17,775.10,17.02,0,10.56505
"3/30/2128 20:00:00",0.90,829.28,15.41,0,14.7257
"3/30/2128 20:00:00",1.25,829.28,15.73,0,14.7257
"3/30/2128 20:00:00",1.25,831.66,15.41,0,14.61325
"3/30/2128 20:00:00",0.78,830.47,15.41,0,14.7257
"3/30/2128 20:00:00",0.74,831.66,15.73,0,14.7257
"3/30/2128 20:00:00",0.66,831.66,15.73,0,14.61325
"3/30/2128 20:00:00",0.78,832.85,15.41,0,14.7257
"3/30/2128 20:00:00",1.25,831.66,15.73,0,14.7257
"4/7/2000 20:03:08",0.00,772.55,17.02,0,10.6775
"3/30/2128 20:00:00",0.86,775.10,17.02,0,10.56505
"3/30/2128 20:00:00",1.17,775.10,17.02,0,10.56505
"3/30/2128 20:00:00",0.90,829.28,15.41,0,14.7257
"3/30/2128 20:00:00",1.25,829.28,15.73,0,14.7257
"3/30/2128 20:00:00",1.25,831.66,15.41,0,14.61325
"3/30/2128 20:00:00",0.78,830.47,15.41,0,14.7257
"3/30/2128 20:00:00",0.74,831.66,15.73,0,14.7257
"3/30/2128 20:00:00",0.66,831.66,15.73,0,14.61325
"3/30/2128 20:00:00",0.78,832.85,15.41,0,14.7257
"3/30/2128 20:00:00",1.25,831.66,15.73,0,14.7257
"4/7/2000 20:02:44",0.00,818.48,15.73,0,14.9506
"3/30/2128 20:00:00",0.90,797.69,15.73,0,15.06305
"3/30/2128 20:00:00",1.37,796.45,15.73,2,14.83815
"3/30/2128 20:00:00",0.70,797.69,15.73,0,14.7257
"3/30/2128 20:00:00",1.29,802.63,15.73,1,14.61325
