time,latitude,longitude,acceleration,"count type",pedometer
"10/28/2006 19:01:00",,,0.82,89,10
"10/28/2006 19:02:06",,,0.98,90,0
"10/28/2006 19:03:12",,,0.66,96,0
"10/28/2006 19:04:17",,,2.19,141,0
"10/28/2006 19:05:23",,,1.48,149,0
"10/28/2006 19:06:29",,,0.90,150,0
"10/28/2006 19:07:34",,,0.90,143,85
"10/28/2006 19:08:40",,,1.05,159,7
"10/28/2006 19:09:46",,,1.02,128,8
"10/28/2006 19:10:51",,,0.59,126,42
"10/28/2006 19:11:57",,,1.37,129,39
"10/28/2006 19:13:03",,,0.62,120,24
"10/28/2006 19:14:08",,,1.09,127,44
"10/28/2006 19:15:14",,,0.90,117,131
"10/28/2006 19:16:20",,,0.82,131,137
"10/28/2006 19:17:25",,,1.05,120,145
"10/28/2006 19:18:31",,,0.66,101,36
"10/28/2006 19:19:37",,,1.02,123,4
