time,light,"temperature probe"
"11/5/2009 14:51:35",142.52,18.0992
"11/5/2009 14:51:36",146.46,17.8743
"11/5/2009 14:51:37",132.63,17.6494
"11/5/2009 14:51:38",86.57,14.61325
"11/5/2009 14:51:39",146.46,11.68955
"11/5/2009 14:51:40",120.71,11.01485
"11/5/2009 14:51:42",116.72,10.34015
"11/5/2009 14:51:43",175.80,10.11525
"11/5/2009 14:51:44",187.42,9.89035
"11/5/2009 14:51:45",193.21,9.66545
"11/5/2009 14:51:46",191.28,9.5530
"11/5/2009 14:51:47",191.28,9.3281
"11/5/2009 14:51:48",202.82,9.21565
"11/5/2009 14:51:49",216.19,9.1032
"11/5/2009 14:51:50",216.19,9.1032
"11/5/2009 14:51:51",212.38,8.99075
"11/5/2009 14:51:52",218.10,8.99075
"11/5/2009 14:51:53",216.19,8.8783
"11/5/2009 14:51:54",218.10,8.8783
"11/5/2009 14:51:55",216.19,8.8783
"11/5/2009 14:51:56",210.47,8.76585
"11/5/2009 14:51:58",214.29,8.76585
"11/5/2009 14:51:59",210.47,8.76585
"11/5/2009 14:52:00",218.10,8.76585
"11/5/2009 14:52:01",216.19,8.6534
"11/5/2009 14:52:02",216.19,8.6534
"11/5/2009 14:52:03",218.10,8.6534
"11/5/2009 14:52:04",220.00,8.6534
"11/5/2009 14:52:05",220.00,8.6534
"11/5/2009 14:52:06",216.19,8.6534
"11/5/2009 14:52:07",220.00,8.6534
"11/5/2009 14:52:08",221.90,8.54095
"11/5/2009 14:52:09",218.10,8.54095
"11/5/2009 14:52:10",216.19,8.54095
"11/5/2009 14:52:11",221.90,8.54095
"11/5/2009 14:52:12",218.10,8.54095
"11/5/2009 14:52:13",216.19,8.54095
"11/5/2009 14:52:15",221.90,8.54095
"11/5/2009 14:52:16",218.10,8.54095
"11/5/2009 14:52:17",210.47,8.54095
"11/5/2009 14:52:18",214.29,8.54095
"11/5/2009 14:52:19",221.90,8.54095
"11/5/2009 14:52:20",218.10,8.54095
"11/5/2009 14:52:21",214.29,8.4285
"11/5/2009 14:52:22",218.10,8.4285
"11/5/2009 14:52:23",216.19,8.4285
"11/5/2009 14:52:24",221.90,8.4285
"11/5/2009 14:52:25",220.00,8.4285
"11/5/2009 14:52:26",212.38,8.4285
"11/5/2009 14:52:27",220.00,8.4285
"11/5/2009 14:52:28",216.19,8.4285
"11/5/2009 14:52:29",216.19,8.4285
"11/5/2009 14:52:31",216.19,8.4285
"11/5/2009 14:52:32",220.00,8.4285
"11/5/2009 14:52:33",214.29,8.4285
"11/5/2009 14:52:34",221.90,8.4285
"11/5/2009 14:52:35",218.10,8.4285
"11/5/2009 14:52:36",220.00,8.4285
"11/5/2009 14:52:37",218.10,8.4285
"11/5/2009 14:52:38",220.00,8.4285
"11/5/2009 14:52:39",218.10,8.31605
"11/5/2009 14:52:40",216.19,8.4285
"11/5/2009 14:52:41",223.80,8.31605
"11/5/2009 14:52:42",216.19,8.31605
"11/5/2009 14:52:43",216.19,8.31605
"11/5/2009 14:52:44",221.90,8.31605
"11/5/2009 14:52:45",216.19,8.31605
"11/5/2009 14:52:47",214.29,8.31605
"11/5/2009 14:52:48",223.80,8.31605
"11/5/2009 14:52:49",212.38,8.31605
"11/5/2009 14:52:50",216.19,8.31605
"11/5/2009 14:52:51",216.19,8.31605
"11/5/2009 14:52:52",216.19,8.31605
"11/5/2009 14:52:53",218.10,8.31605
"11/5/2009 14:52:54",212.38,8.4285
