time,analog
0,461
1,433
2,420
3,411
4,406
5,402
6,398
7,393
8,388
9,384
10,381
11,378
12,375
13,373
14,371
15,370
16,368
17,367
18,365
19,364
20,362
21,361
22,360
23,359
24,358
25,356
26,355
27,354
28,353
29,352
30,351
31,350
32,349
33,348
34,347
35,346
36,346
37,345
38,344
39,344
40,343
41,342
42,341
43,341
44,340
45,340
46,339
47,339
48,338
49,338
50,337
51,337
52,336
53,336
54,336
55,336
56,335
57,335
58,335
59,334
60,334
61,334
62,334
63,334
64,334
65,333
66,333
67,333
68,333
69,333
70,333
71,333
72,332
73,332
74,332
75,332
76,332
77,332
78,332
79,332
80,332
81,332
82,332
83,332
84,332
85,332
86,331
87,332
88,332
89,331
90,332
91,332
92,332
93,332
94,332
95,332
96,332
97,332
98,332
99,332
100,332
101,332
102,332
103,332
104,332
105,332
106,332
107,333
108,333
109,333
110,333
111,333
112,333
113,333
114,333
115,333
116,334
117,334
118,334
119,334
120,334
121,334
122,334
123,334
124,335
125,335
126,335
127,335
128,335
129,335
130,335
131,336
132,336
133,336
134,336
135,336
136,336
137,336
138,336
139,337
140,337
141,337
142,337
143,338
144,337
145,338
146,338
147,338
148,338
149,338
150,339
151,339
152,339
153,339
154,339
155,339
156,340
157,340
158,340
159,340
160,340
161,340
162,340
163,340
164,341
165,341
166,341
167,341
168,341
169,342
170,342
171,342
172,342
173,343
174,342
175,343
176,343
177,343
178,343
179,344
180,344
181,344
182,344
183,344
184,344
185,344
186,344
187,345
188,345
189,345
190,345
191,345
192,345
193,346
194,346
195,346
196,346
197,346
198,347
199,346
200,347
201,347
202,347
203,347
204,347
205,348
206,348
207,348
208,348
209,348
210,348
211,349
212,348
213,349
214,349
215,349
216,349
217,349
218,350
219,350
220,350
221,350
222,350
223,350
224,350
225,351
226,351
227,351
228,351
229,351
230,351
231,351
232,352
233,352
234,352
235,352
236,352
237,352
238,353
239,353
240,353
241,353
242,353
243,353
244,354
245,354
246,354
247,354
248,354
249,354
250,354
251,354
252,355
253,355
254,355
255,355
256,355
257,355
258,355
259,356
260,356
261,356
262,356
263,357
264,357
265,356
266,357
267,357
268,357
269,357
270,358
271,357
272,358
273,358
274,358
275,358
276,358
277,358
278,358
279,358
280,359
281,359
282,359
283,359
284,359
285,360
286,360
287,360
288,360
289,360
290,360
291,360
292,360
293,361
294,361
295,418
296,419
297,420
298,420
299,408
300,402
301,399
302,396
303,394
304,392
305,390
306,388
307,387
308,387
309,386
310,385
311,385
312,384
313,384
314,384
315,383
316,383
317,383
318,382
319,382
320,382
321,382
322,382
323,382
324,381
325,381
326,381
327,381
328,381
329,381
330,380
331,381
332,380
333,380
334,380
335,380
336,380
337,379
338,380
339,380
340,380
341,380
342,380
343,380
344,380
345,380
346,379
347,379
348,379
349,379
350,379
351,379
352,379
353,379
354,379
355,379
356,379
357,379
358,379
359,379
360,379
361,379
362,379
363,379
364,379
365,379
366,378
367,378
368,378
369,378
370,378
371,378
372,378
373,378
374,377
375,377
376,378
377,378
378,378
379,377
380,377
381,377
382,377
383,381
384,383
385,384
386,385
387,386
388,387
389,387
390,388
391,388
392,389
393,389
394,390
395,390
396,391
397,391
398,391
399,392
400,392
401,392
402,392
403,393
404,393
405,393
406,393
407,394
408,394
409,394
410,394
411,394
412,394
413,394
414,394
415,394
416,394
417,394
418,394
419,394
420,394
421,394
422,394
423,394
424,394
425,394
426,394
427,394
428,394
429,394
430,394
431,393
432,392
433,390
434,389
435,388
436,387
437,386
438,386
439,385
440,384
441,384
442,384
443,384
444,383
445,383
446,383
447,383
448,382
449,383
450,382
451,382
452,382
453,382
454,382
455,382
456,382
457,382
458,381
459,381
460,381
461,382
462,381
463,382
464,381
465,381
466,382
467,381
468,381
469,381
470,381
471,382
472,381
473,381
474,382
475,381
476,382
477,382
478,382
479,382
480,382
481,382
482,382
483,382
484,382
485,382
486,382
487,382
488,382
489,382
490,382
491,383
492,383
493,383
494,383
495,383
496,383
497,383
498,383
499,383
500,383
501,383
502,383
503,383
504,383
505,383
506,383
507,383
508,383
509,384
510,384
511,384
512,385
513,385
514,385
515,386
516,386
517,386
518,387
519,387
520,388
521,387
522,388
523,388
524,388
525,389
526,389
527,390
528,389
529,390
530,390
531,390
532,391
533,391
534,391
535,391
536,391
537,392
538,392
539,392
540,392
541,393
542,393
543,393
544,394
545,394
546,394
547,394
548,394
549,394
550,395
551,395
552,395
553,395
554,396
555,396
556,396
557,396
558,396
559,396
560,396
561,397
562,397
563,397
564,397
565,398
566,398
567,398
568,398
569,398
570,398
571,398
572,399
573,399
574,399
575,399
576,400
577,400
578,400
579,400
580,400
581,400
582,400
583,401
584,401
585,401
586,401
587,401
588,401
589,401
590,402
591,402
592,402
593,402
594,402
595,402
596,402
597,403
598,403
599,403
600,403
601,403
602,403
603,404
604,403
605,404
606,404
607,404
608,404
609,404
610,405
611,404
612,405
613,405
614,405
615,405
616,405
617,405
618,405
619,406
620,406
621,406
622,406
623,406
624,405
625,405
626,405
627,405
628,405
629,404
630,404
631,404
632,404
633,404
634,404
635,404
636,404
637,404
638,404
639,404
640,404
641,404
642,404
643,404
644,404
645,404
646,403
647,404
648,404
649,403
650,404
651,404
652,404
653,404
654,404
655,404
656,404
657,404
658,404
659,404
660,404
661,404
662,404
663,404
664,404
665,404
666,404
667,404
668,404
669,404
670,404
671,404
672,404
673,404
674,404
675,404
676,404
677,404
678,404
679,404
680,404
681,404
682,404
683,405
684,405
685,405
686,405
687,405
688,405
689,404
690,405
691,405
692,405
693,405
694,405
695,405
696,405
697,405
698,406
699,405
700,406
701,406
702,406
703,406
704,406
705,406
706,406
707,406
708,406
709,406
710,406
711,406
712,406
713,406
714,406
715,406
716,406
717,407
718,407
719,407
720,407
721,407
722,407
723,407
724,407
725,407
726,407
727,407
728,407
729,407
730,408
731,408
732,408
733,408
734,408
735,408
736,408
737,408
738,408
739,408
740,408
741,408
742,408
743,408
744,408
745,408
746,409
747,409
748,409
749,409
750,409
751,409
752,409
753,409
754,409
755,410
756,409
757,410
758,410
759,409
760,410
761,410
762,410
763,410
764,410
765,410
766,410
767,411
768,410
769,410
770,411
771,411
772,411
773,411
774,411
775,411
776,411
777,411
778,411
779,411
780,411
781,411
782,412
783,411
784,412
785,412
786,411
787,412
788,412
789,412
790,412
791,412
792,412
793,412
794,412
795,412
796,412
797,413
798,413
799,413
800,413
801,413
802,413
803,413
804,413
805,413
806,413
807,413
808,414
809,414
810,413
811,414
812,414
813,414
814,414
815,414
816,414
817,414
818,414
819,414
820,414
821,414
822,414
823,415
824,414
825,415
826,415
827,415
828,415
829,415
830,415
831,415
832,415
833,415
834,415
835,415
836,415
837,415
838,416
839,416
840,416
841,416
842,416
843,416
844,416
845,416
846,416
847,416
848,416
849,417
850,416
851,416
852,416
853,417
854,416
855,417
856,417
857,416
858,417
859,417
860,417
861,417
862,417
863,417
864,417
865,417
866,417
867,418
868,418
869,418
870,417
871,418
872,418
873,418
874,418
875,418
876,418
877,419
878,419
879,419
880,419
881,419
882,419
883,419
884,419
885,419
886,419
887,419
888,419
889,419
890,419
891,419
892,420
893,420
894,420
895,420
896,420
897,420
898,420
899,420
900,420
901,420
902,420
903,421
904,421
905,421
906,421
907,421
908,421
909,421
910,421
911,421
912,421
913,421
914,421
915,421
916,421
917,421
918,421
919,419
920,419
921,419
922,419
923,419
924,422
925,425
926,427
927,429
928,432
929,436
930,439
931,441
932,443
933,443
934,445
935,446
936,446
937,447
938,448
