time,light,pedometer
"11/7/2009 12:19:27",22.98,0
"11/7/2009 12:19:28",16.73,0
"11/7/2009 12:19:29",4.19,0
"11/7/2009 12:19:30",158.25,1
"11/7/2009 12:19:31",265.11,0
"11/7/2009 12:19:32",8.38,2
"11/7/2009 12:19:33",2.10,1
"11/7/2009 12:19:34",238.92,1
"11/7/2009 12:19:35",96.66,1
"11/7/2009 12:19:36",0.00,2
"11/7/2009 12:19:37",31.28,2
"11/7/2009 12:19:38",316.42,2
"11/7/2009 12:19:40",25.06,2
"11/7/2009 12:19:41",4.19,1
"11/7/2009 12:19:42",88.59,2
"11/7/2009 12:19:43",339.76,1
"11/7/2009 12:19:44",20.90,1
"11/7/2009 12:19:45",0.00,1
"11/7/2009 12:19:46",0.00,2
"11/7/2009 12:19:47",150.40,2
"11/7/2009 12:19:48",259.52,1
"11/7/2009 12:19:49",20.90,0
"11/7/2009 12:19:50",2.10,2
"11/7/2009 12:19:51",4.19,1
"11/7/2009 12:19:52",16.73,1
"11/7/2009 12:19:53",6.29,2
"11/7/2009 12:19:55",0.00,1
"11/7/2009 12:19:56",18.82,1
"11/7/2009 12:19:57",204.73,2
"11/7/2009 12:19:58",102.70,0
"11/7/2009 12:19:59",0.00,1
"11/7/2009 12:20:00",0.00,1
"11/7/2009 12:20:01",4.19,1
"11/7/2009 12:20:02",255.79,2
"11/7/2009 12:20:03",156.29,2
"11/7/2009 12:20:04",6.29,2
"11/7/2009 12:20:05",14.65,0
"11/7/2009 12:20:06",144.49,2
"11/7/2009 12:20:07",102.70,2
"11/7/2009 12:20:09",0.00,2
"11/7/2009 12:20:10",16.73,1
"11/7/2009 12:20:11",202.82,1
"11/7/2009 12:20:12",41.62,2
"11/7/2009 12:20:13",0.00,2
"11/7/2009 12:20:14",14.65,2
"11/7/2009 12:20:15",108.72,1
"11/7/2009 12:20:16",82.52,2
"11/7/2009 12:20:17",290.94,1
"11/7/2009 12:20:18",22.98,2
"11/7/2009 12:20:19",2.10,1
"11/7/2009 12:20:20",0.00,2
"11/7/2009 12:20:21",0.00,1
"11/7/2009 12:20:22",0.00,0
"11/7/2009 12:20:24",0.00,1
"11/7/2009 12:20:25",2.10,0
"11/7/2009 12:20:26",8.38,1
"11/7/2009 12:20:27",120.71,1
"11/7/2009 12:20:28",265.11,2
"11/7/2009 12:20:29",60.11,1
"11/7/2009 12:20:30",62.16,2
"11/7/2009 12:20:31",0.00,2
"11/7/2009 12:20:32",6.29,2
"11/7/2009 12:20:33",181.62,2
"11/7/2009 12:20:34",108.72,0
"11/7/2009 12:20:35",0.00,2
"11/7/2009 12:20:36",2.10,2
"11/7/2009 12:20:38",68.29,2
"11/7/2009 12:20:39",122.70,1
"11/7/2009 12:20:40",6.29,2
"11/7/2009 12:20:41",6.29,1
"11/7/2009 12:20:42",108.72,1
"11/7/2009 12:20:43",191.28,0
"11/7/2009 12:20:44",4.19,2
"11/7/2009 12:20:45",0.00,1
"11/7/2009 12:20:46",14.65,1
"11/7/2009 12:20:47",225.69,1
"11/7/2009 12:20:48",718.78,0
"11/7/2009 12:20:49",771.28,0
"11/7/2009 12:20:50",35.42,1
"11/7/2009 12:20:51",2.10,1
"11/7/2009 12:20:53",22.98,1
"11/7/2009 12:20:54",33.35,1
"11/7/2009 12:20:55",8.38,1
"11/7/2009 12:20:56",12.56,1
"11/7/2009 12:20:57",8.38,0
"11/7/2009 12:20:58",8.38,1
"11/7/2009 12:20:59",106.71,0
"11/7/2009 12:21:00",621.46,2
"11/7/2009 12:21:01",489.78,0
"11/7/2009 12:21:02",25.06,2
"11/7/2009 12:21:03",0.00,2
"11/7/2009 12:21:04",4.19,2
"11/7/2009 12:21:05",270.67,1
"11/7/2009 12:21:06",98.68,1
"11/7/2009 12:21:08",14.65,1
"11/7/2009 12:21:09",29.21,1
"11/7/2009 12:21:10",430.10,1
"11/7/2009 12:21:11",742.76,0
"11/7/2009 12:21:12",47.80,2
"11/7/2009 12:21:13",0.00,1
"11/7/2009 12:21:14",22.98,2
"11/7/2009 12:21:15",195.13,2
"11/7/2009 12:21:16",106.71,1
"11/7/2009 12:21:17",10.47,0
"11/7/2009 12:21:18",6.29,0
"11/7/2009 12:21:19",6.29,0
"11/7/2009 12:21:20",2.10,0
"11/7/2009 12:21:22",10.47,0
"11/7/2009 12:21:23",10.47,0
