time,acceleration,light,temperature,sound
"11/7/2009 12:20:06",0.78,22.98,10.90,0
"11/7/2009 12:20:07",0.74,86.57,10.90,0
"11/7/2009 12:20:08",0.86,191.28,10.90,0
"11/7/2009 12:20:09",0.90,471.79,10.90,0
"11/7/2009 12:20:10",0.86,458.57,11.22,0
"11/7/2009 12:20:11",0.82,399.38,10.90,0
"11/7/2009 12:20:12",0.86,397.65,10.90,0
"11/7/2009 12:20:13",0.82,413.10,10.90,0
"11/7/2009 12:20:14",0.86,397.65,11.22,0
"11/7/2009 12:20:15",0.86,309.17,10.90,0
"11/7/2009 12:20:16",0.82,227.59,10.90,0
"11/7/2009 12:20:17",0.70,191.28,10.90,0
"11/7/2009 12:20:18",0.78,53.97,10.90,0
"11/7/2009 12:20:20",0.78,92.63,10.90,0
"11/7/2009 12:20:21",0.78,37.49,10.90,0
"11/7/2009 12:20:22",0.78,6.29,10.90,0
"11/7/2009 12:20:23",1.09,2.10,10.90,0
"11/7/2009 12:20:24",0.82,0.00,11.22,0
"11/7/2009 12:20:25",0.78,0.00,10.90,0
"11/7/2009 12:20:26",0.78,0.00,11.22,0
"11/7/2009 12:20:27",0.78,0.00,10.90,0
"11/7/2009 12:20:28",0.78,0.00,10.90,0
"11/7/2009 12:20:29",0.78,0.00,10.90,0
"11/7/2009 12:20:30",0.78,0.00,11.22,0
"11/7/2009 12:20:31",0.78,16.73,10.90,0
"11/7/2009 12:20:32",0.78,29.21,10.90,0
"11/7/2009 12:20:33",0.74,84.55,10.90,0
"11/7/2009 12:20:35",0.82,142.52,10.90,0
"11/7/2009 12:20:36",0.98,14.65,10.90,0
"11/7/2009 12:20:37",0.78,8.38,10.90,0
"11/7/2009 12:20:38",0.70,0.00,10.90,0
"11/7/2009 12:20:39",0.82,0.00,10.90,0
"11/7/2009 12:20:40",0.86,0.00,10.90,0
"11/7/2009 12:20:41",0.82,0.00,10.90,0
"11/7/2009 12:20:42",0.82,0.00,10.90,0
"11/7/2009 12:20:43",0.82,0.00,10.90,0
"11/7/2009 12:20:44",0.82,0.00,10.90,0
"11/7/2009 12:20:45",0.82,0.00,11.22,0
"11/7/2009 12:20:46",0.78,0.00,10.90,0
"11/7/2009 12:20:47",0.86,4.19,11.22,0
"11/7/2009 12:20:48",0.86,41.62,10.90,0
"11/7/2009 12:20:49",0.82,43.68,10.90,0
"11/7/2009 12:20:51",0.86,88.59,10.90,0
"11/7/2009 12:20:52",0.82,62.16,10.90,0
"11/7/2009 12:20:53",0.78,37.49,10.90,0
"11/7/2009 12:20:54",0.82,4.19,11.22,0
"11/7/2009 12:20:55",0.78,0.00,11.22,0
"11/7/2009 12:20:56",0.94,0.00,10.90,0
"11/7/2009 12:20:57",0.90,0.00,10.90,0
"11/7/2009 12:20:58",0.90,0.00,10.90,0
"11/7/2009 12:20:59",0.94,0.00,10.90,0
"11/7/2009 12:21:00",0.90,0.00,10.90,0
"11/7/2009 12:21:01",0.86,4.19,10.90,0
"11/7/2009 12:21:02",0.86,74.40,10.90,0
"11/7/2009 12:21:03",0.70,22.98,10.90,0
