date,time,station,latitude,longitude,"(turbidity) ntu",do%,"do ","temp c","ms/cm cond.",ms/cmc,ph,"(redox)   orp",nh4,nh3
11/13/2009,"12:58:00 PM",5,42.64,-71.35,6.6,96.8,11.53,7.75,0.07,,7.35,238.2,0.2,0
11/13/2009,"1:32:00 AM",6,42.66,-71.32,6.3,97.6,11.7,7.47,0.29,,7.93,230.5,0.21,0
11/13/2009,"2:17:00 AM",4,42.68,-71.38,14.4,103.4,11.84,9.35,0.44,,8.04,223.9,0.22,0.01
11/14/2009,"9:02:00 AM",6,42.66,-71.32,6.2,97.3,11.6,7.63,0.07,,9.22,774,0.23,0.01
11/14/2009,"9:16:00 AM",6,42.66,-71.32,6.1,97.3,11.62,7.63,0.07,0.11,8.15,175.3,0.23,0.01
11/15/2009,"9:16:00 AM",5,42.64,-71.35,6.8,102.8,12.17,8,0.08,0.12,7.09,168.7,0.36,0
11/15/2009,"9:46:00 AM",3,42.68,-71.42,6.7,96.9,11.34,8.43,0.27,0.39,7.44,294.9,0.3,0
11/15/2009,"10:22:00 AM",1,42.77,-71.45,7.6,99.7,11.64,8.57,0.14,0.21,7.84,331.6,0.2,0
11/15/2009,"11:05:00 AM",2,42.69,-71.42,7.8,103.6,12.24,8.05,0.09,0.13,8.36,199.3,0.3,0.01
11/15/2009,"11:33:00 AM",6,42.66,-71.32,8.3,108.3,12.47,9.15,0.17,0.24,7.91,333,0.27,0
11/16/2009,"11:20:00 AM",5,42.64,-71.35,8.6,,12.77,8.21,0.07,0.11,8.41,50.5,0.24,0.01
11/16/2009,"11:39:00 AM",6,42.66,-71.32,8.1,112.4,12.83,9.5,0.16,0.23,8.1,103,0.27,0
11/16/2009,"12:16:00 PM",7,42.64,-71.31,7.2,,12.82,9.06,0.15,0.22,8.34,76.5,0.26,0.01
11/17/2009,"1:31:00 AM",5,42.64,-71.35,,,13.2,7.98,63,0.09,8.2,106.5,0.15,0
11/17/2009,"1:51:00 AM",6,42.66,-71.32,,,13.49,8.27,0.16,0.23,8.2,129.9,0.23,0.01
11/17/2009,2.22,8,42.65,-71.28,,,13.77,8.03,0.07,0.11,8.53,115.6,0.21,0.01
