time,acceleration,light,temperature,sound,altitude,pedometer
0,0.94,20.90,22.18,5,,0
1,0.98,20.90,22.50,2,,0
2,0.94,8.38,22.18,5,,0
3,0.82,6.29,22.50,8,,1
4,1.09,20.90,22.50,2,,2
5,0.90,35.42,22.50,11,,0
6,0.94,31.28,22.50,1,,0
7,0.98,22.98,22.50,0,,0
8,0.94,14.65,22.50,0,,0
9,1.05,18.82,22.50,8,,0
10,1.05,14.65,22.50,1,,0
11,1.02,14.65,22.50,8,,0
12,1.05,20.90,22.50,10,,0
13,1.02,18.82,22.50,3,,0
14,1.02,8.38,22.50,1,,0
15,0.98,0.00,22.50,0,,0
16,0.90,0.00,22.50,1,,0
17,0.86,18.82,22.50,0,,1
18,1.02,12.56,22.50,8,,0
19,0.98,0.00,22.50,9,,0
20,0.94,10.47,22.50,4,,0
21,0.94,12.56,22.50,1,,0
22,0.94,16.73,22.50,0,,0
23,0.94,16.73,22.50,2,,0
24,0.94,18.82,22.50,1,,0
25,0.90,10.47,22.50,0,,0
26,0.90,10.47,22.50,0,,0
27,0.86,12.56,22.50,1,,0
28,0.90,14.65,22.50,1,,0
29,0.94,18.82,22.50,4,,0
30,0.94,20.90,22.50,0,,0
31,0.98,16.73,22.50,0,,0
32,0.94,18.82,22.50,2,,0
33,0.98,10.47,22.50,0,,0
34,1.21,6.29,22.50,6,,1
35,1.13,6.29,22.50,13,,0
36,1.05,6.29,22.50,5,,0
37,0.94,0.00,23.14,2,,1
38,0.78,0.00,24.11,2,,0
39,0.78,0.00,24.43,2,,0
40,0.98,12.56,23.47,0,,0
41,0.94,6.29,23.14,0,,0
42,1.02,6.29,23.14,1,,0
43,0.98,6.29,23.14,0,,0
44,0.98,12.56,23.14,0,,0
45,0.98,14.65,23.14,0,,0
46,0.98,14.65,23.14,0,,0
47,0.98,12.56,23.14,0,,0
48,0.98,4.19,23.14,0,,0
49,1.02,4.19,23.14,4,,0
50,0.98,14.65,23.14,21,,0
51,0.98,12.56,23.14,22,,0
52,0.98,12.56,23.14,16,,0
53,1.02,14.65,23.14,0,,0
54,1.02,16.73,23.14,15,,0
55,0.98,2.10,23.14,0,,0
56,1.02,0.00,23.14,0,,0
57,1.05,18.82,23.14,17,,0
58,1.02,10.47,23.14,17,,0
59,0.98,18.82,23.14,9,,0
60,1.09,18.82,23.14,16,,0
61,0.98,4.19,23.14,10,,0
62,0.98,6.29,23.14,10,,0
63,0.98,18.82,23.14,5,,0
64,0.94,12.56,23.14,17,,0
65,0.98,20.90,23.14,38,,0
66,0.94,25.06,23.14,21,,0
67,1.02,18.82,23.14,0,,0
68,0.98,16.73,23.14,3,,0
69,0.94,14.65,23.14,29,,0
70,0.98,6.29,23.14,3,,0
71,0.98,6.29,23.14,4,,0
72,0.98,10.47,23.14,2,,0
73,0.98,12.56,23.14,0,,0
74,0.98,0.00,23.14,4,,0
75,0.98,14.65,23.14,1,,0
76,0.98,33.35,23.14,0,,0
77,1.02,33.35,23.14,19,,0
78,0.94,8.38,23.14,0,,0
79,0.98,0.00,23.14,20,,0
80,0.98,12.56,23.14,14,,0
81,0.98,22.98,23.14,8,,0
82,0.98,25.06,23.14,20,,0
83,0.94,27.13,23.14,5,,0
84,0.98,14.65,23.14,10,,0
85,0.94,10.47,23.14,2,,0
86,0.98,14.65,23.14,3,,0
87,1.05,14.65,23.14,4,,0
88,0.94,16.73,23.14,0,,1
89,1.05,14.65,23.14,16,,0
90,1.02,0.00,23.14,7,,0
91,0.98,0.00,23.14,21,,0
92,1.02,14.65,23.47,14,,0
93,1.05,6.29,23.47,26,,0
94,0.98,0.00,23.47,8,,0
95,0.98,0.00,23.47,0,,0
96,0.98,31.28,23.47,23,,0
97,1.05,29.21,23.47,2,,0
98,0.98,25.06,23.47,10,,0
99,1.02,4.19,23.47,12,,0
100,1.02,10.47,23.47,0,,0
101,1.02,8.38,23.47,2,,0
102,1.02,12.56,23.47,9,,0
