Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Voltage,Pedometer,Altitude
10/15/2009 16:06:23,42.912884,-71.07185,1.09,497.89,-16.17,0,22.93455,0,74
10/15/2009 16:06:25,42.912914,-71.07183,1.09,468.50,-16.17,0,22.93455,0,78
10/15/2009 16:06:26,42.91293,-71.0718,1.09,488.16,-16.17,0,22.93455,0,82
10/15/2009 16:06:27,42.91293,-71.07183,1.09,481.63,-16.17,0,22.93455,0,81
10/15/2009 16:06:28,42.912914,-71.07185,1.13,718.78,-16.17,0,22.93455,0,80
10/15/2009 16:06:29,42.912914,-71.07185,1.13,237.04,-16.17,0,22.93455,0,79
10/15/2009 16:06:30,42.912914,-71.07185,1.09,657.71,-15.85,0,22.93455,0,79
10/15/2009 16:06:31,42.912914,-71.07185,1.09,418.22,-16.17,0,22.93455,0,78
10/15/2009 16:06:32,42.912914,-71.07183,1.13,173.86,-16.17,0,22.93455,0,77
10/15/2009 16:06:33,42.9129,-71.07185,1.09,252.06,-16.17,0,22.93455,0,75
10/15/2009 16:06:34,42.912865,-71.071884,1.09,750.63,-15.85,0,22.93455,0,72
10/15/2009 16:06:35,42.91282,-71.071884,1.09,751.93,-15.85,0,22.93455,0,69
10/15/2009 16:06:36,42.91282,-71.071884,1.09,763.59,-16.17,0,23.0470,0,68
10/15/2009 16:06:37,42.91282,-71.071884,1.09,177.74,-16.17,0,23.0470,0,67
10/15/2009 16:06:38,42.91282,-71.07187,1.13,200.90,-15.85,0,23.0470,0,65
10/15/2009 16:06:40,42.91282,-71.07187,1.09,255.79,-16.17,0,23.0470,0,63
10/15/2009 16:06:41,42.91282,-71.07185,1.13,274.37,-15.85,0,23.0470,0,64
10/15/2009 16:06:42,42.91282,-71.07183,1.13,433.47,-16.17,0,23.0470,0,63
10/15/2009 16:06:43,42.91282,-71.0718,1.13,759.72,-15.85,0,23.0470,0,62
10/15/2009 16:06:44,42.912834,-71.071785,1.09,600.67,-16.17,0,23.0470,0,62
10/15/2009 16:06:45,42.91285,-71.071754,1.09,710.66,-15.85,0,23.0470,0,62
10/15/2009 16:06:46,42.912865,-71.071724,1.09,762.30,-15.85,0,23.0470,0,65
10/15/2009 16:06:47,42.912884,-71.071724,1.13,639.00,-15.85,0,23.0470,0,67
10/15/2009 16:06:48,42.912884,-71.071724,1.09,775.10,-16.17,0,23.0470,0,68
10/15/2009 16:06:49,42.9129,-71.07169,1.09,777.64,-15.85,0,23.0470,0,71
10/15/2009 16:06:50,42.912914,-71.07169,1.09,781.43,-15.85,0,23.0470,0,74
10/15/2009 16:06:51,42.91293,-71.07168,1.13,781.43,-15.85,0,23.0470,0,76
10/15/2009 16:06:52,42.91295,-71.07166,1.09,770.00,-15.85,0,23.0470,0,77
10/15/2009 16:06:53,42.912964,-71.07163,1.09,265.11,-15.85,0,23.0470,0,77
10/15/2009 16:06:55,42.91298,-71.0716,1.09,366.32,-15.85,0,23.0470,0,75
10/15/2009 16:06:56,42.91298,-71.07156,1.09,305.54,-15.85,0,23.15945,0,76
10/15/2009 16:06:57,42.91298,-71.07155,1.13,316.42,-15.85,0,23.0470,0,77
10/15/2009 16:06:58,42.91298,-71.07153,1.13,323.63,-15.85,0,23.0470,0,78
10/15/2009 16:06:59,42.91298,-71.07153,1.09,321.83,-15.85,0,23.0470,0,79
10/15/2009 16:07:00,42.91298,-71.07153,1.09,316.42,-15.85,0,23.0470,0,80
10/15/2009 16:07:01,42.912964,-71.07156,1.09,279.91,-15.85,0,23.0470,0,80
10/15/2009 16:07:02,42.91295,-71.07158,1.13,292.77,-15.85,0,23.0470,0,82
10/15/2009 16:07:03,42.91295,-71.07162,1.09,296.43,-15.85,0,23.0470,0,81
10/15/2009 16:07:04,42.91295,-71.07163,1.09,252.06,-15.85,0,23.0470,0,82
10/15/2009 16:07:05,42.91295,-71.07168,1.13,292.77,-15.85,0,23.0470,0,84
10/15/2009 16:07:06,42.91295,-71.07168,1.09,773.83,-15.85,0,23.0470,0,86
10/15/2009 16:07:07,42.91295,-71.07169,1.13,783.95,-15.85,0,23.15945,0,86
10/15/2009 16:07:08,42.912964,-71.071724,1.09,780.17,-15.85,0,23.15945,0,87
10/15/2009 16:07:10,42.912964,-71.071724,1.09,551.81,-15.85,1,23.15945,0,87
10/15/2009 16:07:11,42.912964,-71.07174,1.13,677.52,-15.85,0,23.15945,0,87
10/15/2009 16:07:12,42.912964,-71.07174,1.09,579.52,-15.85,0,23.15945,0,85
10/15/2009 16:07:13,42.912964,-71.07174,1.09,787.72,-15.85,0,23.15945,0,85
10/15/2009 16:07:14,42.91298,-71.07168,1.09,471.79,-15.85,0,23.15945,0,82
10/15/2009 16:07:15,,,1.13,455.25,-15.85,0,23.15945,0,60000
10/15/2009 16:07:16,42.913,-71.07162,1.13,448.58,-15.85,0,23.15945,0,78
10/15/2009 16:07:17,42.913,-71.0716,1.13,450.25,-15.85,0,23.15945,0,75
10/15/2009 16:07:18,42.913,-71.07158,1.09,445.24,-15.85,0,23.15945,0,74
